,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,13,37.3516,20.4922,6.6,2048,2048,17,17,9,9,1,1,2018-10-25T22:54:50.499972Z
1,1,1,28,40.29,25.4,6.3,47,47,0,0,1,1,0,0,2014-05-24T09:25:00.999986Z
2,1,1,65,35.5,23.28,6.2,38,38,0,0,1,1,0,0,2013-10-12T13:11:53.000052Z
3,1,1,11,38.67,20.6,6.0,218,218,22,22,2,2,0,0,2015-11-17T07:10:07.300012Z
4,2,2,16,38.22,20.53,5.8,574,574,50,50,4,4,0,0,2014-01-26T13:55:42.999969Z
5,1,1,31,39.67,25.56,5.8,91,91,5,5,0,0,0,0,2013-01-08T14:16:08.299982Z
6,2,2,32,34.34,25.06,5.8,121,121,16,16,5,5,1,1,2013-06-15T16:11:01.199971Z
7,4,4,11,38.25,20.4,5.7,41,41,4,4,34,34,7,7,2014-02-03T03:08:44.599981Z
8,4,4,28,34.28,25.13,5.6,5,5,1,1,2,2,0,0,2013-06-16T21:39:04.599997Z
9,4,4,6,37.4575,20.4522,5.5,11,11,0,0,0,0,0,0,2018-10-30T15:12:01.999956Z
10,1,1,26,34.71,24.02,5.5,3,3,0,0,3,3,0,0,2012-09-12T03:27:43.600029Z
11,1,1,7,39.0042,20.6094,5.4,9,9,1,1,6,6,2,2,2019-02-05T02:26:08.800014Z
12,4,4,7,37.5938,20.5123,5.4,5,5,0,0,0,0,0,0,2018-10-30T02:59:59.799981Z
13,1,1,13,38.3492,22.2963,5.4,1,1,0,0,2,2,0,0,2019-03-30T10:46:19.100000Z
14,1,1,5,34.8185,25.4608,5.3,2,2,0,0,4,4,2,2,2017-07-15T20:30:15.700032Z
15,5,5,29,36.06,25.07,5.3,90,90,38,38,0,0,0,0,2012-01-26T04:24:58.300017Z
16,1,1,13,38.62,23.39,5.3,29,29,6,6,4,4,1,1,2015-06-09T01:09:03.000019Z
17,-1,-1,8,34.1427,23.9057,5.3,1,1,1,1,0,0,0,0,2017-07-31T21:29:09.800014Z
18,4,4,17,39.79,20.69,5.3,96,96,43,43,1,1,0,0,2016-10-15T20:14:49.199998Z
19,-1,-1,8,37.1384,20.6589,5.3,0,0,0,0,0,0,0,0,2018-10-25T23:09:20.500011Z
20,-1,-1,13,37.34,20.06,5.2,0,0,0,0,0,0,0,0,2016-03-29T01:05:28.299986Z
21,-1,-1,66,35.4044,24.8941,5.2,0,0,0,0,0,0,0,0,2019-07-31T04:40:05.099987Z
22,2,2,24,38.64,23.4,5.2,39,39,17,17,0,0,0,0,2014-11-17T23:05:55.399987Z
23,1,1,14,36.6632,21.5021,5.2,5,5,2,2,0,0,0,0,2018-09-27T10:21:50.599989Z
24,4,4,8,38.7,22.68,5.2,147,147,65,65,2,2,1,1,2013-08-07T09:06:51.899989Z
25,1,1,5,36.6833,21.3745,5.2,25,25,16,16,0,0,0,0,2018-06-25T05:14:47.200019Z
26,-1,-1,23,38.64,23.41,5.2,0,0,0,0,0,0,0,0,2014-11-17T23:09:03.199964Z
27,-1,-1,31,36.06,25.13,5.2,0,0,0,0,0,0,0,0,2012-01-27T01:33:23.400033Z
28,1,1,33,36.66,21.54,5.2,3,3,1,1,0,0,0,0,2012-04-16T11:23:42.399973Z
29,1,1,12,38.92,21.15,5.2,4,4,2,2,0,0,0,0,2014-10-24T23:43:15.099999Z
30,1,1,24,37.59,21.72,5.2,4,4,0,0,0,0,0,0,2016-02-15T18:55:00.400002Z
31,-1,-1,17,38.23,20.41,5.1,0,0,0,0,0,0,0,0,2014-01-26T18:45:08.000037Z
32,1,1,24,34.82,24.11,5.1,2,2,1,1,1,1,0,0,2013-04-06T11:26:06.499966Z
33,-1,-1,9,38.65,20.56,5.1,0,0,0,0,0,0,0,0,2015-11-17T08:33:40.799986Z
34,-1,-1,10,35.11,22.67,5.1,0,0,0,0,0,0,0,0,2016-07-30T17:26:20.800029Z
35,4,4,10,37.1477,20.5033,5.1,7,7,2,2,0,0,0,0,2018-11-19T13:05:54.799983Z
36,1,1,13,38.118,23.53,5.1,8,8,7,7,0,0,0,0,2019-07-19T11:13:15.199995Z
37,2,2,24,40.13,24.09,5.0,19,19,15,15,1,1,1,1,2012-02-14T01:34:38.699967Z
38,-1,-1,39,36.74,21.86,5.0,0,0,0,0,0,0,0,0,2013-06-06T11:53:46.400005Z
39,-1,-1,10,39.2857,21.6307,5.0,2,2,1,1,0,0,0,0,2018-08-31T07:12:24.500012Z
40,-1,-1,56,36.73,21.87,5.0,1,1,1,1,0,0,0,0,2016-09-28T07:17:34.099982Z
41,4,4,24,40.13,24.05,5.0,5,5,3,3,1,1,1,1,2012-03-04T03:31:07.800038Z
42,-1,-1,15,37.16,20.52,5.0,0,0,0,0,0,0,0,0,2013-02-17T03:12:52.700003Z
43,1,1,29,39.92,23.46,5.0,7,7,4,4,1,1,1,1,2014-08-22T04:27:53.000035Z
44,1,1,12,39.114000000000004,24.226999999999997,5.0,4,4,2,2,2,2,1,1,2017-10-11T22:49:44.399973Z
45,2,2,18,38.1,20.44,5.0,11,11,5,5,14,14,8,8,2014-11-08T23:15:42.200002Z
46,-1,-1,8,39.1467,21.526,4.9,1,1,1,1,0,0,0,0,2017-09-11T16:20:15.099994Z
47,-1,-1,24,39.77,20.25,4.9,0,0,0,0,0,0,0,0,2014-05-12T00:54:32.499963Z
48,1,1,25,38.09,22.74,4.9,5,5,4,4,0,0,0,0,2012-09-22T03:52:24.400044Z
49,-1,-1,10,34.36,25.09,4.9,0,0,0,0,0,0,0,0,2015-01-28T15:54:37.200038Z
50,-1,-1,20,39.79,20.69,4.9,0,0,0,0,0,0,0,0,2016-10-16T03:40:20.199999Z
51,-1,-1,23,34.7699,23.7799,4.9,0,0,0,0,0,0,0,0,2017-12-13T07:30:07.300021Z
52,-1,-1,31,36.6,21.59,4.9,0,0,0,0,0,0,0,0,2013-02-17T05:42:06.800027Z
53,-1,-1,31,36.06,25.02,4.9,0,0,0,0,0,0,0,0,2012-01-28T10:50:54.500005Z
54,2,2,32,38.23,25.13,4.9,4,4,4,4,0,0,0,0,2014-04-30T04:03:32.400001Z
55,-1,-1,7,37.3325,20.526999999999997,4.9,0,0,0,0,0,0,0,0,2018-10-25T22:22:53.199982Z
56,1,1,12,35.36,23.55,4.9,17,17,10,10,17,17,10,10,2016-03-12T12:40:39.099997Z
57,-1,-1,24,36.53,23.06,4.9,2,2,1,1,0,0,0,0,2013-04-09T03:36:26.700018Z
58,-1,-1,30,40.13,24.87,4.9,0,0,0,0,1,1,1,1,2014-09-04T17:43:38.900001Z
59,-1,-1,8,37.3599,20.5087,4.9,0,0,0,0,0,0,0,0,2018-10-26T05:48:35.999968Z
60,1,1,17,38.72,22.74,4.9,7,7,3,3,0,0,0,0,2013-09-16T15:01:13.999951Z
61,1,1,17,37.5227,20.6825,4.9,5,5,1,1,0,0,0,0,2018-11-15T09:02:05.300045Z
62,-1,-1,5,37.3785,20.4113,4.9,0,0,0,0,0,0,0,0,2018-11-04T03:12:44.399988Z
63,-1,-1,17,38.84,20.59,4.9,0,0,0,0,0,0,0,0,2015-11-18T12:15:38.000052Z
