,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,230,185,344,32.0,8.257,-82.757,4.5,4,2,4,4,4,0,0,0,0,0,2017-03-18T05:00:10.999984Z,2017-03-18T05:00:10.999984Z,2017-03-18T05:00:09.000003,1,-1,1,1,1
1,398,13,596,12.0,8.9,-83.88,5.5,2,2,2,5,2,0,0,0,0,0,2019-01-31T13:09:49.999965Z,2019-01-31T13:09:49.999965Z,2019-01-31T13:09:48.000002,-1,-1,-1,1,-1
2,342,101,523,15.0,9.307,-84.63600000000001,4.8,1,0,2,1,2,0,2,0,0,0,2018-07-25T09:43:42.999965Z,2018-07-25T09:43:42.999965Z,2018-07-25T09:43:41.000000,-1,-1,-1,-1,-1
3,413,115,443,12.0,10.658,-84.963,4.7,20,17,25,20,25,13,9,19,13,19,2018-01-11T17:03:17.000001Z,2018-01-11T17:03:17.000001Z,2018-01-11T17:03:15.999998,4,5,4,4,4
4,355,59,102,13.0,8.986,-83.994,5.0,2,2,6,6,6,0,1,0,0,0,2014-10-14T03:31:08.999971Z,2014-10-14T03:31:08.999971Z,2014-10-14T03:31:07.000003,-1,1,1,1,1
5,275,103,906,25.0,9.639,-84.87799999999999,4.8,4,4,4,6,4,0,2,0,0,0,2020-12-08T03:33:27.000027Z,2020-12-08T03:33:27.000027Z,2020-12-08T03:33:26.000002,1,1,1,1,1
6,100,39,643,35.0,9.616,-84.321,5.2,0,0,1,1,1,0,2,0,0,0,2019-05-13T01:01:52.000003Z,2019-05-13T01:01:52.000003Z,2019-05-13T01:01:51.000002,-1,-1,-1,-1,-1
7,44,197,438,10.0,9.33,-83.287,4.5,1,0,2,1,2,0,0,0,0,0,2017-12-31T13:38:14.000036Z,2017-12-31T13:38:14.000036Z,2017-12-31T13:38:13.000000,-1,-1,-1,-1,-1
8,173,158,334,33.0,8.416,-83.054,4.6,1,1,2,1,2,0,0,0,0,0,2017-01-21T04:54:21.999966Z,2017-01-21T04:54:21.999966Z,2017-01-21T04:54:20.000000,-1,-1,-1,-1,-1
9,351,76,330,2.0,9.954,-83.787,4.9,27,7,33,27,33,0,0,0,0,0,2016-12-01T00:25:19.000049Z,2016-12-01T00:25:19.000049Z,2016-12-01T00:25:17.999998,1,1,1,1,1
10,213,58,850,16.0,9.422,-84.678,5.0,0,0,0,1,1,0,3,0,0,0,2019-11-22T09:07:40.999984Z,2019-11-22T09:07:40.999984Z,2019-11-22T09:07:38.999998,-1,1,-1,-1,-1
11,415,3,859,23.0,9.502,-84.667,6.0,44,44,33,221,35,0,20,0,0,0,2020-08-24T21:51:07.999985Z,2020-08-24T21:51:07.999985Z,2020-08-24T21:51:06.000001,1,1,1,1,1
12,207,53,98,21.0,8.356,-83.12799999999999,5.1,20,16,29,22,30,1,2,0,1,0,2014-10-10T06:22:55.000015Z,2014-10-10T06:22:55.000015Z,2014-10-10T06:22:54.000001,4,3,4,4,4
13,394,15,91,13.0,8.884,-84.12700000000001,5.4,39,39,40,80,47,1,5,0,1,0,2014-08-31T10:01:34.000030Z,2014-08-31T10:01:34.000030Z,2014-08-31T10:01:33.000003,1,1,1,2,1
14,147,119,92,19.0,9.651,-85.102,4.7,1,1,1,2,1,1,0,1,1,1,2014-09-09T16:07:55.000000Z,2014-09-09T16:07:55.000000Z,2014-09-09T16:07:53.999996,-1,-1,-1,2,-1
15,409,49,239,31.0,8.93,-84.238,5.1,18,11,28,18,29,12,12,22,12,22,2016-01-16T16:57:59.999970Z,2016-01-16T16:57:59.999970Z,2016-01-16T16:57:58.000003,5,2,5,5,5
16,307,81,149,27.0,8.908,-82.912,4.9,4,3,1,4,3,0,1,0,0,0,2015-02-18T16:59:34.999958Z,2015-02-18T16:59:34.999958Z,2015-02-18T16:59:33.000002,1,1,-1,1,1
17,53,123,24,11.0,8.968,-84.163,4.7,2,2,12,2,13,1,1,8,1,8,2014-03-04T05:28:45.999986Z,2014-03-04T05:28:45.999986Z,2014-03-04T05:28:43.999998,1,1,1,1,1
18,184,41,25,15.0,9.779,-85.71799999999999,5.2,3,2,7,3,7,0,0,0,0,0,2014-03-05T21:15:46.999983Z,2014-03-05T21:15:46.999983Z,2014-03-05T21:15:45.000004,1,-1,1,1,1
19,418,30,404,17.0,9.454,-84.546,5.2,233,143,359,241,366,0,2,0,0,0,2017-11-13T02:32:30.000018Z,2017-11-13T02:32:30.000018Z,2017-11-13T02:32:28.999998,1,1,1,1,1
20,329,85,83,22.0,9.652000000000001,-84.198,4.9,5,5,4,8,4,0,0,0,0,0,2014-08-07T08:50:03.000019Z,2014-08-07T08:50:03.000019Z,2014-08-07T08:50:02.000003,1,1,1,1,1
21,392,91,7,40.0,9.516,-84.12899999999999,4.8,13,12,11,15,11,3,2,0,3,0,2014-01-30T01:40:44.000027Z,2014-01-30T01:40:44.000027Z,2014-01-30T01:40:42.999999,2,2,2,2,2
22,148,111,582,8.0,10.156,-83.9,4.8,1,1,1,1,1,0,0,0,0,0,2018-11-17T14:12:53.000035Z,2018-11-17T14:12:53.000035Z,2018-11-17T14:12:51.999998,-1,-1,-1,-1,-1
23,149,21,621,14.0,9.524,-82.62,5.4,5,5,10,7,10,0,0,0,0,0,2019-04-01T13:44:48.000022Z,2019-04-01T13:44:48.000022Z,2019-04-01T13:44:47.000000,1,1,1,1,1
24,277,48,199,22.0,8.471,-83.117,5.1,10,10,13,11,13,0,3,0,0,0,2015-07-10T11:46:05.999987Z,2015-07-10T11:46:05.999987Z,2015-07-10T11:46:03.999997,1,1,1,1,1
25,338,71,171,58.0,9.602,-84.022,4.9,4,4,4,5,4,0,2,0,0,0,2015-04-18T23:33:03.999964Z,2015-04-18T23:33:03.999964Z,2015-04-18T23:33:01.999997,1,1,1,1,1
26,151,99,16,20.0,9.426,-84.68,4.8,0,0,3,1,4,0,0,0,0,0,2014-02-16T19:21:57.999969Z,2014-02-16T19:21:57.999969Z,2014-02-16T19:21:55.999997,-1,-1,1,-1,1
27,56,74,44,20.0,8.097999999999999,-82.89299999999999,4.9,1,1,0,2,0,1,2,1,1,1,2014-04-16T13:37:08.000032Z,2014-04-16T13:37:08.000032Z,2014-04-16T13:37:06.999998,-1,1,-1,1,-1
28,158,114,75,15.0,9.963,-84.25,4.7,2,2,1,2,1,0,0,0,0,0,2014-07-24T18:48:25.999979Z,2014-07-24T18:48:25.999979Z,2014-07-24T18:48:23.999997,-1,-1,-1,-1,-1
29,399,37,567,8.0,8.926,-84.10600000000001,5.2,11,10,17,39,18,0,3,0,0,0,2018-10-09T01:48:03.999964Z,2018-10-09T01:48:03.999964Z,2018-10-09T01:48:02.000002,1,1,1,2,1
30,29,133,1042,20.0,9.496,-84.84700000000001,4.6,2,2,0,3,1,0,1,0,0,0,2019-10-10T03:22:58.999984Z,2019-10-10T03:22:58.999984Z,2019-10-10T03:22:56.999998,-1,1,-1,1,-1
31,383,24,669,63.0,10.709000000000001,-85.706,5.3,2,2,1,4,1,0,2,0,0,0,2019-07-08T00:09:01.000003Z,2019-07-08T00:09:01.000003Z,2019-07-08T00:09:00.000003,-1,1,-1,1,-1
32,343,22,692,18.0,9.817,-82.883,5.4,3,3,4,4,4,0,0,0,0,0,2019-09-18T04:58:51.999970Z,2019-09-18T04:58:51.999970Z,2019-09-18T04:58:50.000001,1,1,1,1,1
33,405,20,691,34.0,9.259,-84.133,5.4,10,10,4,15,4,0,1,0,0,0,2019-09-18T11:23:24.999967Z,2019-09-18T11:23:24.999967Z,2019-09-18T11:23:22.999999,1,1,1,1,1
34,278,179,124,48.0,8.724,-83.089,4.5,2,0,2,2,2,0,0,0,0,0,2014-11-17T19:28:56.999970Z,2014-11-17T19:28:56.999970Z,2014-11-17T19:28:54.999999,-1,-1,-1,-1,-1
35,380,145,214,14.0,9.895,-83.516,4.6,2,2,2,2,2,0,0,0,0,0,2015-09-26T14:45:02.000043Z,2015-09-26T14:45:02.000043Z,2015-09-26T14:45:00.999998,-1,-1,-1,-1,-1
36,108,152,319,48.0,9.447000000000001,-84.12200000000001,4.6,1,1,2,1,2,0,0,0,0,0,2016-10-25T22:35:46.000034Z,2016-10-25T22:35:46.000034Z,2016-10-25T22:35:45.000001,-1,-1,-1,-1,-1
37,400,31,3,21.0,9.506,-84.854,5.2,18,17,24,23,24,0,0,0,0,0,2014-01-17T21:02:41.000002Z,2014-01-17T21:02:41.000002Z,2014-01-17T21:02:39.999997,1,1,1,1,1
38,212,98,368,26.0,9.341000000000001,-84.62700000000001,4.8,1,1,2,2,4,0,0,0,0,0,2017-06-17T15:00:37.000020Z,2017-06-17T15:00:37.000020Z,2017-06-17T15:00:35.999997,-1,-1,-1,-1,1
39,403,25,380,17.0,8.993,-83.965,5.3,7,6,7,8,9,0,3,2,0,2,2017-08-27T10:38:56.000030Z,2017-08-27T10:38:56.000030Z,2017-08-27T10:38:55.000002,1,1,1,1,1
40,335,6,382,21.0,9.908999999999999,-85.65799999999999,5.9,6,6,6,16,6,1,3,1,1,1,2017-09-01T07:42:40.999966Z,2017-09-01T07:42:40.999966Z,2017-09-01T07:42:39.000001,1,1,1,1,1
41,336,55,383,17.0,9.521,-84.87200000000001,5.0,2,2,3,4,3,1,2,0,1,0,2017-09-02T10:38:15.000031Z,2017-09-02T10:38:15.000031Z,2017-09-02T10:38:14.000000,1,1,1,1,1
42,63,138,388,21.0,9.179,-84.12299999999999,4.6,1,1,1,1,1,0,1,0,0,0,2017-08-18T17:15:12.000015Z,2017-08-18T17:15:12.000015Z,2017-08-18T17:15:11.000001,-1,-1,-1,-1,-1
43,160,38,572,25.0,8.7,-82.85,5.2,7,6,9,8,9,0,1,0,0,0,2018-10-22T01:28:41.999981Z,2018-10-22T01:28:41.999981Z,2018-10-22T01:28:39.999997,1,1,1,1,1
44,276,19,251,18.0,8.675,-82.859,5.4,4,4,7,7,8,0,1,0,0,0,2016-01-31T11:38:35.000019Z,2016-01-31T11:38:35.000019Z,2016-01-31T11:38:33.999996,1,1,1,1,1
45,393,17,730,34.0,10.003,-85.836,5.4,4,4,4,4,4,0,0,0,0,0,2019-12-08T18:31:41.000019Z,2019-12-08T18:31:41.000019Z,2019-12-08T18:31:40.000001,1,1,1,1,1
46,47,60,466,34.0,9.014,-83.975,5.0,1,1,5,1,5,0,0,0,0,0,2018-02-24T10:26:48.000016Z,2018-02-24T10:26:48.000016Z,2018-02-24T10:26:47.000003,-1,-1,1,-1,1
47,390,47,168,18.0,9.506,-83.75399999999999,5.1,18,18,18,22,20,1,1,1,1,1,2015-04-03T18:42:35.999966Z,2015-04-03T18:42:35.999966Z,2015-04-03T18:42:34.000001,2,2,2,2,2
48,188,88,212,31.0,8.335,-82.787,4.8,3,2,2,5,2,0,0,1,0,1,2015-09-19T03:05:11.000003Z,2015-09-19T03:05:11.000003Z,2015-09-19T03:05:09.999999,3,-1,1,3,1
49,359,29,285,13.0,10.779000000000002,-85.06200000000001,5.2,5,5,6,5,6,0,0,0,0,0,2016-07-03T01:58:29.000034Z,2016-07-03T01:58:29.000034Z,2016-07-03T01:58:27.999998,2,2,2,2,2
50,374,100,1090,23.0,9.004,-83.948,4.8,4,4,5,4,5,1,2,2,1,2,2021-09-09T04:27:30.000019Z,2021-09-09T04:27:30.000019Z,2021-09-09T04:27:29.000001,1,1,1,1,1
51,60,46,69,50.0,10.15,-85.36200000000001,5.2,3,3,4,5,4,0,0,0,0,0,2014-07-06T11:42:41.000003Z,2014-07-06T11:42:41.000003Z,2014-07-06T11:42:39.999999,1,1,1,1,1
52,384,16,303,33.0,9.399,-83.869,5.4,8,8,10,14,11,0,5,0,0,0,2016-09-03T22:05:59.999965Z,2016-09-03T22:05:59.999965Z,2016-09-03T22:05:57.999998,1,1,1,1,1
53,414,8,759,11.0,8.964,-84.09700000000001,5.8,129,128,130,208,140,24,41,13,24,13,2020-01-21T11:25:33.000017Z,2020-01-21T11:25:33.000017Z,2020-01-21T11:25:32.000000,2,2,2,2,2
54,242,86,226,30.0,8.205,-82.811,4.8,0,0,1,3,1,0,1,2,0,2,2015-11-02T10:36:28.000018Z,2015-11-02T10:36:28.000018Z,2015-11-02T10:36:27.000002,-1,-1,2,2,2
55,273,125,223,11.0,10.154,-83.98700000000001,4.7,3,2,3,4,3,0,0,0,0,0,2015-10-31T15:10:13.999949Z,2015-10-31T15:10:13.999949Z,2015-10-31T15:10:12.000001,1,-1,1,1,1
56,94,72,1024,45.0,9.326,-83.975,4.9,1,1,4,1,4,0,0,0,0,0,2021-05-14T15:33:54.000032Z,2021-05-14T15:33:54.000032Z,2021-05-14T15:33:53.000000,-1,-1,1,-1,1
57,293,167,634,4.0,9.343,-83.26,4.5,6,6,6,6,6,6,6,5,6,5,2019-05-03T21:30:39.999967Z,2019-05-03T21:30:39.999967Z,2019-05-03T21:30:38.000001,5,5,2,5,2
58,353,94,489,27.0,9.474,-83.791,4.8,6,6,5,6,5,0,0,0,0,0,2018-04-27T15:33:41.000032Z,2018-04-27T15:33:41.000032Z,2018-04-27T15:33:39.999998,1,1,1,1,1
59,364,62,473,38.0,9.493,-84.48,5.0,2,2,1,4,1,0,5,1,0,1,2018-03-12T21:42:20.999987Z,2018-03-12T21:42:20.999987Z,2018-03-12T21:42:19.000001,-1,1,-1,1,-1
60,362,35,470,22.0,8.468,-83.319,5.2,26,18,31,28,31,7,5,8,7,8,2018-03-03T01:02:50.999964Z,2018-03-03T01:02:50.999964Z,2018-03-03T01:02:48.999997,2,2,2,2,2
61,255,12,475,37.0,9.564,-84.177,5.5,7,7,6,13,6,0,6,0,0,0,2018-03-23T07:37:12.999995Z,2018-03-23T07:37:12.999995Z,2018-03-23T07:37:11.000003,1,1,1,1,1
62,302,56,46,18.0,8.189,-82.71700000000001,5.0,1,1,1,3,1,0,1,0,0,0,2014-04-19T13:36:03.999997Z,2014-04-19T13:36:03.999997Z,2014-04-19T13:36:02.000002,-1,-1,-1,1,-1
