,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,1,24.46,-999.0,0.4599999999999995,10.379000000000001,-85.8797,4.43,0,0,0,0,1,1,1,1,2014-11-06T11:45:31.000036Z,-999.0,inf
1,-999.0,-999.0,2,2,14,13.33,0.34999999999999964,-999.0,10.7792,-85.0617,5.25,4,4,4,4,0,0,0,0,2016-07-03T01:58:29.000034Z,26.574394526697265,-999.0
2,-999.0,-999.0,-1,-1,22,45.83,-999.0,0.96,10.0279,-85.0395,4.87,0,0,0,0,1,2,2,1,2014-03-10T18:00:57.999967Z,-999.0,inf
3,-999.0,-999.0,1,1,112,35.39,0.7299999999999995,-999.0,9.0789,-83.7393,4.47,3,3,3,3,0,0,0,0,2020-02-10T08:16:49.000002Z,0.46177526941601754,-999.0
4,-999.0,-999.0,1,-1,141,29.53,-999.0,2.1700000000000004,8.1292,-83.11399999999999,5.32,0,0,0,0,1,4,0,0,2018-11-01T11:13:08.000034Z,-999.0,inf
5,-999.0,-999.0,2,2,212,24.35,0.10000000000000053,0.7800000000000002,8.0149,-82.979,4.45,5,5,5,5,1,1,1,1,2018-02-07T05:52:47.000005Z,0.38025926288016626,inf
6,-999.0,-999.0,1,-1,223,8.78,1.8399999999999999,1.4899999999999998,9.8544,-84.0528,4.55,1,1,1,1,1,2,2,1,2021-07-20T23:57:14.000035Z,inf,inf
7,-999.0,-999.0,2,-1,256,19.23,2.05,0.23999999999999932,9.6507,-85.1019,4.72,1,1,0,0,1,2,2,1,2014-09-09T16:07:55.000000Z,inf,inf
8,-999.0,-999.0,-1,-1,257,8.88,2.08,-999.0,10.1562,-83.8998,4.75,1,1,0,0,0,0,0,0,2018-11-17T14:12:53.000035Z,inf,-999.0
9,-999.0,-999.0,1,1,258,10.22,0.7999999999999998,1.79,9.33,-83.2865,4.46,2,2,2,2,1,1,1,1,2017-12-31T13:38:14.000036Z,272.9857835135384,inf
10,-999.0,-999.0,-1,-1,279,15.71,2.0800000000000005,-999.0,9.9631,-84.2501,4.73,1,1,0,0,0,0,0,0,2014-07-24T18:48:25.999979Z,inf,-999.0
11,-999.0,-999.0,-1,-1,294,43.29,-999.0,2.28,9.0217,-83.6674,4.93,0,0,0,0,1,1,0,0,2016-08-25T13:34:02.999999Z,-999.0,inf
12,-999.0,-999.0,-1,-1,306,14.93,-999.0,1.8199999999999998,9.9338,-83.6269,4.46,0,0,0,0,1,1,1,1,2017-08-19T21:38:03.999983Z,-999.0,inf
13,-999.0,-999.0,1,-1,311,10.59,1.37,-999.0,10.5567,-85.5435,4.83,2,2,2,2,0,3,1,0,2021-09-13T06:32:01.999965Z,0.21554385533342238,-999.0
14,-999.0,-999.0,1,1,342,50.31,0.5300000000000002,-999.0,10.1504,-85.3624,5.15,4,4,4,4,0,2,1,0,2014-07-06T11:42:41.000003Z,0.10276422686818475,-999.0
15,-999.0,-999.0,1,1,362,21.04,-999.0,1.69,9.1788,-84.1234,4.62,0,0,0,0,3,6,5,3,2017-08-18T17:15:12.000015Z,-999.0,0.09456499373198753
16,-999.0,-999.0,-1,-1,414,21.67,1.3200000000000003,2.58,8.5045,-83.6802,5.16,1,1,1,1,1,1,0,0,2016-02-20T11:31:39.000003Z,inf,inf
17,-999.0,-999.0,-1,-1,431,27.27,-999.0,1.9200000000000004,8.0668,-82.9663,4.49,0,0,0,0,1,1,1,1,2020-01-30T08:27:21.000014Z,-999.0,inf
18,-999.0,-999.0,1,1,491,26.66,1.3900000000000001,-999.0,9.8853,-85.712,4.92,5,5,3,3,0,0,0,0,2015-12-10T00:03:13.999964Z,5.38854933565275,-999.0
19,-999.0,-999.0,1,1,509,18.71,0.6499999999999995,2.3899999999999997,8.6755,-82.8594,5.39,6,6,2,2,2,5,2,0,2016-01-31T11:38:35.000019Z,0.27809189477764484,1.3106796116445598
20,-999.0,-999.0,1,1,513,4.34,-999.0,1.56,8.5638,-83.6785,4.67,0,0,0,0,4,5,3,2,2018-12-23T09:55:04.000013Z,-999.0,0.9741193183827997
21,-999.0,-999.0,1,-1,530,19.16,-999.0,1.3399999999999999,9.5173,-83.7567,4.58,0,0,0,0,2,3,2,2,2014-07-16T22:10:03.999970Z,-999.0,0.09662986567525689
22,-999.0,-999.0,1,1,600,17.56,1.65,0.6600000000000001,9.5214,-84.8718,5.05,3,3,1,1,11,17,8,6,2017-09-02T10:38:15.000031Z,104.7696009529691,0.22413360476054459
23,-999.0,-999.0,1,1,614,11.58,0.9899999999999998,1.7999999999999998,10.1538,-83.9873,4.68,3,3,2,2,2,2,2,2,2015-10-31T15:10:13.999949Z,915.9010473872045,178.88199674977892
24,-999.0,-999.0,-1,-1,624,18.4,-999.0,2.07,8.3213,-83.4283,4.55,0,0,0,0,1,2,1,0,2021-09-29T19:10:33.000033Z,-999.0,inf
25,-999.0,-999.0,1,-1,663,25.83,-999.0,-999.0,9.3554,-82.63600000000001,4.43,0,0,0,0,0,7,7,0,2018-06-28T08:01:13.000020Z,-999.0,-999.0
26,-999.0,-999.0,1,1,675,15.47,1.3599999999999999,2.1,9.779,-85.7183,5.17,7,7,1,1,2,2,0,0,2014-03-05T21:15:46.999983Z,0.6569243168241921,349.0908873376781
27,-999.0,-999.0,1,1,698,38.13,1.9100000000000001,0.5499999999999998,8.8771,-84.074,4.58,1,1,1,1,11,18,15,9,2016-11-30T21:50:11.000003Z,inf,0.27633072112195955
28,-999.0,-999.0,1,1,761,41.14,2.3599999999999994,0.6199999999999992,8.7571,-82.8615,4.81,1,1,0,0,3,3,3,3,2018-04-01T03:32:01.999965Z,inf,0.07267496877251535
29,-999.0,-999.0,1,1,770,13.13,1.33,0.7800000000000002,9.799,-84.0963,4.45,3,3,3,3,3,4,4,3,2018-07-27T17:50:45.999997Z,0.32181367831598745,0.07477694573620294
30,-999.0,-999.0,1,1,778,51.31,0.9700000000000002,0.7300000000000004,9.4465,-84.0695,4.75,8,8,6,6,11,19,13,8,2015-10-01T17:51:04.999965Z,0.29808945874541604,0.23019006666040562
31,-999.0,-999.0,1,1,804,8.87,1.4099999999999997,1.9699999999999998,10.1621,-84.1545,4.43,2,2,2,2,2,2,2,2,2015-03-31T09:09:23.000034Z,53.0875576510777,37.6142797714595
32,-999.0,-999.0,2,2,811,16.37,1.98,0.33999999999999986,9.3164,-84.2096,4.42,1,1,1,1,11,12,12,11,2018-08-21T09:34:56.999972Z,inf,0.2265072059750676
33,-999.0,-999.0,1,1,840,20.82,0.9100000000000001,1.17,9.4256,-84.6798,4.79,9,9,3,3,11,11,7,7,2014-02-16T19:21:57.999969Z,0.7080297088672806,0.42251116739421607
34,0.7807039993124715,-999.0,2,2,857,11.94,0.41999999999999993,1.4100000000000001,8.6716,-82.7727,5.11,35,35,8,8,10,12,2,2,2021-06-18T13:57:24.000015Z,0.5949534022034971,0.26019848566892106
35,-999.0,-999.0,1,1,865,27.6,1.1300000000000003,1.1500000000000004,9.4744,-83.791,4.82,7,7,3,3,5,10,5,3,2018-04-27T15:33:41.000032Z,0.22347177892727138,0.13226075575145002
36,-999.0,-999.0,-1,-1,877,13.4,2.3299999999999996,-999.0,10.6059,-83.8439,4.76,1,1,0,0,0,0,0,0,2016-08-07T06:09:50.000029Z,inf,-999.0
37,-999.0,-999.0,1,1,880,14.86,1.0500000000000007,-999.0,9.5237,-82.62,5.36,12,13,4,3,0,2,0,0,2019-04-01T13:44:48.000022Z,0.7762152320089025,-999.0
38,-999.0,-999.0,1,1,883,27.11,2.05,1.42,8.9081,-82.9123,4.88,3,3,0,0,6,16,8,1,2015-02-18T16:59:34.999958Z,0.3074660150387431,0.20060623016931428
