,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,1,20.6,-999.0,-999.0,8.305,-82.8232,4.89,0,1,1,0,0,0,0,0,2015-06-25T02:53:11.000036Z,-999.0,-999.0
1,-999.0,-999.0,-1,-1,3,45.83,1.0700000000000003,-999.0,10.0279,-85.0395,4.87,1,1,1,1,0,0,0,0,2014-03-10T18:00:57.999967Z,inf,-999.0
2,-999.0,-999.0,-1,-1,26,10.32,1.9899999999999998,-999.0,10.7474,-85.1484,5.17,1,1,1,1,0,0,0,0,2017-11-29T08:47:38.999986Z,inf,-999.0
3,-999.0,-999.0,1,-1,29,20.73,1.4599999999999995,-999.0,9.4963,-84.84700000000001,4.64,2,3,3,2,0,0,0,0,2019-10-10T03:22:58.999984Z,129.05153202874962,-999.0
4,-999.0,-999.0,-1,-1,44,10.22,1.4100000000000001,-999.0,9.33,-83.2865,4.46,1,1,1,1,0,0,0,0,2017-12-31T13:38:14.000036Z,inf,-999.0
5,-999.0,-999.0,-1,-1,47,34.67,1.9500000000000002,-999.0,9.0142,-83.9751,4.99,1,1,1,1,0,0,0,0,2018-02-24T10:26:48.000016Z,inf,-999.0
6,-999.0,-999.0,1,1,53,11.34,0.8599999999999999,1.6799999999999997,8.9684,-84.1633,4.68,2,2,2,2,1,1,1,1,2014-03-04T05:28:45.999986Z,133.74612870128297,inf
7,-999.0,-999.0,-1,-1,54,10.12,1.4500000000000002,-999.0,8.3233,-82.9445,4.44,1,1,1,1,0,0,0,0,2014-08-28T10:52:20.999968Z,inf,-999.0
8,-999.0,-999.0,1,-1,56,20.56,1.42,1.9299999999999997,8.0975,-82.8929,4.92,1,2,2,1,1,1,1,1,2014-04-16T13:37:08.000032Z,inf,inf
9,-999.0,-999.0,1,1,60,50.31,0.5300000000000002,-999.0,10.1504,-85.3624,5.15,3,5,4,3,0,0,0,0,2014-07-06T11:42:41.000003Z,0.07707317015113856,-999.0
10,-999.0,-999.0,-1,-1,63,21.04,1.6600000000000001,-999.0,9.1788,-84.1234,4.62,1,1,1,1,0,0,0,0,2017-08-18T17:15:12.000015Z,inf,-999.0
11,-999.0,-999.0,-1,-1,94,45.83,2.12,-999.0,9.326,-83.9755,4.92,1,1,0,0,0,0,0,0,2021-05-14T15:33:54.000032Z,inf,-999.0
12,-999.0,-999.0,-1,-1,100,35.88,-999.0,-999.0,9.6161,-84.3211,5.2,0,1,0,0,0,0,0,0,2019-05-13T01:01:52.000003Z,-999.0,-999.0
13,-999.0,-999.0,-1,-1,108,48.8,1.81,-999.0,9.4467,-84.1218,4.58,1,1,1,1,0,0,0,0,2016-10-25T22:35:46.000034Z,inf,-999.0
14,-999.0,-999.0,1,-1,137,22.3,1.19,-999.0,9.4301,-84.5394,4.47,2,3,3,2,0,0,0,0,2015-02-21T20:46:42.000013Z,0.21812728636883202,-999.0
15,-999.0,-999.0,2,-1,147,19.23,2.05,0.23999999999999932,9.6507,-85.1019,4.72,1,2,1,0,1,1,1,1,2014-09-09T16:07:55.000000Z,inf,inf
16,-999.0,-999.0,-1,-1,148,8.88,2.08,-999.0,10.1562,-83.8998,4.75,1,1,0,0,0,0,0,0,2018-11-17T14:12:53.000035Z,inf,-999.0
17,-999.0,-999.0,1,1,149,14.86,2.2300000000000004,-999.0,9.5237,-82.62,5.36,5,7,0,0,0,0,0,0,2019-04-01T13:44:48.000022Z,0.3235865372948039,-999.0
18,-999.0,-999.0,-1,-1,151,20.82,-999.0,-999.0,9.4256,-84.6798,4.79,0,1,0,0,0,0,0,0,2014-02-16T19:21:57.999969Z,-999.0,-999.0
19,-999.0,-999.0,-1,-1,158,15.71,1.8000000000000003,-999.0,9.9631,-84.2501,4.73,2,2,1,1,0,0,0,0,2014-07-24T18:48:25.999979Z,0.036493945553204,-999.0
20,-999.0,-999.0,1,1,160,25.52,1.5,-999.0,8.7003,-82.8495,5.2,7,8,2,2,0,0,0,0,2018-10-22T01:28:41.999981Z,0.29848020865705366,-999.0
21,-999.0,-999.0,-1,-1,169,8.78,1.8399999999999999,-999.0,9.8544,-84.0528,4.55,2,2,2,2,0,0,0,0,2021-07-20T23:57:14.000035Z,0.21352946409715048,-999.0
22,-999.0,-999.0,-1,-1,173,33.47,1.9399999999999995,-999.0,8.4162,-83.0538,4.56,1,1,1,1,0,0,0,0,2017-01-21T04:54:21.999966Z,inf,-999.0
23,-999.0,-999.0,1,1,184,15.47,1.3599999999999999,-999.0,9.779,-85.7183,5.17,3,3,1,1,0,0,0,0,2014-03-05T21:15:46.999983Z,0.12190550724234392,-999.0
24,-999.0,-999.0,3,3,188,31.7,0.16000000000000014,-999.0,8.3354,-82.7874,4.84,3,5,3,3,0,0,0,0,2015-09-19T03:05:11.000003Z,0.07332135260919073,-999.0
25,-999.0,-999.0,1,1,205,34.93,0.71,0.8900000000000001,8.2507,-82.8005,4.42,5,6,6,5,1,1,1,1,2016-05-16T21:54:47.000045Z,0.09138818655316293,inf
26,-999.0,-999.0,4,4,207,21.69,0.009999999999999787,2.1999999999999997,8.3562,-83.1276,5.06,20,22,13,12,1,1,0,0,2014-10-10T06:22:55.000015Z,0.49634063673256,inf
27,-999.0,-999.0,-1,-1,212,26.82,1.9300000000000002,-999.0,9.3412,-84.6272,4.79,1,2,1,1,0,0,0,0,2017-06-17T15:00:37.000020Z,inf,-999.0
28,-999.0,-999.0,-1,-1,213,16.33,-999.0,-999.0,9.4216,-84.6779,5.0,0,1,0,0,0,0,0,0,2019-11-22T09:07:40.999984Z,-999.0,-999.0
29,-999.0,-999.0,1,1,227,8.08,0.9199999999999999,-999.0,9.0005,-84.0963,4.55,3,3,2,2,0,0,0,0,2017-04-08T18:16:35.000035Z,0.269381544879523,-999.0
