,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,0.662938246883104,0.7089888467677016,1,1,1,40.24,1.6900000000000004,0.9000000000000004,8.3224,-82.8194,6.94,474,474,3,3,137,137,1,1,2019-06-26T05:23:46.999998Z,7.947750896993794,2.311745867300873
1,-999.0,-999.0,5,5,2,32.7,-999.0,2.22,8.5014,-82.898,6.04,0,0,0,0,13,13,0,0,2019-05-12T19:24:48.000013Z,-999.0,0.3666812377183824
2,0.7935613456703936,-999.0,1,1,3,23.2,1.5299999999999994,2.98,9.502,-84.6671,6.01,44,44,1,1,20,20,0,0,2020-08-24T21:51:07.999985Z,0.7482981413752761,0.34218262215338524
3,0.9576219207640245,-999.0,1,1,4,31.63,1.87,0.8700000000000001,8.6075,-83.27,5.99,37,37,1,1,27,27,4,4,2018-11-09T09:20:29.999987Z,0.6784995159839338,0.6445853093266276
4,0.6992877250984567,-999.0,2,2,5,19.61,0.25,2.53,8.62,-83.2243,5.97,114,114,8,8,10,10,0,0,2018-08-17T23:22:22.000017Z,5.001551305536793,0.1879867338784732
5,-999.0,-999.0,1,1,6,21.25,2.2900000000000005,2.66,9.908999999999999,-85.6577,5.9,6,6,0,0,3,3,0,0,2017-09-01T07:42:40.999966Z,0.5560758039076248,0.06865794121032441
6,-999.0,-999.0,1,1,7,41.18,2.9099999999999997,1.6099999999999994,9.0166,-83.2119,5.89,8,8,0,0,3,3,1,1,2020-03-07T02:40:44.999968Z,0.19511649827047134,0.0656228116238807
7,0.845342057232607,0.5594116794858104,2,2,8,11.48,1.3099999999999996,0.16000000000000014,8.9644,-84.0972,5.79,128,128,6,6,41,41,8,8,2020-01-21T11:25:33.000017Z,2.1605202971710082,0.7029881162359406
8,-999.0,-999.0,-1,-1,9,25.42,-999.0,-999.0,8.5871,-83.1877,5.72,0,0,0,0,0,0,0,0,2018-08-29T21:33:41.000032Z,-999.0,-999.0
9,-999.0,-999.0,-1,-1,10,20.45,-999.0,-999.0,8.9828,-84.1204,5.63,0,0,0,0,0,0,0,0,2020-01-21T09:33:55.000016Z,-999.0,-999.0
10,0.6165142044190416,0.5208173670793351,5,5,11,9.62,0.3799999999999999,0.15000000000000036,8.2692,-82.9628,5.61,124,124,23,23,31,31,8,8,2020-09-04T17:46:42.999998Z,2.8810315951852594,0.5672828751419061
11,-999.0,-999.0,1,1,12,37.29,1.6799999999999997,2.09,9.5641,-84.1768,5.47,7,7,1,1,6,6,0,0,2018-03-23T07:37:12.999995Z,0.13312407965460593,0.35316142147481466
12,-999.0,-999.0,-1,-1,13,12.79,2.19,-999.0,8.9004,-83.8801,5.46,2,2,0,0,0,0,0,0,2019-01-31T13:09:49.999965Z,0.13687453958826223,-999.0
13,-999.0,-999.0,-1,-1,14,15.58,2.41,-999.0,8.2745,-83.0008,5.46,1,1,0,0,0,0,0,0,2020-09-04T17:45:19.000021Z,inf,-999.0
14,0.8389046455783471,-999.0,1,1,15,13.79,1.0099999999999998,2.25,8.8842,-84.1267,5.42,39,39,3,3,5,5,0,0,2014-08-31T10:01:34.000030Z,0.6933625801066101,0.09873527427366816
15,-999.0,-999.0,1,1,16,33.09,1.0499999999999998,1.4100000000000001,9.3987,-83.8692,5.42,8,8,2,2,5,5,1,1,2016-09-03T22:05:59.999965Z,0.15608670399835875,0.21572505841206696
16,-999.0,-999.0,1,1,17,34.47,2.5700000000000003,-999.0,10.0028,-85.8362,5.4,4,4,0,0,0,0,0,0,2019-12-08T18:31:41.000019Z,0.5749851512045683,-999.0
17,-999.0,-999.0,5,5,18,15.81,0.39999999999999947,0.040000000000000036,8.1065,-82.9191,5.39,23,23,8,8,2,2,2,2,2021-01-29T13:14:42.000001Z,0.6774229837038915,0.08160277676267538
18,-999.0,-999.0,1,1,19,18.71,0.6499999999999995,2.3899999999999997,8.6755,-82.8594,5.39,4,4,2,2,1,1,0,0,2016-01-31T11:38:35.000019Z,0.29905222250704305,inf
19,-999.0,-999.0,1,1,20,34.73,1.92,2.48,9.2587,-84.1327,5.37,10,10,1,1,1,1,0,0,2019-09-18T11:23:24.999967Z,0.21425282179988378,inf
20,-999.0,-999.0,1,1,21,14.86,2.2300000000000004,-999.0,9.5237,-82.62,5.36,5,5,0,0,0,0,0,0,2019-04-01T13:44:48.000022Z,0.3235865372948039,-999.0
21,-999.0,-999.0,1,1,22,18.0,2.7900000000000005,-999.0,9.8168,-82.8831,5.36,3,3,0,0,0,0,0,0,2019-09-18T04:58:51.999970Z,0.1903110248910118,-999.0
22,-999.0,-999.0,1,1,23,19.85,1.2399999999999993,-999.0,8.1335,-82.994,5.35,7,7,2,2,0,0,0,0,2021-01-05T00:55:06.000012Z,0.1766246813096954,-999.0
23,-999.0,-999.0,1,1,24,63.24,2.5700000000000003,1.7000000000000002,10.7085,-85.7058,5.33,2,2,0,0,2,2,2,2,2019-07-08T00:09:01.000003Z,0.042426876248065126,0.09093444615678134
24,-999.0,-999.0,1,1,25,17.47,1.37,1.0,8.9932,-83.965,5.33,6,6,3,3,3,3,1,1,2017-08-27T10:38:56.000030Z,0.16919794495087617,0.05404862123850731
25,-999.0,-999.0,1,1,26,22.93,1.12,1.83,8.2647,-82.8088,5.32,10,10,3,3,10,10,1,1,2020-03-13T04:46:39.000003Z,0.2987003423688083,0.19321700954040605
26,-999.0,-999.0,-1,-1,27,29.53,-999.0,2.1700000000000004,8.1292,-83.11399999999999,5.32,0,0,0,0,1,1,0,0,2018-11-01T11:13:08.000034Z,-999.0,inf
27,-999.0,-999.0,-1,-1,28,40.63,2.84,-999.0,8.3108,-82.8271,5.25,1,1,0,0,0,0,0,0,2019-06-28T11:17:28.999996Z,inf,-999.0
28,-999.0,-999.0,2,2,29,13.33,0.34999999999999964,-999.0,10.7792,-85.0617,5.25,5,5,4,4,0,0,0,0,2016-07-03T01:58:29.000034Z,0.2898015999527787,-999.0
29,0.9143714798610867,-999.0,1,1,30,17.28,0.7400000000000002,2.2100000000000004,9.454,-84.5457,5.24,143,143,19,19,2,2,0,0,2017-11-13T02:32:30.000018Z,3.251285427683905,0.06804159515047448
30,-999.0,-999.0,1,1,31,21.08,0.5900000000000007,-999.0,9.5061,-84.8538,5.23,17,17,2,2,0,0,0,0,2014-01-17T21:02:41.000002Z,0.29106756679572027,-999.0
31,-999.0,-999.0,1,1,32,36.87,1.5300000000000002,-999.0,8.4195,-82.9066,5.23,16,16,2,2,0,0,0,0,2019-08-28T23:17:22.000045Z,0.3164499733652783,-999.0
32,-999.0,-999.0,-1,-1,33,14.11,-999.0,-999.0,8.2689,-82.9946,5.23,0,0,0,0,0,0,0,0,2020-09-04T17:48:50.999967Z,-999.0,-999.0
33,-999.0,-999.0,-1,-1,34,23.97,-999.0,-999.0,8.6073,-83.2619,5.22,0,0,0,0,0,0,0,0,2018-08-19T02:20:29.999970Z,-999.0,-999.0
34,-999.0,-999.0,2,2,35,22.6,0.8599999999999994,0.09999999999999964,8.4678,-83.319,5.22,18,18,8,8,5,5,2,2,2018-03-03T01:02:50.999964Z,0.3049523580560764,0.10102455738733974
35,-999.0,-999.0,1,1,36,46.39,1.12,-999.0,8.8452,-84.0868,5.22,11,11,4,4,0,0,0,0,2015-01-10T06:56:09.000033Z,0.2091057823548074,-999.0
36,-999.0,-999.0,1,1,37,8.82,0.8600000000000003,1.31,8.9262,-84.1058,5.21,10,10,3,3,3,3,1,1,2018-10-09T01:48:03.999964Z,0.3339014295192158,0.18386695182264295
37,-999.0,-999.0,1,1,38,25.52,1.5,2.6300000000000003,8.7003,-82.8495,5.2,6,6,2,2,1,1,0,0,2018-10-22T01:28:41.999981Z,0.25856870450628533,inf
38,-999.0,-999.0,-1,-1,39,35.88,-999.0,1.6900000000000004,9.6161,-84.3211,5.2,0,0,0,0,2,2,1,1,2019-05-13T01:01:52.000003Z,-999.0,0.051855624099739685
39,-999.0,-999.0,-1,-1,40,21.13,-999.0,-999.0,8.6068,-83.2051,5.19,0,0,0,0,0,0,0,0,2018-08-17T23:49:33.000031Z,-999.0,-999.0
40,-999.0,-999.0,-1,-1,41,15.47,2.46,-999.0,9.779,-85.7183,5.17,2,2,0,0,0,0,0,0,2014-03-05T21:15:46.999983Z,0.08127033816156261,-999.0
41,-999.0,-999.0,-1,-1,42,10.32,1.9899999999999998,-999.0,10.7474,-85.1484,5.17,1,1,1,1,0,0,0,0,2017-11-29T08:47:38.999986Z,inf,-999.0
42,-999.0,-999.0,-1,-1,43,51.05,-999.0,-999.0,8.0932,-82.993,5.17,0,0,0,0,0,0,0,0,2017-09-05T11:28:28.999997Z,-999.0,-999.0
43,-999.0,-999.0,-1,-1,44,42.25,-999.0,-999.0,8.3265,-82.899,5.17,0,0,0,0,0,0,0,0,2019-06-27T13:36:14.000033Z,-999.0,-999.0
44,-999.0,-999.0,-1,-1,45,21.67,-999.0,2.58,8.5045,-83.6802,5.16,0,0,0,0,1,1,0,0,2016-02-20T11:31:39.000003Z,-999.0,inf
45,-999.0,-999.0,1,1,46,50.31,0.5300000000000002,-999.0,10.1504,-85.3624,5.15,3,3,3,3,0,0,0,0,2014-07-06T11:42:41.000003Z,0.07707317015113856,-999.0
46,-999.0,-999.0,2,2,47,18.52,1.2599999999999998,0.22999999999999954,9.506,-83.7538,5.13,18,18,6,6,1,1,1,1,2015-04-03T18:42:35.999966Z,0.7134193669077886,inf
47,-999.0,-999.0,1,1,48,22.18,0.6600000000000001,2.29,8.4706,-83.1165,5.13,10,10,4,4,3,3,0,0,2015-07-10T11:46:05.999987Z,0.6968191496188297,0.1876154953593998
48,-999.0,-999.0,2,2,49,31.76,0.79,0.34999999999999964,8.9302,-84.2377,5.13,11,11,4,4,12,12,4,4,2016-01-16T16:57:59.999970Z,0.24262240509564018,7.968090750087287
49,-999.0,-999.0,-1,-1,50,20.72,-999.0,-999.0,8.663,-83.26100000000001,5.12,0,0,0,0,0,0,0,0,2018-09-14T01:35:59.000034Z,-999.0,-999.0
50,-999.0,-999.0,2,2,51,25.32,0.9100000000000001,-999.0,8.5183,-83.324,5.12,7,7,3,3,0,0,0,0,2018-02-26T13:14:58.999978Z,0.12676335306759212,-999.0
51,-999.0,-999.0,1,1,52,11.94,1.2900000000000005,-999.0,8.6716,-82.7727,5.11,15,15,3,3,0,0,0,0,2021-06-18T13:57:24.000015Z,1.6699610599215204,-999.0
52,-999.0,-999.0,3,3,53,21.69,0.09999999999999964,2.1999999999999997,8.3562,-83.1276,5.06,16,16,8,8,2,2,0,0,2014-10-10T06:22:55.000015Z,1.2523134370594442,219.01139421191056
53,-999.0,-999.0,-1,-1,54,22.24,1.3699999999999997,1.5299999999999998,8.3161,-83.0922,5.05,1,1,1,1,1,1,1,1,2014-10-12T06:25:24.000012Z,inf,inf
54,-999.0,-999.0,1,1,55,17.56,1.65,0.6600000000000001,9.5214,-84.8718,5.05,2,2,1,1,2,2,2,2,2017-09-02T10:38:15.000031Z,69.84640063531273,0.05443174580342824
55,-999.0,-999.0,-1,-1,56,18.73,2.58,2.0100000000000002,8.1889,-82.7173,5.04,1,1,0,0,1,1,0,0,2014-04-19T13:36:03.999997Z,inf,inf
56,-999.0,-999.0,-1,-1,57,40.65,-999.0,-999.0,8.3487,-82.8501,5.01,0,0,0,0,0,0,0,0,2019-06-26T05:47:22.000018Z,-999.0,-999.0
57,-999.0,-999.0,1,1,58,16.33,-999.0,2.45,9.4216,-84.6779,5.0,0,0,0,0,3,3,0,0,2019-11-22T09:07:40.999984Z,-999.0,0.2923498407850235
58,-999.0,-999.0,1,1,59,13.38,1.4300000000000002,2.43,8.9855,-83.9944,5.0,2,2,1,1,1,1,0,0,2014-10-14T03:31:08.999971Z,0.075466688093148,inf
59,-999.0,-999.0,-1,-1,60,34.67,1.9500000000000002,-999.0,9.0142,-83.9751,4.99,1,1,1,1,0,0,0,0,2018-02-24T10:26:48.000016Z,inf,-999.0
60,-999.0,-999.0,-1,-1,61,19.17,-999.0,-999.0,8.0888,-82.9283,4.99,0,0,0,0,0,0,0,0,2021-01-29T13:23:23.000031Z,-999.0,-999.0
61,-999.0,-999.0,1,1,62,38.34,2.0500000000000003,2.0500000000000003,9.4926,-84.4803,4.99,2,2,0,0,5,5,0,0,2018-03-12T21:42:20.999987Z,0.21154149849723866,0.14587542306558215
62,-999.0,-999.0,-1,-1,63,21.88,-999.0,-999.0,8.6024,-83.1885,4.99,0,0,0,0,0,0,0,0,2018-08-30T08:02:06.000034Z,-999.0,-999.0
63,-999.0,-999.0,-1,-1,64,18.88,-999.0,-999.0,8.2078,-83.0067,4.97,0,0,0,0,0,0,0,0,2020-09-03T05:29:50.999995Z,-999.0,-999.0
64,-999.0,-999.0,1,1,65,48.48,2.3099999999999996,1.1199999999999997,8.2522,-82.7831,4.97,3,3,0,0,5,5,2,2,2019-12-05T01:03:05.999964Z,0.166023794172559,0.10726576583420154
65,-999.0,-999.0,-1,-1,66,24.12,-999.0,-999.0,8.3388,-83.1197,4.96,0,0,0,0,0,0,0,0,2014-10-10T10:52:32.999984Z,-999.0,-999.0
66,-999.0,-999.0,-1,-1,67,0.97,-999.0,-999.0,8.8177,-83.8976,4.95,0,0,0,0,0,0,0,0,2015-11-21T23:58:28.999981Z,-999.0,-999.0
67,-999.0,-999.0,-1,-1,68,43.29,-999.0,-999.0,9.0217,-83.6674,4.93,0,0,0,0,0,0,0,0,2016-08-25T13:34:02.999999Z,-999.0,-999.0
68,-999.0,-999.0,2,2,69,29.81,0.20999999999999996,2.4299999999999997,8.4635,-82.9855,4.93,14,14,4,4,1,1,0,0,2020-12-08T14:20:48.000013Z,0.4191685035935139,inf
69,-999.0,-999.0,5,5,70,19.81,0.20000000000000018,-999.0,7.9623,-82.9021,4.92,8,8,7,7,0,0,0,0,2021-01-29T11:23:23.999972Z,8.749367088029981,-999.0
70,-999.0,-999.0,1,1,71,58.9,1.9100000000000001,2.1,9.6023,-84.0221,4.92,4,4,2,2,2,2,0,0,2015-04-18T23:33:03.999964Z,0.14458411984147185,0.10290970031115093
