,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,24.46,10.379000000000001,-85.8797,4.43,0,0,0,0,1,1,1,1,2014-11-06T11:45:31.000036Z
1,2,2,13.33,10.7792,-85.0617,5.25,4,4,4,4,0,0,0,0,2016-07-03T01:58:29.000034Z
2,-1,-1,45.83,10.0279,-85.0395,4.87,0,0,0,0,1,2,2,1,2014-03-10T18:00:57.999967Z
3,1,1,35.39,9.0789,-83.7393,4.47,3,3,3,3,0,0,0,0,2020-02-10T08:16:49.000002Z
4,1,-1,29.53,8.1292,-83.11399999999999,5.32,0,0,0,0,1,4,0,0,2018-11-01T11:13:08.000034Z
5,2,2,24.35,8.0149,-82.979,4.45,5,5,5,5,1,1,1,1,2018-02-07T05:52:47.000005Z
6,1,-1,8.78,9.8544,-84.0528,4.55,1,1,1,1,1,2,2,1,2021-07-20T23:57:14.000035Z
7,2,-1,19.23,9.6507,-85.1019,4.72,1,1,0,0,1,2,2,1,2014-09-09T16:07:55.000000Z
8,-1,-1,8.88,10.1562,-83.8998,4.75,1,1,0,0,0,0,0,0,2018-11-17T14:12:53.000035Z
9,1,1,10.22,9.33,-83.2865,4.46,2,2,2,2,1,1,1,1,2017-12-31T13:38:14.000036Z
10,-1,-1,15.71,9.9631,-84.2501,4.73,1,1,0,0,0,0,0,0,2014-07-24T18:48:25.999979Z
11,-1,-1,43.29,9.0217,-83.6674,4.93,0,0,0,0,1,1,0,0,2016-08-25T13:34:02.999999Z
12,-1,-1,14.93,9.9338,-83.6269,4.46,0,0,0,0,1,1,1,1,2017-08-19T21:38:03.999983Z
13,1,-1,10.59,10.5567,-85.5435,4.83,2,2,2,2,0,3,1,0,2021-09-13T06:32:01.999965Z
14,1,1,50.31,10.1504,-85.3624,5.15,4,4,4,4,0,2,1,0,2014-07-06T11:42:41.000003Z
15,1,1,21.04,9.1788,-84.1234,4.62,0,0,0,0,3,6,5,3,2017-08-18T17:15:12.000015Z
16,-1,-1,21.67,8.5045,-83.6802,5.16,1,1,1,1,1,1,0,0,2016-02-20T11:31:39.000003Z
17,-1,-1,27.27,8.0668,-82.9663,4.49,0,0,0,0,1,1,1,1,2020-01-30T08:27:21.000014Z
18,1,1,26.66,9.8853,-85.712,4.92,5,5,3,3,0,0,0,0,2015-12-10T00:03:13.999964Z
19,1,1,18.71,8.6755,-82.8594,5.39,6,6,2,2,2,5,2,0,2016-01-31T11:38:35.000019Z
20,1,1,4.34,8.5638,-83.6785,4.67,0,0,0,0,4,5,3,2,2018-12-23T09:55:04.000013Z
21,1,-1,19.16,9.5173,-83.7567,4.58,0,0,0,0,2,3,2,2,2014-07-16T22:10:03.999970Z
22,1,1,17.56,9.5214,-84.8718,5.05,3,3,1,1,11,17,8,6,2017-09-02T10:38:15.000031Z
23,1,1,11.58,10.1538,-83.9873,4.68,3,3,2,2,2,2,2,2,2015-10-31T15:10:13.999949Z
24,-1,-1,18.4,8.3213,-83.4283,4.55,0,0,0,0,1,2,1,0,2021-09-29T19:10:33.000033Z
25,1,-1,25.83,9.3554,-82.63600000000001,4.43,0,0,0,0,0,7,7,0,2018-06-28T08:01:13.000020Z
26,1,1,15.47,9.779,-85.7183,5.17,7,7,1,1,2,2,0,0,2014-03-05T21:15:46.999983Z
27,1,1,38.13,8.8771,-84.074,4.58,1,1,1,1,11,18,15,9,2016-11-30T21:50:11.000003Z
28,1,1,41.14,8.7571,-82.8615,4.81,1,1,0,0,3,3,3,3,2018-04-01T03:32:01.999965Z
