,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,20.6,8.305,-82.8232,4.89,0,1,1,0,0,0,0,0,2015-06-25T02:53:11.000036Z
1,-1,-1,45.83,10.0279,-85.0395,4.87,1,1,1,1,0,0,0,0,2014-03-10T18:00:57.999967Z
2,-1,-1,10.32,10.7474,-85.1484,5.17,1,1,1,1,0,0,0,0,2017-11-29T08:47:38.999986Z
3,1,-1,20.73,9.4963,-84.84700000000001,4.64,2,3,3,2,0,0,0,0,2019-10-10T03:22:58.999984Z
4,-1,-1,10.22,9.33,-83.2865,4.46,1,1,1,1,0,0,0,0,2017-12-31T13:38:14.000036Z
5,-1,-1,34.67,9.0142,-83.9751,4.99,1,1,1,1,0,0,0,0,2018-02-24T10:26:48.000016Z
6,1,1,11.34,8.9684,-84.1633,4.68,2,2,2,2,1,1,1,1,2014-03-04T05:28:45.999986Z
7,-1,-1,10.12,8.3233,-82.9445,4.44,1,1,1,1,0,0,0,0,2014-08-28T10:52:20.999968Z
8,1,-1,20.56,8.0975,-82.8929,4.92,1,2,2,1,1,1,1,1,2014-04-16T13:37:08.000032Z
9,1,1,50.31,10.1504,-85.3624,5.15,3,5,4,3,0,0,0,0,2014-07-06T11:42:41.000003Z
10,-1,-1,21.04,9.1788,-84.1234,4.62,1,1,1,1,0,0,0,0,2017-08-18T17:15:12.000015Z
11,-1,-1,45.83,9.326,-83.9755,4.92,1,1,0,0,0,0,0,0,2021-05-14T15:33:54.000032Z
12,-1,-1,35.88,9.6161,-84.3211,5.2,0,1,0,0,0,0,0,0,2019-05-13T01:01:52.000003Z
13,-1,-1,48.8,9.4467,-84.1218,4.58,1,1,1,1,0,0,0,0,2016-10-25T22:35:46.000034Z
14,1,-1,22.3,9.4301,-84.5394,4.47,2,3,3,2,0,0,0,0,2015-02-21T20:46:42.000013Z
15,2,-1,19.23,9.6507,-85.1019,4.72,1,2,1,0,1,1,1,1,2014-09-09T16:07:55.000000Z
16,-1,-1,8.88,10.1562,-83.8998,4.75,1,1,0,0,0,0,0,0,2018-11-17T14:12:53.000035Z
17,1,1,14.86,9.5237,-82.62,5.36,5,7,0,0,0,0,0,0,2019-04-01T13:44:48.000022Z
18,-1,-1,20.82,9.4256,-84.6798,4.79,0,1,0,0,0,0,0,0,2014-02-16T19:21:57.999969Z
19,-1,-1,15.71,9.9631,-84.2501,4.73,2,2,1,1,0,0,0,0,2014-07-24T18:48:25.999979Z
20,1,1,25.52,8.7003,-82.8495,5.2,7,8,2,2,0,0,0,0,2018-10-22T01:28:41.999981Z
21,-1,-1,8.78,9.8544,-84.0528,4.55,2,2,2,2,0,0,0,0,2021-07-20T23:57:14.000035Z
22,-1,-1,33.47,8.4162,-83.0538,4.56,1,1,1,1,0,0,0,0,2017-01-21T04:54:21.999966Z
23,1,1,15.47,9.779,-85.7183,5.17,3,3,1,1,0,0,0,0,2014-03-05T21:15:46.999983Z
24,3,3,31.7,8.3354,-82.7874,4.84,3,5,3,3,0,0,0,0,2015-09-19T03:05:11.000003Z
25,1,1,34.93,8.2507,-82.8005,4.42,5,6,6,5,1,1,1,1,2016-05-16T21:54:47.000045Z
26,4,4,21.69,8.3562,-83.1276,5.06,20,22,13,12,1,1,0,0,2014-10-10T06:22:55.000015Z
27,-1,-1,26.82,9.3412,-84.6272,4.79,1,2,1,1,0,0,0,0,2017-06-17T15:00:37.000020Z
28,-1,-1,16.33,9.4216,-84.6779,5.0,0,1,0,0,0,0,0,0,2019-11-22T09:07:40.999984Z
29,1,1,8.08,9.0005,-84.0963,4.55,3,3,2,2,0,0,0,0,2017-04-08T18:16:35.000035Z
30,1,1,32.9,8.2567,-82.7568,4.48,4,4,4,4,0,0,0,0,2017-03-18T05:00:10.999984Z
31,2,-1,30.45,8.2049,-82.8111,4.85,0,3,1,0,0,0,0,0,2015-11-02T10:36:28.000018Z
32,1,1,8.72,9.8756,-83.9315,4.43,4,4,4,4,0,0,0,0,2014-07-26T05:49:50.000019Z
33,1,1,37.29,9.5641,-84.1768,5.47,7,13,1,1,0,0,0,0,2018-03-23T07:37:12.999995Z
34,1,1,11.58,10.1538,-83.9873,4.68,3,4,3,2,0,0,0,0,2015-10-31T15:10:13.999949Z
35,1,1,25.05,9.639,-84.8783,4.77,4,6,2,2,0,0,0,0,2020-12-08T03:33:27.000027Z
36,1,1,18.71,8.6755,-82.8594,5.39,4,7,2,2,0,0,0,0,2016-01-31T11:38:35.000019Z
37,1,1,22.18,8.4706,-83.1165,5.13,10,11,4,4,0,0,0,0,2015-07-10T11:46:05.999987Z
38,-1,-1,48.03,8.724,-83.0893,4.5,2,2,1,1,0,0,0,0,2014-11-17T19:28:56.999970Z
39,5,5,4.52,9.343,-83.2595,4.54,6,6,5,5,6,6,5,5,2019-05-03T21:30:39.999967Z
40,1,1,31.6,9.4688,-83.7837,4.55,4,4,3,3,0,0,0,0,2016-01-18T00:46:21.000003Z
41,1,-1,18.73,8.1889,-82.7173,5.04,1,3,2,0,0,0,0,0,2014-04-19T13:36:03.999997Z
42,-1,-1,8.87,10.1621,-84.1545,4.43,2,2,2,2,0,0,0,0,2015-03-31T09:09:23.000034Z
43,1,1,27.11,8.9081,-82.9123,4.88,4,4,1,1,0,0,0,0,2015-02-18T16:59:34.999958Z
44,1,1,13.13,9.799,-84.0963,4.45,5,5,5,5,1,1,1,1,2018-07-27T17:50:45.999997Z
45,1,1,22.64,9.652000000000001,-84.1985,4.86,5,8,0,0,0,0,0,0,2014-08-07T08:50:03.000019Z
46,1,1,21.25,9.908999999999999,-85.6577,5.9,6,16,0,0,1,1,0,0,2017-09-01T07:42:40.999966Z
47,1,1,17.56,9.5214,-84.8718,5.05,2,4,2,1,1,1,1,1,2017-09-02T10:38:15.000031Z
48,1,1,58.9,9.6023,-84.0221,4.92,4,5,2,2,0,0,0,0,2015-04-18T23:33:03.999964Z
49,-1,-1,15.94,9.307,-84.6356,4.78,1,1,0,0,0,0,0,0,2018-07-25T09:43:42.999965Z
50,1,1,18.0,9.8168,-82.8831,5.36,3,4,0,0,0,0,0,0,2019-09-18T04:58:51.999970Z
51,1,1,17.53,9.4201,-84.667,4.62,4,6,5,4,1,1,0,0,2017-11-22T13:26:11.999990Z
52,1,1,2.74,9.9539,-83.7872,4.91,27,27,8,8,0,0,0,0,2016-12-01T00:25:19.000049Z
53,1,1,27.6,9.4744,-83.791,4.82,6,6,3,3,0,0,0,0,2018-04-27T15:33:41.000032Z
54,1,-1,13.38,8.9855,-83.9944,5.0,2,6,1,1,0,0,0,0,2014-10-14T03:31:08.999971Z
55,1,1,16.0,8.9772,-84.1204,4.51,3,3,2,2,0,0,0,0,2015-12-04T02:56:24.999999Z
56,2,2,13.33,10.7792,-85.0617,5.25,5,5,4,4,0,0,0,0,2016-07-03T01:58:29.000034Z
57,2,2,22.6,8.4678,-83.319,5.22,26,28,11,11,7,7,2,2,2018-03-03T01:02:50.999964Z
58,1,-1,38.34,9.4926,-84.4803,4.99,2,4,0,0,0,0,0,0,2018-03-12T21:42:20.999987Z
59,2,2,26.6,8.831,-82.9124,4.74,6,6,2,2,1,1,1,1,2018-08-18T18:18:28.999980Z
60,1,1,18.38,9.8688,-85.5065,4.4,4,4,4,4,0,0,0,0,2020-04-26T06:14:13.999985Z
61,1,1,23.82,9.0037,-83.9478,4.78,4,4,2,2,1,1,1,1,2021-09-09T04:27:30.000019Z
62,-1,-1,14.23,9.8947,-83.5161,4.59,2,2,1,1,0,0,0,0,2015-09-26T14:45:02.000043Z
63,1,-1,63.24,10.7085,-85.7058,5.33,2,4,0,0,0,0,0,0,2019-07-08T00:09:01.000003Z
64,1,1,33.09,9.3987,-83.8692,5.42,8,14,3,2,0,0,0,0,2016-09-03T22:05:59.999965Z
65,-1,-1,20.65,9.0198,-84.0667,4.65,1,2,1,0,0,0,0,0,2021-03-08T09:10:16.000028Z
66,2,2,18.52,9.506,-83.7538,5.13,18,22,7,6,1,1,1,1,2015-04-03T18:42:35.999966Z
67,2,2,40.38,9.5164,-84.1287,4.83,13,15,4,4,3,3,2,2,2014-01-30T01:40:44.000027Z
68,1,1,34.47,10.0028,-85.8362,5.4,4,4,0,0,0,0,0,0,2019-12-08T18:31:41.000019Z
69,2,1,13.79,8.8842,-84.1267,5.42,39,80,11,3,1,1,0,0,2014-08-31T10:01:34.000030Z
70,1,-1,12.79,8.9004,-83.8801,5.46,2,5,0,0,0,0,0,0,2019-01-31T13:09:49.999965Z
71,2,1,8.82,8.9262,-84.1058,5.21,11,39,6,3,0,0,0,0,2018-10-09T01:48:03.999964Z
