,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,40.24,8.3224,-82.8194,6.94,474,474,3,3,137,137,1,1,2019-06-26T05:23:46.999998Z
1,5,5,32.7,8.5014,-82.898,6.04,0,0,0,0,13,13,0,0,2019-05-12T19:24:48.000013Z
2,1,1,23.2,9.502,-84.6671,6.01,44,44,1,1,20,20,0,0,2020-08-24T21:51:07.999985Z
3,1,1,31.63,8.6075,-83.27,5.99,37,37,1,1,27,27,4,4,2018-11-09T09:20:29.999987Z
4,2,2,19.61,8.62,-83.2243,5.97,114,114,8,8,10,10,0,0,2018-08-17T23:22:22.000017Z
5,1,1,21.25,9.908999999999999,-85.6577,5.9,6,6,0,0,3,3,0,0,2017-09-01T07:42:40.999966Z
6,1,1,41.18,9.0166,-83.2119,5.89,8,8,0,0,3,3,1,1,2020-03-07T02:40:44.999968Z
7,2,2,11.48,8.9644,-84.0972,5.79,128,128,6,6,41,41,8,8,2020-01-21T11:25:33.000017Z
8,-1,-1,25.42,8.5871,-83.1877,5.72,0,0,0,0,0,0,0,0,2018-08-29T21:33:41.000032Z
9,-1,-1,20.45,8.9828,-84.1204,5.63,0,0,0,0,0,0,0,0,2020-01-21T09:33:55.000016Z
10,5,5,9.62,8.2692,-82.9628,5.61,124,124,23,23,31,31,8,8,2020-09-04T17:46:42.999998Z
11,1,1,37.29,9.5641,-84.1768,5.47,7,7,1,1,6,6,0,0,2018-03-23T07:37:12.999995Z
12,-1,-1,12.79,8.9004,-83.8801,5.46,2,2,0,0,0,0,0,0,2019-01-31T13:09:49.999965Z
13,-1,-1,15.58,8.2745,-83.0008,5.46,1,1,0,0,0,0,0,0,2020-09-04T17:45:19.000021Z
14,1,1,13.79,8.8842,-84.1267,5.42,39,39,3,3,5,5,0,0,2014-08-31T10:01:34.000030Z
15,1,1,33.09,9.3987,-83.8692,5.42,8,8,2,2,5,5,1,1,2016-09-03T22:05:59.999965Z
16,1,1,34.47,10.0028,-85.8362,5.4,4,4,0,0,0,0,0,0,2019-12-08T18:31:41.000019Z
17,5,5,15.81,8.1065,-82.9191,5.39,23,23,8,8,2,2,2,2,2021-01-29T13:14:42.000001Z
18,1,1,18.71,8.6755,-82.8594,5.39,4,4,2,2,1,1,0,0,2016-01-31T11:38:35.000019Z
19,1,1,34.73,9.2587,-84.1327,5.37,10,10,1,1,1,1,0,0,2019-09-18T11:23:24.999967Z
20,1,1,14.86,9.5237,-82.62,5.36,5,5,0,0,0,0,0,0,2019-04-01T13:44:48.000022Z
21,1,1,18.0,9.8168,-82.8831,5.36,3,3,0,0,0,0,0,0,2019-09-18T04:58:51.999970Z
22,1,1,19.85,8.1335,-82.994,5.35,7,7,2,2,0,0,0,0,2021-01-05T00:55:06.000012Z
23,1,1,63.24,10.7085,-85.7058,5.33,2,2,0,0,2,2,2,2,2019-07-08T00:09:01.000003Z
24,1,1,17.47,8.9932,-83.965,5.33,6,6,3,3,3,3,1,1,2017-08-27T10:38:56.000030Z
25,1,1,22.93,8.2647,-82.8088,5.32,10,10,3,3,10,10,1,1,2020-03-13T04:46:39.000003Z
26,-1,-1,29.53,8.1292,-83.11399999999999,5.32,0,0,0,0,1,1,0,0,2018-11-01T11:13:08.000034Z
27,-1,-1,40.63,8.3108,-82.8271,5.25,1,1,0,0,0,0,0,0,2019-06-28T11:17:28.999996Z
28,2,2,13.33,10.7792,-85.0617,5.25,5,5,4,4,0,0,0,0,2016-07-03T01:58:29.000034Z
29,1,1,17.28,9.454,-84.5457,5.24,143,143,19,19,2,2,0,0,2017-11-13T02:32:30.000018Z
30,1,1,21.08,9.5061,-84.8538,5.23,17,17,2,2,0,0,0,0,2014-01-17T21:02:41.000002Z
31,1,1,36.87,8.4195,-82.9066,5.23,16,16,2,2,0,0,0,0,2019-08-28T23:17:22.000045Z
32,-1,-1,14.11,8.2689,-82.9946,5.23,0,0,0,0,0,0,0,0,2020-09-04T17:48:50.999967Z
33,-1,-1,23.97,8.6073,-83.2619,5.22,0,0,0,0,0,0,0,0,2018-08-19T02:20:29.999970Z
34,2,2,22.6,8.4678,-83.319,5.22,18,18,8,8,5,5,2,2,2018-03-03T01:02:50.999964Z
35,1,1,46.39,8.8452,-84.0868,5.22,11,11,4,4,0,0,0,0,2015-01-10T06:56:09.000033Z
36,1,1,8.82,8.9262,-84.1058,5.21,10,10,3,3,3,3,1,1,2018-10-09T01:48:03.999964Z
