,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,1005,108,346,11.0,33.919000000000004,-118.62700000000001,5.0,40,39,46,44,49,0,0,0,0,0,1989-01-19T06:53:28.840018Z,1989-01-19T06:53:28.840018Z,1989-01-19T06:53:26.999999,1,1,1,1,1
1,655,44,277,5.0,34.943000000000005,-118.743,5.4,6,6,6,12,11,0,0,0,0,0,1988-06-10T23:06:43.050020Z,1988-06-10T23:06:43.050020Z,1988-06-10T23:06:42.000003,1,1,1,1,1
2,1099,1,551,0.0,34.2,-116.43700000000001,7.3,2874,2873,3028,5148,3628,176,192,10,555,10,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:33.000000,1,1,1,1,1
3,16,213,1179,7.0,34.3,-118.62,4.7,1,1,1,1,1,0,0,0,0,0,2007-08-09T07:58:49.590015Z,2007-08-09T07:58:49.590015Z,2007-08-09T07:58:48.000003,-1,-1,-1,-1,-1
4,598,32,1222,15.0,33.949,-117.766,5.4,7,7,8,7,8,0,0,0,0,0,2008-07-29T18:42:15.669972Z,2008-07-29T18:42:15.669972Z,2008-07-29T18:42:13.999997,1,1,1,1,1
5,594,158,373,12.0,33.619,-117.902,4.8,2,2,3,2,3,0,0,0,0,0,1989-04-07T20:07:30.300015Z,1989-04-07T20:07:30.300015Z,1989-04-07T20:07:29.000001,-1,-1,1,-1,1
6,1011,42,1144,6.0,32.306999999999995,-115.228,5.4,22,22,26,24,29,0,2,1,0,1,2006-05-24T04:20:26.009983Z,2006-05-24T04:20:26.009983Z,2006-05-24T04:20:25.000003,1,1,1,1,1
7,1,152,385,15.0,34.028,-118.18,4.8,1,1,1,1,1,0,0,0,0,0,1989-06-12T16:57:18.490036Z,1989-06-12T16:57:18.490036Z,1989-06-12T16:57:17.000002,-1,-1,-1,-1,-1
8,1049,61,818,0.0,36.067,-117.63799999999999,5.2,70,70,75,76,79,0,0,0,0,0,1998-03-06T05:47:40.339970Z,1998-03-06T05:47:40.339970Z,1998-03-06T05:47:39.000003,4,4,4,4,4
9,883,159,1497,7.0,34.406,-119.92,4.8,3,3,5,3,5,0,0,0,0,0,2013-05-29T14:38:03.410018Z,2013-05-29T14:38:03.410018Z,2013-05-29T14:38:02.000003,1,1,1,1,1
10,701,166,1017,9.0,33.912,-117.78299999999999,4.8,5,5,5,5,5,1,1,1,1,1,2002-09-03T07:08:51.839981Z,2002-09-03T07:08:51.839981Z,2002-09-03T07:08:49.999998,1,1,1,1,1
11,873,99,1236,6.0,32.329,-115.33200000000001,5.0,2,2,2,3,5,0,1,6,0,6,2008-11-20T19:23:00.189996Z,2008-11-20T19:23:00.189996Z,2008-11-20T19:23:00.000001,-1,1,1,1,1
12,822,81,1239,6.0,34.813,-116.419,5.1,4,4,5,4,5,0,0,0,0,0,2008-12-06T04:18:42.850022Z,2008-12-06T04:18:42.850022Z,2008-12-06T04:18:40.999998,1,1,1,1,1
13,430,177,828,4.0,36.945,-117.525,4.8,5,4,21,6,21,0,0,0,0,0,1998-07-02T03:39:50.449969Z,1998-07-02T03:39:50.449969Z,1998-07-02T03:39:48.999997,1,1,1,1,1
14,577,196,1488,10.0,33.501,-116.458,4.7,8,8,9,8,13,0,0,1,0,1,2013-03-11T16:56:06.059963Z,2013-03-11T16:56:06.059963Z,2013-03-11T16:56:04.999998,1,1,1,1,1
15,2,174,790,5.0,32.681,-118.109,4.8,1,1,8,1,8,0,0,0,0,0,1997-06-20T04:35:40.520030Z,1997-06-20T04:35:40.520030Z,1997-06-20T04:35:38.999998,-1,-1,0,-1,0
16,935,20,1005,7.0,32.319,-115.322,5.7,141,136,151,153,163,0,3,0,0,0,2002-02-22T19:32:41.749958Z,2002-02-22T19:32:41.749958Z,2002-02-22T19:32:40.000002,1,1,1,1,1
17,1032,12,203,8.0,34.061,-118.079,5.9,67,67,70,73,74,0,0,0,0,0,1987-10-01T14:42:20.020002Z,1987-10-01T14:42:20.020002Z,1987-10-01T14:42:18.999997,1,1,1,1,1
18,799,165,834,4.0,34.121,-116.928,4.8,9,9,10,10,12,0,0,0,0,0,1998-08-16T13:34:40.230013Z,1998-08-16T13:34:40.230013Z,1998-08-16T13:34:39.000000,2,2,2,2,2
19,907,56,784,0.0,34.971,-116.819,5.3,11,11,11,18,18,1,1,1,1,1,1997-03-18T15:24:47.720044Z,1997-03-18T15:24:47.720044Z,1997-03-18T15:24:45.999997,1,1,1,1,1
20,667,77,785,15.0,34.369,-118.67,5.1,23,23,26,24,27,0,0,0,0,0,1997-04-26T10:37:30.669996Z,1997-04-26T10:37:30.669996Z,1997-04-26T10:37:28.999999,2,2,2,2,2
21,892,15,503,8.0,34.27,-117.993,5.8,11,11,14,13,17,0,0,0,0,0,1991-06-28T14:43:54.659964Z,1991-06-28T14:43:54.659964Z,1991-06-28T14:43:53.000000,1,1,1,1,1
22,424,65,639,20.0,35.149,-119.104,5.2,2,2,2,2,2,0,0,0,0,0,1993-05-28T04:47:40.600001Z,1993-05-28T04:47:40.600001Z,1993-05-28T04:47:38.999999,-1,-1,-1,-1,-1
23,1078,6,218,11.0,33.015,-115.852,6.6,410,410,449,654,482,95,98,102,95,102,1987-11-24T13:15:56.709996Z,1987-11-24T13:15:56.709996Z,1987-11-24T13:15:54.999999,2,2,2,2,2
24,671,154,843,4.0,34.323,-116.844,4.8,14,14,15,16,35,0,0,0,0,0,1998-10-27T01:08:40.649969Z,1998-10-27T01:08:40.649969Z,1998-10-27T01:08:38.999999,1,1,1,1,2
25,898,134,1590,22.0,35.542,-119.37299999999999,4.9,2,2,2,2,2,0,0,0,0,0,2016-02-24T00:02:23.629979Z,2016-02-24T00:02:23.629979Z,2016-02-24T00:02:22.000002,-1,-1,-1,-1,-1
