,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
0,943,158,360,12.0,33.619,-117.902,4.8,2,2,3,2,3,0,0,0,0,0,1989-04-07T20:07:30.300015Z,1989-04-07T20:07:30.300015Z,1989-04-07T20:07:29.000001,0,0,1,0,1
1,1669,4,1602,8.0,35.77,-117.59899999999999,7.1,1703,1720,1814,1795,1916,243,257,262,244,262,2019-07-06T03:19:53.039968Z,2019-07-06T03:19:53.039968Z,2019-07-06T03:19:52.000003,1,1,1,1,1
2,1673,2,1257,10.0,32.286,-115.295,7.2,2264,2292,2450,3051,3058,31,45,10,390,10,2010-04-04T22:40:42.359984Z,2010-04-04T22:40:42.359984Z,2010-04-04T22:40:40.999998,1,1,1,1,1
3,1667,1,524,0.0,34.2,-116.43700000000001,7.3,2797,2855,3102,3420,3721,179,192,10,569,10,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:33.000000,1,1,1,1,1
4,1569,12,201,8.0,34.061,-118.079,5.9,65,67,70,65,74,0,0,0,0,0,1987-10-01T14:42:20.020002Z,1987-10-01T14:42:20.020002Z,1987-10-01T14:42:18.999997,1,1,1,1,1
5,1648,5,636,18.0,34.213,-118.537,6.7,784,790,860,839,950,5,5,0,10,0,1994-01-17T12:30:55.389966Z,1994-01-17T12:30:55.389966Z,1994-01-17T12:30:53.999997,1,1,1,1,1
6,1665,6,216,11.0,33.015,-115.852,6.6,375,408,452,381,497,96,97,102,110,102,1987-11-24T13:15:56.709996Z,1987-11-24T13:15:56.709996Z,1987-11-24T13:15:54.999999,2,2,2,2,2
7,1674,3,842,13.0,34.603,-116.265,7.1,1066,1105,1286,1139,1498,5,18,5,7,5,1999-10-16T09:46:44.460015Z,1999-10-16T09:46:44.460015Z,1999-10-16T09:46:43.000000,1,1,1,1,1
8,1098,192,1207,13.0,33.938,-118.336,4.7,3,4,3,3,3,0,0,0,0,0,2009-05-18T03:39:36.339987Z,2009-05-18T03:39:36.339987Z,2009-05-18T03:39:35.000003,1,1,1,1,1
9,1625,11,71,9.0,33.999,-116.60799999999999,6.0,263,263,298,272,320,3,3,0,6,0,1986-07-08T09:20:44.560037Z,1986-07-08T09:20:44.560037Z,1986-07-08T09:20:43.000000,1,1,1,1,1
10,1502,64,1046,13.0,33.532,-116.56700000000001,5.2,6,8,9,6,9,3,1,0,3,0,2005-06-12T15:41:46.519989Z,2005-06-12T15:41:46.519989Z,2005-06-12T15:41:44.999998,1,1,1,1,1
11,1349,159,1416,7.0,34.406,-119.92,4.8,3,3,5,3,5,0,0,0,0,0,2013-05-29T14:38:03.410018Z,2013-05-29T14:38:03.410018Z,2013-05-29T14:38:02.000003,1,1,1,1,1
12,1617,20,957,7.0,32.319,-115.322,5.7,141,136,152,141,164,3,3,0,12,0,2002-02-22T19:32:41.749958Z,2002-02-22T19:32:41.749958Z,2002-02-22T19:32:40.000002,1,1,1,1,1
13,916,196,1407,10.0,33.501,-116.458,4.7,7,8,9,7,12,0,0,1,0,1,2013-03-11T16:56:06.059963Z,2013-03-11T16:56:06.059963Z,2013-03-11T16:56:04.999998,1,1,1,1,1
14,1568,49,725,0.0,36.075,-117.65,5.3,72,71,79,84,97,0,0,0,0,0,1996-11-27T20:17:24.110021Z,1996-11-27T20:17:24.110021Z,1996-11-27T20:17:23.000002,1,1,1,1,1
15,1359,15,478,8.0,34.27,-117.993,5.8,10,11,14,10,17,0,0,0,0,0,1991-06-28T14:43:54.659964Z,1991-06-28T14:43:54.659964Z,1991-06-28T14:43:53.000000,1,1,1,1,1
