,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
0,-999.0,-999.0,0,0,1,9.2,0.13000000000000078,-999.0,33.443000000000005,-116.454,4.19,1,1,0,0,2008-05-01T03:55:35.970017Z,inf,-999.0
1,-999.0,-999.0,0,0,2,18.5,0.18000000000000016,-999.0,32.225,-115.228,3.99,1,1,0,0,2017-03-22T18:57:32.990001Z,inf,-999.0
2,-999.0,-999.0,0,0,3,10.8,0.3200000000000003,-999.0,33.5,-116.861,4.11,1,1,0,0,2008-11-17T12:35:42.260006Z,inf,-999.0
3,-999.0,-999.0,0,0,4,8.0,-999.0,0.40000000000000036,34.353,-116.845,4.19,0,0,1,1,2004-11-13T17:39:16.930017Z,-999.0,inf
4,-999.0,-999.0,0,0,5,5.4,0.5399999999999996,-999.0,36.036,-119.96600000000001,4.31,1,1,0,0,2005-12-08T11:42:34.159968Z,inf,-999.0
5,-999.0,-999.0,0,0,6,15.2,0.5899999999999999,-999.0,34.049,-118.915,4.34,1,1,0,0,1995-02-19T21:24:18.069983Z,inf,-999.0
6,-999.0,-999.0,0,0,7,3.2,-999.0,0.4700000000000002,35.214,-117.281,4.25,0,0,2,2,2015-12-27T18:31:18.029966Z,-999.0,12.480787710791066
7,-999.0,-999.0,0,0,8,0.8,0.4700000000000002,-999.0,35.73,-117.07799999999999,4.2,1,1,0,0,2018-12-05T21:40:16.620014Z,inf,-999.0
8,-999.0,-999.0,0,0,9,2.6,0.13999999999999968,-999.0,35.946,-117.303,4.13,2,2,0,0,2002-09-28T10:34:47.159989Z,1968.7808551449862,-999.0
9,-999.0,-999.0,0,0,10,4.3,-999.0,0.16999999999999993,36.441,-117.85700000000001,3.88,0,0,1,1,1988-05-30T17:28:18.449964Z,-999.0,inf
10,-999.0,-999.0,0,0,11,6.0,-999.0,0.29000000000000004,32.334,-115.273,3.94,0,0,1,1,1995-01-11T04:51:25.269985Z,-999.0,inf
11,-999.0,-999.0,0,0,12,3.1,0.14000000000000012,-999.0,33.361999999999995,-115.789,3.77,1,1,0,0,2019-09-16T18:11:51.690014Z,inf,-999.0
12,-999.0,-999.0,0,0,13,5.0,-999.0,0.48,34.908,-116.579,4.09,0,0,1,1,1991-06-29T17:53:52.049964Z,-999.0,inf
13,-999.0,-999.0,0,0,14,14.5,0.2200000000000002,0.10999999999999988,32.77,-115.54799999999999,3.81,1,1,1,1,1999-07-24T02:01:26.000030Z,inf,inf
14,-999.0,-999.0,0,0,15,5.8,0.7800000000000002,-999.0,32.049,-117.525,4.4,2,2,0,0,2010-02-01T14:19:47.820004Z,0.8083478757662506,-999.0
15,-999.0,-999.0,0,0,16,2.5,0.30000000000000027,-999.0,34.11,-117.432,3.87,1,1,0,0,1997-10-14T22:31:33.740027Z,inf,-999.0
16,-999.0,-999.0,0,0,17,5.8,0.15000000000000036,-999.0,33.485,-118.079,3.7,1,1,0,0,1992-07-08T11:38:38.919984Z,inf,-999.0
17,-999.0,-999.0,0,0,18,5.7,0.7999999999999998,-999.0,33.166,-119.302,4.35,1,1,0,0,2009-11-15T22:45:27.129964Z,inf,-999.0
18,-999.0,-999.0,0,0,19,0.1,0.23999999999999977,-999.0,34.694,-116.29299999999999,3.78,1,1,0,0,2011-10-17T20:05:57.820050Z,inf,-999.0
19,-999.0,-999.0,0,0,20,10.2,0.15000000000000036,-999.0,33.32,-115.689,3.68,1,1,0,0,1997-12-26T15:05:32.290000Z,inf,-999.0
20,-999.0,-999.0,0,0,21,7.6,-999.0,0.03000000000000025,35.464,-119.973,3.54,0,0,1,1,2016-02-08T06:20:42.400030Z,-999.0,inf
21,-999.0,-999.0,0,0,22,16.2,0.020000000000000018,-999.0,32.734,-115.432,3.52,1,1,0,0,1997-06-23T07:57:27.200017Z,inf,-999.0
22,-999.0,-999.0,0,0,23,16.3,0.1299999999999999,-999.0,34.001999999999995,-117.01799999999999,3.61,1,1,0,0,2018-09-30T14:41:29.509956Z,inf,-999.0
23,-999.0,-999.0,0,0,24,6.0,0.41000000000000014,-999.0,32.124,-115.073,3.89,1,1,0,0,1995-01-02T10:23:55.160016Z,inf,-999.0
24,-999.0,-999.0,0,0,25,1.4,0.23999999999999977,-999.0,35.955999999999996,-117.338,3.71,1,1,0,0,2010-05-06T04:16:48.380043Z,inf,-999.0
25,-999.0,-999.0,0,0,26,1.8,0.2999999999999998,-999.0,34.844,-116.321,3.77,1,1,0,0,2005-07-16T04:58:31.740031Z,inf,-999.0
26,-999.0,-999.0,0,0,27,1.7,0.05999999999999961,-999.0,36.399,-117.865,3.53,1,1,0,0,2016-08-18T03:39:54.830020Z,inf,-999.0
27,-999.0,-999.0,0,0,28,14.4,0.03000000000000025,-999.0,33.816,-117.03299999999999,3.47,1,1,0,0,1988-01-22T00:52:20.709981Z,inf,-999.0
28,-999.0,-999.0,0,0,29,5.1,-999.0,0.6700000000000004,32.867,-118.65299999999999,4.11,0,0,1,1,2014-11-10T08:42:42.850003Z,-999.0,inf
29,-999.0,-999.0,0,0,30,7.9,-999.0,0.6800000000000002,35.622,-117.588,4.11,0,0,1,1,2006-03-29T01:36:23.009983Z,-999.0,inf
30,-999.0,-999.0,0,0,31,5.1,-999.0,0.03000000000000025,35.472,-116.446,3.45,0,0,1,1,2000-10-22T14:54:25.879966Z,-999.0,inf
31,-999.0,-999.0,0,0,32,12.1,-999.0,0.3999999999999999,34.234,-117.434,3.82,0,0,1,1,2012-04-28T15:07:27.999984Z,-999.0,inf
32,-999.0,-999.0,0,0,33,2.5,-999.0,0.2999999999999998,36.181,-117.846,3.71,0,0,1,1,2017-05-25T15:42:51.500043Z,-999.0,inf
33,-999.0,-999.0,0,0,34,4.8,0.75,-999.0,34.604,-116.27799999999999,4.16,1,1,0,0,1996-10-20T00:17:33.390012Z,inf,-999.0
34,-999.0,-999.0,0,0,35,5.7,-999.0,0.3700000000000001,32.665,-115.796,3.77,0,0,1,1,1987-06-21T08:56:39.649980Z,-999.0,inf
35,-999.0,-999.0,0,0,36,5.5,0.9899999999999998,-999.0,34.135999999999996,-117.775,4.38,1,1,0,0,2018-08-29T02:33:28.329957Z,inf,-999.0
36,-999.0,-999.0,0,0,37,10.0,-999.0,0.040000000000000036,32.224000000000004,-115.412,3.42,0,0,1,1,2004-01-12T17:24:50.859972Z,-999.0,inf
37,-999.0,-999.0,0,0,38,6.0,-999.0,0.17999999999999972,32.303000000000004,-115.251,3.55,0,0,1,1,1994-03-03T17:27:58.439984Z,-999.0,inf
38,-999.0,-999.0,0,0,39,5.8,-999.0,0.11999999999999966,32.872,-118.462,3.59,0,0,2,2,1993-04-08T00:16:07.739963Z,-999.0,0.30614991939819924
39,-999.0,-999.0,0,0,40,6.0,-999.0,0.040000000000000036,32.436,-115.40299999999999,3.38,0,0,1,1,2006-01-07T00:49:17.999989Z,-999.0,inf
40,-999.0,-999.0,0,0,41,6.9,0.27,-999.0,35.406,-117.81,3.61,1,1,0,0,2016-01-14T04:23:58.849988Z,inf,-999.0
41,-999.0,-999.0,0,0,42,9.0,0.52,-999.0,33.245,-116.265,3.85,1,1,0,0,2011-11-19T20:32:21.200005Z,inf,-999.0
42,-999.0,-999.0,0,0,43,4.3,-999.0,0.2799999999999998,34.028,-116.324,3.61,0,0,1,1,2000-04-03T18:59:54.589998Z,-999.0,inf
43,-999.0,-999.0,0,0,44,7.5,-999.0,0.27,35.747,-118.006,3.6,0,0,1,1,2000-01-26T11:02:03.899985Z,-999.0,inf
44,-999.0,-999.0,0,0,45,6.3,0.5,-999.0,33.812,-116.20100000000001,3.82,1,1,0,0,1994-08-15T08:07:32.860050Z,inf,-999.0
45,-999.0,-999.0,0,0,46,1.8,0.050000000000000266,-999.0,34.365,-118.291,3.37,1,1,0,0,1995-08-25T19:37:46.349965Z,inf,-999.0
46,-999.0,-999.0,0,0,47,9.9,0.29000000000000004,-999.0,33.799,-118.62899999999999,3.59,1,1,0,0,2005-04-24T21:44:28.450000Z,inf,-999.0
47,-999.0,-999.0,0,0,48,6.9,0.7999999999999998,-999.0,35.098,-118.306,4.09,1,1,0,0,1995-12-31T21:48:23.060043Z,inf,-999.0
48,-999.0,-999.0,0,0,49,13.8,1.1700000000000004,0.8200000000000003,34.107,-117.304,4.45,1,1,1,1,2009-01-09T03:49:46.269982Z,inf,inf
49,-999.0,-999.0,0,0,50,12.9,0.8199999999999998,0.36999999999999966,35.043,-119.156,4.1,1,1,1,1,1989-02-14T15:43:54.649982Z,inf,inf
50,-999.0,-999.0,0,0,51,6.1,0.43000000000000016,-999.0,33.729,-116.046,3.87,2,2,0,0,1997-02-23T03:43:33.279971Z,744.8917266483229,-999.0
51,-999.0,-999.0,0,0,52,13.7,0.1299999999999999,-999.0,33.228,-116.09700000000001,3.4,1,1,0,0,2012-03-15T06:30:34.289970Z,inf,-999.0
52,-999.0,-999.0,0,0,53,9.4,-999.0,0.43000000000000016,32.413000000000004,-115.23200000000001,3.69,0,0,1,1,2017-04-29T17:07:00.020004Z,-999.0,inf
53,-999.0,-999.0,0,0,54,7.1,1.0900000000000003,1.4000000000000004,34.3,-118.62,4.66,1,1,1,1,2007-08-09T07:58:49.590015Z,inf,inf
54,-999.0,-999.0,0,0,55,11.3,0.08000000000000007,-999.0,33.996,-116.814,3.34,1,1,0,0,1996-07-21T12:53:18.980043Z,inf,-999.0
55,-999.0,-999.0,0,0,56,6.1,-999.0,0.41000000000000014,33.504,-116.476,3.67,0,0,1,1,1987-01-03T18:01:06.080018Z,-999.0,inf
56,-999.0,-999.0,0,0,57,23.1,-999.0,0.1200000000000001,32.376,-115.238,3.38,0,0,1,1,2015-05-22T06:56:07.349971Z,-999.0,inf
57,-999.0,-999.0,0,0,58,0.9,-999.0,0.20000000000000018,34.013000000000005,-116.34299999999999,3.45,0,0,1,1,1993-10-04T02:57:36.699983Z,-999.0,inf
58,-999.0,-999.0,0,0,59,5.2,-999.0,0.0,35.881,-115.788,3.25,0,0,1,1,1999-06-01T17:58:53.620004Z,-999.0,inf
59,-999.0,-999.0,0,0,60,10.8,-999.0,0.20000000000000018,32.247,-115.28200000000001,3.45,0,0,1,1,2015-05-28T12:13:41.749969Z,-999.0,inf
60,-999.0,-999.0,0,0,61,1.1,0.8399999999999999,-999.0,33.658,-118.37200000000001,4.08,1,1,0,0,2013-05-15T20:00:06.230014Z,inf,-999.0
61,-999.0,-999.0,0,0,62,23.4,-999.0,0.19999999999999973,32.187,-115.18,3.44,0,0,1,1,2019-07-04T19:56:08.440014Z,-999.0,inf
62,-999.0,-999.0,0,0,63,2.8,0.06999999999999984,-999.0,34.717,-116.03299999999999,3.31,1,1,0,0,2016-06-02T09:23:52.120003Z,inf,-999.0
63,-999.0,-999.0,0,0,64,13.3,-999.0,0.18000000000000016,34.006,-116.764,3.41,0,0,1,1,2019-09-04T00:18:46.170003Z,-999.0,inf
64,-999.0,-999.0,0,0,65,15.4,-999.0,0.14000000000000012,33.882,-116.79899999999999,3.37,0,0,1,1,2017-06-07T07:12:35.610020Z,-999.0,inf
65,-999.0,-999.0,0,0,66,14.5,-999.0,0.20000000000000018,32.813,-115.57,3.56,0,0,2,2,1990-06-09T00:05:03.729956Z,-999.0,19.19886955480083
66,-999.0,-999.0,1,1,67,13.5,0.8600000000000003,0.9900000000000002,34.192,-117.38600000000001,4.23,2,2,1,1,1989-12-28T09:41:08.200030Z,2444.130170982292,inf
67,-999.0,-999.0,0,0,68,12.9,-999.0,0.04999999999999982,32.545,-115.292,3.27,0,0,1,1,1989-04-30T07:17:04.659969Z,-999.0,inf
68,-999.0,-999.0,0,0,69,12.8,-999.0,0.5799999999999996,33.341,-116.391,3.8,0,0,1,1,2013-09-20T06:10:43.369997Z,-999.0,inf
69,-999.0,-999.0,0,0,70,6.8,0.06999999999999984,-999.0,35.045,-118.944,3.28,1,1,0,0,1986-05-05T15:51:04.259984Z,inf,-999.0
70,-999.0,-999.0,0,0,71,14.6,-999.0,0.10999999999999988,32.827,-115.61399999999999,3.35,0,0,2,2,1999-01-01T19:51:24.769988Z,-999.0,5130.639433654324
71,-999.0,-999.0,0,0,72,5.2,0.04999999999999982,-999.0,32.951,-116.429,3.26,1,1,0,0,1985-02-11T13:58:05.949988Z,inf,-999.0
72,-999.0,-999.0,0,0,73,2.7,-999.0,0.8399999999999999,34.006,-117.738,4.05,0,0,1,1,1989-02-18T07:17:04.849950Z,-999.0,inf
73,-999.0,-999.0,0,0,74,7.8,-999.0,0.6799999999999997,34.275999999999996,-118.57700000000001,3.88,0,0,1,1,1998-06-17T18:51:32.170031Z,-999.0,inf
74,-999.0,-999.0,0,0,75,13.6,0.17999999999999972,-999.0,33.89,-118.713,3.38,1,1,0,0,1990-10-09T04:02:26.140011Z,inf,-999.0
75,-999.0,-999.0,0,0,76,3.2,0.6599999999999997,-999.0,34.351,-118.458,3.86,1,1,0,0,2012-10-28T15:24:23.399998Z,inf,-999.0
76,-999.0,-999.0,0,0,77,1.4,-999.0,0.19999999999999973,34.066,-118.398,3.4,0,0,1,1,2012-09-07T07:03:09.979986Z,-999.0,inf
77,-999.0,-999.0,0,0,78,3.4,0.040000000000000036,-999.0,33.181999999999995,-115.60700000000001,3.24,1,1,0,0,2007-05-17T16:05:30.830037Z,inf,-999.0
78,-999.0,-999.0,0,0,79,11.4,-999.0,0.11999999999999966,32.972,-115.885,3.32,0,0,1,1,2017-06-16T14:14:36.529950Z,-999.0,inf
79,-999.0,-999.0,0,0,80,1.7,-999.0,0.050000000000000266,35.958,-117.65799999999999,3.24,0,0,1,1,2011-04-26T18:55:26.050004Z,-999.0,inf
80,-999.0,-999.0,0,0,81,2.9,1.2399999999999998,-999.0,34.143,-117.44200000000001,4.43,1,1,0,0,2014-01-15T09:35:18.869970Z,inf,-999.0
81,-999.0,-999.0,0,0,82,27.0,0.41999999999999993,-999.0,32.094,-115.154,3.61,1,1,0,0,2015-12-19T17:36:49.289971Z,inf,-999.0
82,-999.0,-999.0,0,0,83,16.6,0.34999999999999964,-999.0,33.971,-117.815,3.53,1,1,0,0,2003-12-29T00:49:12.089972Z,inf,-999.0
83,-999.0,-999.0,0,0,84,1.9,0.5499999999999998,-999.0,35.635999999999996,-117.57600000000001,3.73,1,1,0,0,2003-12-04T06:15:52.429968Z,inf,-999.0
84,-999.0,-999.0,0,0,85,15.1,1.19,1.08,34.05,-117.25200000000001,4.37,1,1,1,1,2000-02-21T13:49:43.129984Z,inf,inf
85,-999.0,-999.0,0,0,86,-0.9,0.17999999999999972,-999.0,36.074,-117.861,3.36,1,1,0,0,1994-05-30T03:22:25.199966Z,inf,-999.0
86,-999.0,-999.0,0,0,87,6.8,-999.0,0.040000000000000036,32.634,-118.08,3.21,0,0,1,1,2002-10-18T04:45:42.109998Z,-999.0,inf
87,-999.0,-999.0,0,0,88,9.2,0.45999999999999996,-999.0,32.634,-117.336,3.63,1,1,0,0,2006-05-09T00:13:36.789997Z,inf,-999.0
88,-999.0,-999.0,0,0,89,2.1,0.31000000000000005,0.3999999999999999,33.224000000000004,-115.63,3.57,1,1,1,1,2010-08-27T17:32:47.970017Z,inf,inf
89,-999.0,-999.0,0,0,90,4.0,-999.0,0.010000000000000231,34.845,-116.324,3.18,0,0,1,1,2005-05-12T22:01:20.239966Z,-999.0,inf
90,-999.0,-999.0,0,0,91,6.0,-999.0,0.06000000000000005,32.489000000000004,-115.228,3.23,0,0,1,1,1991-09-10T07:46:59.549982Z,-999.0,inf
91,-999.0,-999.0,0,0,92,12.5,0.10000000000000009,0.29000000000000004,32.205999999999996,-115.26,3.46,1,1,1,1,2014-08-17T22:59:21.429965Z,inf,inf
92,-999.0,-999.0,0,0,93,3.1,0.54,-999.0,34.139,-117.465,3.97,2,2,0,0,2008-03-09T09:22:32.080003Z,67235.71889150233,-999.0
93,-999.0,-999.0,0,0,94,7.7,-999.0,0.7000000000000002,33.749,-116.023,3.87,0,0,1,1,2003-05-14T22:47:18.459998Z,-999.0,inf
94,-999.0,-999.0,0,0,95,9.9,0.69,0.5499999999999998,34.09,-116.391,3.86,1,1,1,1,2012-07-12T17:54:28.819982Z,inf,inf
95,-999.0,-999.0,0,0,96,8.8,0.029999999999999805,-999.0,33.001,-116.45700000000001,3.19,1,1,0,0,2013-11-30T11:36:35.769999Z,inf,-999.0
96,-999.0,-999.0,0,0,97,5.6,0.3899999999999997,-999.0,32.223,-116.686,3.55,1,1,0,0,1997-05-16T10:34:36.849967Z,inf,-999.0
97,-999.0,-999.0,0,0,98,6.0,-999.0,0.0,32.464,-115.471,3.15,0,0,1,1,1995-04-02T07:49:51.429999Z,-999.0,inf
98,-999.0,-999.0,0,0,99,9.3,-999.0,0.5100000000000002,33.787,-116.178,3.66,0,0,1,1,2006-03-24T05:54:13.009999Z,-999.0,inf
99,-999.0,-999.0,0,0,100,2.2,-999.0,0.3200000000000003,36.385,-117.869,3.47,0,0,1,1,2009-11-27T19:57:48.250004Z,-999.0,inf
100,-999.0,-999.0,0,0,101,6.0,-999.0,0.4900000000000002,32.474000000000004,-115.23700000000001,3.64,0,0,1,1,1989-08-02T21:35:53.399987Z,-999.0,inf
101,-999.0,-999.0,0,0,102,5.8,-999.0,0.20999999999999996,32.313,-115.242,3.36,0,0,1,1,1987-10-20T20:33:58.419967Z,-999.0,inf
102,-999.0,-999.0,0,0,103,11.5,0.009999999999999787,-999.0,33.31,-116.257,3.15,1,1,0,0,2019-07-19T00:57:28.830016Z,inf,-999.0
103,-999.0,-999.0,0,0,104,-0.8,0.7300000000000004,-999.0,35.466,-118.521,4.24,2,2,0,0,2014-04-19T12:15:13.009964Z,0.12320313872523805,-999.0
104,-999.0,-999.0,0,0,105,1.1,-999.0,0.48,34.580999999999996,-116.836,3.62,0,0,1,1,1992-05-31T11:38:45.300014Z,-999.0,inf
105,-999.0,-999.0,0,0,106,3.3,-999.0,0.23999999999999977,34.177,-117.47399999999999,3.38,0,0,1,1,2003-06-17T20:25:14.549986Z,-999.0,inf
106,-999.0,-999.0,0,0,107,11.7,0.5900000000000003,-999.0,34.008,-117.10600000000001,3.72,1,1,0,0,1992-11-18T14:10:11.599995Z,inf,-999.0
107,-999.0,-999.0,0,0,108,5.6,0.14000000000000012,-999.0,32.025,-116.31200000000001,3.27,1,1,0,0,1988-10-20T18:54:30.670019Z,inf,-999.0
108,-999.0,-999.0,0,0,109,14.2,0.31999999999999984,-999.0,34.406,-119.646,3.44,1,1,0,0,2017-04-23T17:55:55.459997Z,inf,-999.0
109,-999.0,-999.0,0,0,110,8.6,0.27,-999.0,35.711999999999996,-117.48200000000001,3.39,1,1,0,0,2010-01-04T20:07:59.930029Z,inf,-999.0
110,-999.0,-999.0,0,0,111,1.9,-999.0,0.08000000000000007,33.162,-115.647,3.2,0,0,1,1,2014-07-08T12:31:46.079985Z,-999.0,inf
111,-999.0,-999.0,0,0,112,2.6,-999.0,0.6599999999999997,35.399,-118.475,3.78,0,0,1,1,2014-06-27T15:17:23.950031Z,-999.0,inf
112,-999.0,-999.0,0,0,113,4.5,0.27,-999.0,34.399,-118.35,3.39,1,1,0,0,1997-09-25T20:08:07.819989Z,inf,-999.0
113,-999.0,-999.0,0,0,114,8.2,0.3600000000000003,-999.0,33.868,-116.196,3.47,1,1,0,0,2019-11-10T22:07:59.489963Z,inf,-999.0
114,-999.0,-999.0,0,0,115,15.0,0.71,-999.0,32.501999999999995,-115.458,3.82,1,1,0,0,2009-11-25T11:18:52.170014Z,inf,-999.0
115,-999.0,-999.0,0,0,116,16.7,-999.0,0.4900000000000002,33.69,-116.74,3.6,0,0,1,1,2011-06-14T08:25:40.650035Z,-999.0,inf
116,-999.0,-999.0,0,0,117,12.8,-999.0,0.0,34.007,-118.44,3.11,0,0,1,1,2005-10-23T03:42:16.219989Z,-999.0,inf
117,-999.0,-999.0,0,0,118,4.1,-999.0,0.29000000000000004,36.494,-117.92200000000001,3.4,0,0,1,1,2001-01-04T12:23:31.100001Z,-999.0,inf
118,-999.0,-999.0,0,0,119,0.6,-999.0,0.020000000000000018,36.085,-117.85600000000001,3.13,0,0,1,1,2004-09-15T01:46:05.300035Z,-999.0,inf
119,-999.0,-999.0,0,0,120,2.7,0.7399999999999998,-999.0,33.175,-115.601,3.84,1,1,0,0,1995-12-25T23:40:07.380015Z,inf,-999.0
120,-999.0,-999.0,0,0,121,13.9,1.3199999999999998,-999.0,34.067,-118.882,4.42,1,1,0,0,2009-05-02T01:11:13.659972Z,inf,-999.0
121,-999.0,-999.0,4,4,122,6.0,0.1299999999999999,0.1299999999999999,32.052,-115.51299999999999,3.35,3,3,2,2,1989-11-17T11:14:36.680030Z,85.93224164142275,2.2769816395097977
122,-999.0,-999.0,0,0,123,9.1,0.6000000000000001,-999.0,36.729,-116.266,3.7,1,1,0,0,1996-09-05T08:16:55.399988Z,inf,-999.0
123,-999.0,-999.0,0,0,124,0.1,-999.0,0.6800000000000002,33.173,-116.044,3.77,0,0,1,1,2005-09-11T06:07:27.560035Z,-999.0,inf
124,-999.0,-999.0,0,0,125,13.3,-999.0,0.7400000000000002,33.506,-116.581,3.83,0,0,1,1,2002-10-24T17:18:32.909990Z,-999.0,inf
125,-999.0,-999.0,0,0,126,11.4,-999.0,0.11000000000000032,33.917,-118.29700000000001,3.2,0,0,1,1,2015-06-07T04:54:23.880030Z,-999.0,inf
126,-999.0,-999.0,0,0,127,8.1,-999.0,0.43000000000000016,32.904,-116.26799999999999,3.52,0,0,1,1,2014-07-24T19:20:14.639999Z,-999.0,inf
127,-999.0,-999.0,0,0,128,5.8,-999.0,0.13000000000000034,32.179,-115.61,3.22,0,0,1,1,1998-01-20T22:11:34.569967Z,-999.0,inf
128,-999.0,-999.0,0,0,129,23.4,0.06000000000000005,-999.0,32.384,-115.24700000000001,3.88,2,2,0,0,2014-09-27T02:06:30.799956Z,170.72737415264467,-999.0
129,-999.0,-999.0,0,0,130,9.6,0.08000000000000007,-999.0,34.007,-116.323,3.16,1,1,0,0,2011-12-26T12:32:20.430030Z,inf,-999.0
130,-999.0,-999.0,1,1,131,2.9,0.5099999999999998,-999.0,33.181999999999995,-115.60799999999999,3.9,3,3,0,0,2019-01-17T02:41:34.879983Z,2.446940936391397,-999.0
131,-999.0,-999.0,0,0,132,4.4,-999.0,0.08000000000000007,34.143,-116.875,3.31,0,0,2,2,1993-04-12T11:18:32.840004Z,-999.0,3.7660252208582854
132,-999.0,-999.0,0,0,133,10.3,0.04999999999999982,-999.0,34.364000000000004,-118.649,3.13,1,1,0,0,2016-04-05T04:50:08.950011Z,inf,-999.0
133,-999.0,-999.0,0,0,134,3.7,-999.0,0.020000000000000018,36.368,-117.845,3.09,0,0,1,1,2001-04-11T23:55:46.790028Z,-999.0,inf
134,-999.0,-999.0,0,0,135,8.5,-999.0,0.020000000000000018,33.801,-116.053,3.09,0,0,1,1,1988-06-26T22:43:14.139979Z,-999.0,inf
135,-999.0,-999.0,0,0,136,2.7,-999.0,0.3700000000000001,33.135999999999996,-116.66,3.44,0,0,1,1,2017-10-18T10:06:00.220030Z,-999.0,inf
136,-999.0,-999.0,0,0,137,15.1,0.08000000000000007,-999.0,33.678000000000004,-116.76,3.15,1,1,0,0,2001-06-05T09:38:46.079980Z,inf,-999.0
137,-999.0,-999.0,0,0,138,6.3,-999.0,0.26000000000000023,34.181,-118.524,3.33,0,0,1,1,1997-08-21T01:29:05.210044Z,-999.0,inf
138,-999.0,-999.0,0,0,139,5.5,-999.0,0.3500000000000001,34.242,-116.829,3.42,0,0,1,1,1996-01-17T23:09:53.330028Z,-999.0,inf
139,-999.0,-999.0,0,0,140,4.4,0.18999999999999995,-999.0,34.946999999999996,-116.741,3.32,2,2,0,0,2018-06-20T01:20:32.259980Z,31.91778231761423,-999.0
140,-999.0,-999.0,0,0,141,3.1,0.020000000000000018,-999.0,36.097,-117.84899999999999,3.09,1,1,0,0,1986-10-19T18:09:56.539985Z,inf,-999.0
141,-999.0,-999.0,0,0,142,5.8,0.06000000000000005,-999.0,32.667,-118.03399999999999,3.13,1,1,0,0,1988-11-02T01:28:19.699971Z,inf,-999.0
142,-999.0,-999.0,0,0,143,4.4,-999.0,0.040000000000000036,36.215,-114.51799999999999,3.7,0,0,2,2,2008-10-26T15:53:25.760031Z,-999.0,2.0535947823790495
143,-999.0,-999.0,0,0,144,13.9,0.27,0.48999999999999977,33.91,-116.946,3.55,1,1,1,1,1988-06-18T13:22:25.689972Z,inf,inf
144,-999.0,-999.0,0,0,145,5.7,-999.0,0.06000000000000005,33.225,-116.01299999999999,3.12,0,0,1,1,1999-06-25T04:33:08.690004Z,-999.0,inf
145,-999.0,-999.0,0,0,146,15.5,0.22999999999999998,-999.0,33.675,-116.809,3.29,1,1,0,0,2001-02-18T06:09:32.159982Z,inf,-999.0
146,-999.0,-999.0,0,0,147,2.7,0.3599999999999999,-999.0,34.139,-116.40700000000001,3.42,1,1,0,0,1996-10-25T11:51:32.180033Z,inf,-999.0
147,-999.0,-999.0,0,0,148,6.0,-999.0,0.6699999999999999,32.338,-115.244,3.83,0,0,2,2,1993-06-12T05:21:44.499999Z,-999.0,1.990187040248313
148,-999.0,-999.0,0,0,149,10.3,0.8599999999999999,-999.0,33.809,-117.711,3.92,2,2,0,0,2000-03-07T00:20:28.259984Z,0.4802868380450849,-999.0
149,-999.0,-999.0,0,0,150,9.7,1.1300000000000003,-999.0,32.693000000000005,-118.227,4.19,1,1,0,0,2009-01-29T08:41:59.120015Z,inf,-999.0
150,-999.0,-999.0,0,0,151,5.8,0.9400000000000004,-999.0,32.507,-117.91,3.99,1,1,0,0,1988-08-20T18:15:28.010044Z,inf,-999.0
151,-999.0,-999.0,0,0,152,10.1,1.7199999999999998,1.3599999999999994,33.905,-116.288,4.77,1,1,1,1,1995-05-07T11:03:33.039997Z,inf,inf
152,-999.0,-999.0,0,0,153,-1.0,-999.0,0.15000000000000036,34.986999999999995,-116.943,3.2,0,0,1,1,1995-01-15T21:56:26.609995Z,-999.0,inf
153,-999.0,-999.0,0,0,154,12.2,-999.0,0.11000000000000032,33.618,-117.27799999999999,3.16,0,0,1,1,1996-12-31T01:41:54.780030Z,-999.0,inf
154,-999.0,-999.0,0,0,155,14.0,0.06000000000000005,-999.0,34.043,-117.24700000000001,3.11,1,1,0,0,1999-12-08T10:53:59.589969Z,inf,-999.0
155,-999.0,-999.0,0,0,156,2.9,-999.0,0.10000000000000009,35.994,-117.875,3.14,0,0,1,1,1985-12-16T23:47:06.329986Z,-999.0,inf
156,-999.0,-999.0,0,0,157,2.6,0.33000000000000007,-999.0,35.898,-117.68299999999999,3.37,1,1,0,0,2016-09-25T01:41:22.849957Z,inf,-999.0
157,-999.0,-999.0,0,0,158,6.4,0.8599999999999999,-999.0,35.344,-118.554,3.9,1,1,0,0,2008-01-11T12:05:11.879982Z,inf,-999.0
158,-999.0,-999.0,0,0,159,7.8,-999.0,1.1400000000000001,34.617,-118.63,4.25,0,0,2,2,2015-01-04T03:18:09.479979Z,-999.0,0.5188738874418308
