,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,54,4.66,34.3,-118.62,7.1,2007-08-09T07:58:49.590015Z,1,1,1,1,1.09,-999.0,inf,1.4,-999.0,inf,0,0,1,1,1,1
1,152,4.77,33.905,-116.288,10.1,1995-05-07T11:03:33.039997Z,1,1,1,1,1.72,-999.0,inf,1.36,-999.0,inf,0,0,1,1,1,1
2,198,4.67,35.16,-117.362,3.3,1992-06-29T01:18:13.399980Z,1,7,1,7,0.55,-999.0,1.55543309735,1.01,-999.0,inf,1,1,7,1,7,1
3,244,4.6,35.548,-117.275,1.2,2009-11-16T21:21:30.629984Z,0,1,0,1,1.64,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
4,306,4.89,33.398,-116.349,11.1,1997-07-26T03:14:55.910027Z,0,1,1,1,1.77,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,1
5,307,4.6,33.666,-119.33,6.8,2002-03-16T21:33:23.819990Z,0,2,0,2,1.43,-999.0,0.354294878202,-999.0,-999.0,-999.0,0,0,2,0,2,0
6,322,4.78,34.192,-117.095,5.7,1994-04-06T19:01:04.060009Z,0,1,0,1,1.89,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
7,355,4.64,34.359,-116.133,3.1,2003-03-11T19:28:17.910019Z,0,3,0,3,1.24,-999.0,0.283698484747,-999.0,-999.0,-999.0,1,1,3,0,3,0
8,369,5.37,34.943,-118.743,5.9,1988-06-10T23:06:43.050010Z,0,5,0,5,1.75,-999.0,12.8765035864,-999.0,-999.0,-999.0,1,1,1,0,1,0
9,398,4.63,32.342,-115.28,6.0,1994-08-11T02:22:53.520043Z,1,0,1,0,-999.0,-999.0,-999.0,1.78,-999.0,inf,0,0,0,1,0,1
10,417,4.69,34.077,-118.047,12.0,1988-02-11T15:25:55.649971Z,2,0,4,0,-999.0,-999.0,-999.0,1.13,-999.0,0.114452488671,1,0,0,2,0,4
11,469,4.98,32.343,-117.914,9.8,2004-06-15T22:28:48.190019Z,1,3,1,3,1.42,-999.0,0.435797884185,1.98,-999.0,inf,1,1,2,1,2,1
