,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,-999.0,-999.0,-1,-1,1,15.4,0.35000000000000053,-999.0,34.028,-118.18,4.82,1,1,1,1,0,0,0,0,1989-06-12T16:57:18.490036Z,inf,-999.0
1,-999.0,-999.0,-1,-1,2,5.8,0.5800000000000001,-999.0,32.681,-118.109,4.76,1,1,1,1,0,0,0,0,1997-06-20T04:35:40.520030Z,inf,-999.0
2,-999.0,-999.0,-1,-1,16,7.1,1.0900000000000003,-999.0,34.3,-118.62,4.66,1,1,1,1,0,0,0,0,2007-08-09T07:58:49.590015Z,inf,-999.0
3,-999.0,-999.0,-1,-1,55,6.8,1.4299999999999997,-999.0,33.666,-119.33,4.6,1,1,1,1,0,0,0,0,2002-03-16T21:33:23.819980Z,inf,-999.0
4,-999.0,-999.0,-1,-1,154,1.2,1.6399999999999997,-999.0,35.548,-117.275,4.6,1,1,1,1,0,0,0,0,2009-11-16T21:21:30.629984Z,inf,-999.0
5,-999.0,-999.0,1,1,225,3.1,1.2399999999999998,-999.0,34.359,-116.133,4.64,3,3,3,3,0,0,0,0,2003-03-11T19:28:17.910019Z,0.2836984847441028,-999.0
6,-999.0,-999.0,-1,-1,353,2.8,2.06,-999.0,35.39,-118.624,5.03,2,2,0,0,0,0,0,0,2004-09-29T22:54:54.239964Z,2.2578442456484566,-999.0
7,-999.0,-999.0,1,1,396,10.9,1.3100000000000005,-999.0,32.205999999999996,-115.25399999999999,4.82,7,7,5,5,0,0,0,0,2018-11-19T20:18:42.509988Z,0.12148294910988378,-999.0
8,-999.0,-999.0,-1,-1,424,20.6,2.3300000000000005,-999.0,35.149,-119.104,5.19,2,2,0,0,0,0,0,0,1993-05-28T04:47:40.600001Z,0.5813650499186503,-999.0
9,-999.0,-999.0,1,1,430,4.6,1.0699999999999998,-999.0,36.945,-117.525,4.75,5,6,5,5,0,0,0,0,1998-07-02T03:39:50.449969Z,0.19210668837500453,-999.0
10,-999.0,-999.0,1,1,492,-0.6,1.3700000000000006,1.3500000000000005,36.396,-117.838,4.73,16,16,15,15,2,2,2,2,2009-05-23T22:58:32.940045Z,0.4844241685584046,1.8907798879429527
11,-999.0,-999.0,1,1,494,12.2,0.7900000000000005,-999.0,33.732,-117.477,4.73,7,7,5,5,0,0,0,0,2007-09-02T17:29:14.790013Z,0.344714350055327,-999.0
12,-999.0,-999.0,1,1,509,5.8,2.12,1.9700000000000002,33.507,-118.071,4.83,1,1,0,0,2,2,2,2,1988-11-20T05:39:28.669966Z,inf,928.8328166593868
13,-999.0,-999.0,1,1,560,6.0,0.7400000000000002,-999.0,33.232,-115.66,4.7,5,5,5,5,0,0,0,0,1999-10-16T09:47:43.759965Z,2.5992515483325147,-999.0
14,-999.0,-999.0,1,1,577,10.9,1.02,-999.0,33.501,-116.458,4.7,8,8,7,7,0,0,0,0,2013-03-11T16:56:06.059963Z,0.24080324269009423,-999.0
15,-999.0,-999.0,-1,-1,594,12.6,2.1199999999999997,-999.0,33.619,-117.902,4.8,2,2,0,0,0,0,0,0,1989-04-07T20:07:30.300015Z,45.957568717601475,-999.0
16,-999.0,-999.0,1,1,598,15.5,1.6400000000000006,-999.0,33.949,-117.766,5.44,7,7,2,2,0,0,0,0,2008-07-29T18:42:15.669972Z,0.13597662815481132,-999.0
17,-999.0,-999.0,1,-1,599,6.9,2.1900000000000004,-999.0,33.979,-116.681,5.03,2,3,1,0,0,0,0,0,1988-12-16T05:53:04.999988Z,0.07912997689388933,-999.0
18,-999.0,-999.0,1,1,608,6.8,0.8699999999999997,-999.0,32.232,-115.79799999999999,4.84,4,8,5,3,0,0,0,0,2002-12-10T21:04:00.690014Z,0.0998742520744654,-999.0
19,-999.0,-999.0,1,1,655,5.9,1.75,-999.0,34.943000000000005,-118.743,5.37,6,12,2,1,0,0,0,0,1988-06-10T23:06:43.050020Z,0.1928187871239413,-999.0
20,-999.0,-999.0,2,2,667,15.9,0.15000000000000036,-999.0,34.369,-118.67,5.07,23,24,11,11,0,0,0,0,1997-04-26T10:37:30.669996Z,1.9316539011919656,-999.0
21,-999.0,-999.0,1,1,671,4.1,0.7300000000000004,-999.0,34.323,-116.844,4.82,14,16,12,11,0,0,0,0,1998-10-27T01:08:40.649969Z,0.23632842688048766,-999.0
22,-999.0,-999.0,1,1,685,13.4,0.6800000000000002,-999.0,32.676,-116.04799999999999,4.62,10,12,12,10,0,0,0,0,2006-11-03T15:56:43.050019Z,0.21745243767763184,-999.0
23,-999.0,-999.0,1,1,701,9.4,1.81,2.12,33.912,-117.78299999999999,4.78,5,5,3,3,1,1,0,0,2002-09-03T07:08:51.839981Z,1.3756644390243846,inf
24,-999.0,-999.0,1,1,717,13.8,0.6600000000000001,-999.0,33.938,-118.336,4.7,4,4,3,3,0,0,0,0,2009-05-18T03:39:36.339987Z,0.0701504905026049,-999.0
25,-999.0,-999.0,-1,-1,722,9.6,3.02,-999.0,35.21,-118.06700000000001,5.67,2,2,0,0,0,0,0,0,1992-07-11T18:14:16.159981Z,0.23204704205746698,-999.0
26,-999.0,-999.0,1,1,769,12.3,1.4400000000000004,-999.0,33.431,-116.443,5.19,14,14,3,3,0,0,0,0,2016-06-10T08:04:38.700020Z,1.8104574392216302,-999.0
27,0.8661143513740066,-999.0,1,1,774,1.0,0.7799999999999994,1.3599999999999999,34.062,-116.366,4.93,35,35,20,20,1,1,1,1,1999-05-14T07:54:03.189999Z,1.7191399162968344,inf
