,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
0,0.9294686768632843,0.9350139103546137,1,1,1,-0.1,1.0,2.3199999999999994,34.2,-116.43700000000001,7.3,2873,2873,9,9,192,192,0,0,1992-06-28T11:57:34.130021Z,48.158466722228205,3.2038754656003023
1,0.8492255861526877,0.6606331404612957,1,1,2,10.0,1.5,2.75,32.286,-115.295,7.2,2299,2299,5,5,46,46,0,0,2010-04-04T22:40:42.359984Z,38.43744499340509,0.7991554834377667
2,0.8540212724266624,-999.0,1,1,3,13.7,1.33,2.9799999999999995,34.603,-116.265,7.1,1108,1108,3,3,18,18,0,0,1999-10-16T09:46:44.460015Z,18.504946204086735,0.3015275850456055
3,0.784880541413014,0.6743378450351414,1,1,4,8.0,1.5999999999999996,0.6999999999999993,35.77,-117.59899999999999,7.1,1720,1720,2,2,258,258,2,2,2019-07-06T03:19:53.039968Z,28.961176975727117,4.559374280347022
4,0.764923035371793,-999.0,1,1,5,18.2,0.8100000000000005,2.99,34.213,-118.537,6.7,791,791,12,12,5,5,0,0,1994-01-17T12:30:55.389966Z,13.354993770620975,0.12477525110546593
5,0.9792704041155663,0.7295313545855109,2,2,6,11.2,1.8899999999999997,0.39999999999999947,33.015,-115.852,6.6,410,410,1,1,98,98,3,3,1987-11-24T13:15:56.709996Z,6.841789159047364,7.227203599911553
6,-999.0,-999.0,-1,-1,7,10.5,-999.0,-999.0,35.705,-117.50399999999999,6.4,0,0,0,0,0,0,0,0,2019-07-04T17:33:49.000032Z,-999.0,-999.0
7,-999.0,-999.0,-1,-1,8,3.6,-999.0,-999.0,34.203,-116.82700000000001,6.3,0,0,0,0,0,0,0,0,1992-06-28T15:05:30.730051Z,-999.0,-999.0
8,-999.0,-999.0,-1,-1,9,10.9,-999.0,-999.0,33.09,-115.792,6.2,0,0,0,0,0,0,0,0,1987-11-24T01:54:14.660034Z,-999.0,-999.0
9,0.9383136539425552,-999.0,1,1,10,11.6,1.63,1.5599999999999996,33.96,-116.31700000000001,6.1,376,376,6,6,2,2,1,1,1992-04-23T04:50:23.230028Z,61.15250169772081,1678.8116799668067
