,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,-1,-1,15.4,34.028,-118.18,4.82,1,1,1,1,0,0,0,0,1989-06-12T16:57:18.490036Z
1,-1,-1,5.8,32.681,-118.109,4.76,1,1,1,1,0,0,0,0,1997-06-20T04:35:40.520030Z
2,-1,-1,7.1,34.3,-118.62,4.66,1,1,1,1,0,0,0,0,2007-08-09T07:58:49.590015Z
3,-1,-1,6.8,33.666,-119.33,4.6,1,1,1,1,0,0,0,0,2002-03-16T21:33:23.819980Z
4,-1,-1,1.2,35.548,-117.275,4.6,1,1,1,1,0,0,0,0,2009-11-16T21:21:30.629984Z
5,1,1,3.1,34.359,-116.133,4.64,3,3,3,3,0,0,0,0,2003-03-11T19:28:17.910019Z
6,-1,-1,2.8,35.39,-118.624,5.03,2,2,0,0,0,0,0,0,2004-09-29T22:54:54.239964Z
7,1,1,10.9,32.205999999999996,-115.25399999999999,4.82,7,7,5,5,0,0,0,0,2018-11-19T20:18:42.509988Z
8,-1,-1,20.6,35.149,-119.104,5.19,2,2,0,0,0,0,0,0,1993-05-28T04:47:40.600001Z
9,1,1,4.6,36.945,-117.525,4.75,5,6,5,5,0,0,0,0,1998-07-02T03:39:50.449969Z
10,1,1,-0.6,36.396,-117.838,4.73,16,16,15,15,2,2,2,2,2009-05-23T22:58:32.940045Z
11,1,1,12.2,33.732,-117.477,4.73,7,7,5,5,0,0,0,0,2007-09-02T17:29:14.790013Z
12,1,1,5.8,33.507,-118.071,4.83,1,1,0,0,2,2,2,2,1988-11-20T05:39:28.669966Z
13,1,1,6.0,33.232,-115.66,4.7,5,5,5,5,0,0,0,0,1999-10-16T09:47:43.759965Z
14,1,1,10.9,33.501,-116.458,4.7,8,8,7,7,0,0,0,0,2013-03-11T16:56:06.059963Z
15,-1,-1,12.6,33.619,-117.902,4.8,2,2,0,0,0,0,0,0,1989-04-07T20:07:30.300015Z
16,1,1,15.5,33.949,-117.766,5.44,7,7,2,2,0,0,0,0,2008-07-29T18:42:15.669972Z
17,1,-1,6.9,33.979,-116.681,5.03,2,3,1,0,0,0,0,0,1988-12-16T05:53:04.999988Z
18,1,1,6.8,32.232,-115.79799999999999,4.84,4,8,5,3,0,0,0,0,2002-12-10T21:04:00.690014Z
19,1,1,5.9,34.943000000000005,-118.743,5.37,6,12,2,1,0,0,0,0,1988-06-10T23:06:43.050020Z
20,2,2,15.9,34.369,-118.67,5.07,23,24,11,11,0,0,0,0,1997-04-26T10:37:30.669996Z
21,1,1,4.1,34.323,-116.844,4.82,14,16,12,11,0,0,0,0,1998-10-27T01:08:40.649969Z
22,1,1,13.4,32.676,-116.04799999999999,4.62,10,12,12,10,0,0,0,0,2006-11-03T15:56:43.050019Z
23,1,1,9.4,33.912,-117.78299999999999,4.78,5,5,3,3,1,1,0,0,2002-09-03T07:08:51.839981Z
24,1,1,13.8,33.938,-118.336,4.7,4,4,3,3,0,0,0,0,2009-05-18T03:39:36.339987Z
25,-1,-1,9.6,35.21,-118.06700000000001,5.67,2,2,0,0,0,0,0,0,1992-07-11T18:14:16.159981Z
26,1,1,12.3,33.431,-116.443,5.19,14,14,3,3,0,0,0,0,2016-06-10T08:04:38.700020Z
27,1,1,1.0,34.062,-116.366,4.93,35,35,20,20,1,1,1,1,1999-05-14T07:54:03.189999Z
28,1,1,12.3,33.417,-116.475,5.42,15,17,1,0,6,6,2,2,2010-07-07T23:53:33.480018Z
29,1,1,6.6,34.135999999999996,-117.709,4.66,7,7,6,6,0,0,0,0,1988-06-26T15:04:58.480035Z
30,2,2,4.6,34.121,-116.928,4.78,9,10,7,7,0,0,0,0,1998-08-16T13:34:40.230013Z
31,1,1,6.4,34.813,-116.419,5.06,4,4,1,1,0,0,0,0,2008-12-06T04:18:42.850022Z
32,1,1,5.1,33.931999999999995,-117.916,5.09,18,18,6,6,1,1,1,1,2014-03-29T04:09:42.169963Z
33,1,1,9.8,32.455,-118.163,4.99,4,4,3,3,0,0,0,0,2005-10-16T21:11:35.009980Z
34,5,5,10.0,35.043,-119.014,4.69,11,11,10,10,1,1,1,1,2005-09-22T20:24:48.620052Z
35,1,1,6.0,33.317,-115.728,4.77,21,21,14,14,5,5,5,5,2009-03-24T11:55:43.930015Z
36,1,-1,6.0,32.329,-115.33200000000001,4.98,2,3,2,2,0,0,0,0,2008-11-20T19:23:00.189996Z
37,1,1,7.1,34.406,-119.92,4.8,3,3,1,1,0,0,0,0,2013-05-29T14:38:03.410018Z
38,1,1,8.0,34.27,-117.993,5.8,11,13,3,3,0,0,0,0,1991-06-28T14:43:54.659964Z
39,-1,-1,22.1,35.542,-119.37299999999999,4.87,2,2,1,1,0,0,0,0,2016-02-24T00:02:23.629979Z
40,1,1,0.6,34.971,-116.819,5.26,11,18,8,4,1,1,0,0,1997-03-18T15:24:47.720044Z
41,1,1,7.0,32.319,-115.322,5.7,141,153,3,3,0,0,0,0,2002-02-22T19:32:41.749958Z
42,4,4,-1.8,36.391,-117.861,5.19,48,50,13,13,28,28,12,12,2009-10-03T01:16:00.310016Z
43,1,1,13.1,33.532,-116.56700000000001,5.2,8,8,1,1,1,1,0,0,2005-06-12T15:41:46.519989Z
44,1,1,11.6,33.919000000000004,-118.62700000000001,4.96,40,44,9,8,0,0,0,0,1989-01-19T06:53:28.840018Z
45,5,5,5.6,34.312,-116.845,4.99,50,51,28,27,0,0,0,0,2003-02-22T12:19:10.919969Z
46,1,1,6.0,32.306999999999995,-115.228,5.37,22,24,6,5,0,0,0,0,2006-05-24T04:20:26.009983Z
47,1,1,-0.0,36.075,-117.65,5.3,71,84,19,16,0,0,0,0,1996-11-27T20:17:24.110021Z
48,1,1,8.9,34.061,-118.079,5.9,67,73,7,6,0,0,0,0,1987-10-01T14:42:20.020002Z
49,-1,-1,9.9,33.836999999999996,-119.726,5.29,2,2,0,0,0,0,0,0,2018-04-05T19:29:16.500015Z
50,1,1,10.6,34.058,-117.01100000000001,4.88,5,6,5,4,0,0,0,0,2005-06-16T20:53:26.019970Z
51,5,2,4.7,35.760999999999996,-117.63799999999999,5.75,107,167,15,10,57,57,7,7,1995-09-20T23:27:36.269998Z
52,4,4,0.3,36.067,-117.63799999999999,5.23,70,76,18,17,0,0,0,0,1998-03-06T05:47:40.339970Z
53,1,1,1.2,33.153,-115.646,5.08,26,26,11,11,47,47,24,24,2005-09-02T01:27:19.590017Z
54,2,2,1.9,36.016,-117.874,5.17,115,118,21,21,20,20,7,7,2001-07-17T12:07:26.099964Z
55,1,1,9.1,36.698,-116.289,5.4,10,18,3,2,0,0,0,0,1992-06-29T10:14:23.180006Z
56,1,1,3.7,34.803000000000004,-116.266,4.77,10,10,6,6,0,0,0,0,2002-10-29T14:16:54.079969Z
57,1,1,3.3,34.144,-117.697,5.51,74,79,10,10,1,1,1,1,1990-02-28T23:43:36.750032Z
58,2,2,11.2,33.015,-115.852,6.6,410,654,2,1,95,95,3,3,1987-11-24T13:15:56.709996Z
59,1,1,5.8,32.971,-117.874,5.45,364,446,33,29,0,0,0,0,1986-07-13T13:47:08.210033Z
60,1,1,6.0,32.388000000000005,-115.305,5.38,42,49,6,6,2,2,0,0,1987-02-07T03:45:14.850000Z
61,1,1,9.5,33.999,-116.60799999999999,6.0,265,303,9,8,1,1,0,0,1986-07-08T09:20:44.560037Z
62,4,4,6.0,32.327,-115.257,5.1,138,143,46,44,28,28,5,5,2008-02-11T18:29:30.529966Z
63,1,1,8.0,35.77,-117.59899999999999,7.1,1720,1837,2,2,243,243,2,2,2019-07-06T03:19:53.039968Z
64,1,1,-0.1,34.2,-116.43700000000001,7.3,2874,5148,12,9,176,555,1,0,1992-06-28T11:57:34.130021Z
65,1,1,10.0,32.286,-115.295,7.2,2299,3597,8,5,18,78,1,0,2010-04-04T22:40:42.359984Z
66,1,1,13.7,34.603,-116.265,7.1,1108,1549,3,3,8,8,0,0,1999-10-16T09:46:44.460015Z
