,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,-0.1,34.2,-116.43700000000001,7.3,2873,2873,9,9,192,192,0,0,1992-06-28T11:57:34.130021Z
1,1,1,10.0,32.286,-115.295,7.2,2299,2299,5,5,46,46,0,0,2010-04-04T22:40:42.359984Z
2,1,1,13.7,34.603,-116.265,7.1,1108,1108,3,3,18,18,0,0,1999-10-16T09:46:44.460015Z
3,1,1,8.0,35.77,-117.59899999999999,7.1,1720,1720,2,2,258,258,2,2,2019-07-06T03:19:53.039968Z
4,1,1,18.2,34.213,-118.537,6.7,791,791,12,12,5,5,0,0,1994-01-17T12:30:55.389966Z
5,2,2,11.2,33.015,-115.852,6.6,410,410,1,1,98,98,3,3,1987-11-24T13:15:56.709996Z
6,-1,-1,10.5,35.705,-117.50399999999999,6.4,0,0,0,0,0,0,0,0,2019-07-04T17:33:49.000032Z
7,-1,-1,3.6,34.203,-116.82700000000001,6.3,0,0,0,0,0,0,0,0,1992-06-28T15:05:30.730051Z
8,-1,-1,10.9,33.09,-115.792,6.2,0,0,0,0,0,0,0,0,1987-11-24T01:54:14.660034Z
9,1,1,11.6,33.96,-116.31700000000001,6.1,376,376,6,6,2,2,1,1,1992-04-23T04:50:23.230028Z
10,1,1,9.5,33.999,-116.60799999999999,6.0,264,264,8,8,3,3,0,0,1986-07-08T09:20:44.560037Z
11,1,1,8.9,34.061,-118.079,5.9,67,67,6,6,0,0,0,0,1987-10-01T14:42:20.020002Z
12,-1,-1,5.3,34.275,-118.493,5.89,0,0,0,0,0,0,0,0,1994-01-17T12:31:58.120002Z
13,1,1,6.0,32.464,-115.189,5.8,46,46,4,4,14,14,1,1,2009-12-30T18:48:57.330004Z
14,1,1,8.0,34.27,-117.993,5.8,11,11,3,3,0,0,0,0,1991-06-28T14:43:54.659964Z
15,-1,-1,-1.1,34.131,-116.40799999999999,5.77,0,0,0,0,0,0,0,0,1992-06-28T12:00:44.999967Z
16,-1,-1,13.9,34.678000000000004,-116.29,5.77,0,0,0,0,0,0,0,0,1999-10-16T09:59:35.390032Z
17,2,2,4.7,35.760999999999996,-117.63799999999999,5.75,107,107,10,10,57,57,7,7,1995-09-20T23:27:36.269998Z
18,1,1,8.8,32.705,-115.911,5.71,163,163,14,14,10,10,0,0,2010-06-15T04:26:58.239972Z
19,1,1,7.0,32.319,-115.322,5.7,136,136,3,3,3,3,0,0,2002-02-22T19:32:41.749958Z
20,-1,-1,10.0,32.099000000000004,-115.04799999999999,5.7,0,0,0,0,0,0,0,0,2010-04-04T22:50:17.120003Z
21,-1,-1,5.7,34.12,-116.323,5.7,0,0,0,0,0,0,0,0,1992-06-28T12:01:16.190031Z
22,-1,-1,9.6,34.105,-116.40299999999999,5.69,1,1,0,0,0,0,0,0,1992-06-29T14:08:37.730036Z
23,-1,-1,9.6,35.21,-118.06700000000001,5.67,2,2,0,0,0,0,0,0,1992-07-11T18:14:16.159981Z
