,MAG,Time,Lat,Lon,Depth,clID,eType
0,8.2,2021-07-29T06:15:50.400005Z,55.3635,-157.8876,35.0,217,2.0
1,7.9,2018-01-23T09:31:40.800000Z,56.0464,-149.0728,25.0,217,-1.0
2,7.8,2020-07-22T06:12:40.319996Z,55.0298,-158.5217,28.0,217,-1.0
3,7.6,2020-10-19T20:54:40.320000Z,54.6093,-159.6519,31.1,217,-1.0
4,7.5,2013-01-05T08:58:16.319995Z,55.2347,-134.8008,3.1,214,1.0
5,7.3,2011-06-24T03:09:38.880002Z,51.9805,-171.8201,49.8,215,1.0
6,7.0,2013-08-30T16:25:06.239996Z,51.5001,-175.2137,30.2,215,1.0
7,7.0,2018-11-30T17:29:28.320004Z,61.3464,-149.9552,46.7,213,1.0
8,6.9,2015-07-27T04:49:43.680001Z,52.2759,-169.5348,27.8,215,1.0
9,6.9,2021-08-14T11:57:41.760004Z,55.1733,-157.6531,20.7,217,1.0
10,6.9,2021-10-11T09:10:22.079999Z,56.2584,-156.5532,69.1,217,1.0
11,6.9,2011-09-02T10:55:55.200003Z,52.1018,-171.7181,46.0,215,1.0
12,6.8,2015-05-29T07:00:02.879995Z,56.7079,-156.6764,64.6,212,1.0
13,6.7,2010-07-18T05:56:41.279996Z,52.7536,-169.7741,21.5,215,-1.0
14,6.6,2018-08-15T21:56:52.799996Z,51.4215,-178.0516,20.0,216,1.0
15,6.5,2012-09-26T23:39:59.039998Z,51.5408,-178.1844,26.8,215,1.0
16,6.5,2010-09-03T11:16:04.800001Z,51.6273,-176.0005,45.8,210,1.0
17,6.5,2015-11-09T16:03:47.519996Z,51.6394,-173.0746,15.0,215,1.0
18,6.5,2010-04-30T23:11:45.599998Z,60.4708,-177.8509,13.3,86,1.0
19,6.5,2013-09-04T02:32:29.759997Z,51.4813,-174.6949,30.3,215,1.0
20,6.4,2020-12-01T16:22:39.360004Z,52.7516,-168.2307,23.0,163,1.0
21,6.4,2010-08-04T12:58:27.839996Z,51.3848,-178.4933,33.3,204,1.0
22,6.4,2010-10-08T03:26:12.480004Z,51.3459,-175.3166,24.4,210,1.0
23,6.4,2010-04-30T23:16:30.719997Z,60.467,-177.6065,16.0,86,1.0
24,6.3,2012-11-12T20:42:17.280005Z,57.557,-142.8596,19.0,180,1.0
25,6.3,2019-11-24T00:53:59.999998Z,51.3809,-175.5108,20.0,216,1.0
26,6.3,2016-03-12T18:06:46.080004Z,51.5648,-173.9423,19.0,215,1.0
27,6.2,2017-05-08T17:00:48.959997Z,51.7545,-178.6361,10.0,190,1.0
28,6.2,2016-04-02T05:50:03.839997Z,57.008,-157.9321,11.4,212,1.0
29,6.2,2020-01-23T05:53:05.280001Z,51.9836,-177.855,10.0,216,1.0
30,6.2,2017-05-01T14:18:14.400002Z,59.8295,-136.7042,2.5,185,1.0
31,6.2,2017-05-01T12:31:58.080001Z,59.8298,-136.6764,8.0,185,-1.0
32,6.2,2012-08-10T18:37:43.679997Z,52.4716,-167.4225,12.3,169,1.0
33,6.2,2011-07-16T19:59:13.919998Z,54.7716,-161.3162,40.9,192,1.0
34,6.1,2020-07-28T08:03:41.759995Z,54.8674,-161.1436,41.3,217,-1.0
35,6.1,2021-09-24T11:52:30.719999Z,51.0872,-179.0119,18.0,216,1.0
36,6.1,2013-09-15T16:21:38.879996Z,51.4857,-174.6891,31.1,215,1.0
37,6.1,2019-05-23T08:45:18.719998Z,51.3078,-178.2387,30.0,216,1.0
38,6.1,2020-07-22T06:16:16.320001Z,54.9322,-159.0423,17.7,217,-1.0
39,6.1,2021-01-03T12:38:44.160005Z,51.2327,-179.8028,21.0,216,1.0
40,6.1,2020-01-26T06:31:58.080001Z,51.1338,-179.8892,17.0,216,1.0
41,6.1,2021-05-31T06:59:54.240000Z,62.4492,-148.2512,44.0,148,1.0
42,6.0,2018-08-23T03:35:16.800005Z,51.5106,-177.881,43.9,216,1.0
43,6.0,2014-07-25T10:54:46.080000Z,58.3062,-136.9601,10.0,182,1.0
