MAG,Time,Lat,Lon,Depth,clID
3.4,2021-12-31T23:10:36.479995Z,54.896100,-163.581100,25.4,0
3.1,2021-12-31T15:17:08.160004Z,60.117800,-139.474700,10.7,0
3.6,2021-12-31T14:59:08.159997Z,60.152000,-139.339600,3.6,0
2.7,2021-12-31T13:33:44.640001Z,56.832800,-152.960000,45.0,0
3.3,2021-12-30T20:11:28.319997Z,65.415100,-153.345800,11.6,0
4.9,2021-12-30T13:24:40.320000Z,57.246200,-154.954800,57.8,528
3.0,2021-12-30T05:12:37.440001Z,65.257000,-149.979100,6.4,0
3.4,2021-12-30T00:28:13.440000Z,63.122500,-151.494900,12.4,0
4.3,2021-12-29T18:05:19.680000Z,56.748000,-153.136700,4.9,0
2.9,2021-12-29T15:00:17.280001Z,62.044600,-148.165600,33.7,0
2.7,2021-12-29T11:24:51.840001Z,61.015200,-148.790500,11.7,0
4.3,2021-12-29T03:23:19.679996Z,52.495000,-169.691500,46.2,0
3.5,2021-12-28T23:21:07.200000Z,62.668900,-143.402400,4.4,0
3.4,2021-12-28T09:58:01.919999Z,59.245300,-152.133700,60.3,0
2.8,2021-12-28T01:22:30.719999Z,50.445800,-176.221200,10.0,0
2.8,2021-12-27T23:11:19.680002Z,51.316500,-179.808300,16.2,0
2.9,2021-12-27T23:01:23.519999Z,54.742900,-159.723300,27.3,0
3.9,2021-12-27T20:13:12.000002Z,56.445900,-156.747700,1.5,0
3.3,2021-12-27T08:00:05.760000Z,61.348000,-146.840800,9.4,0
3.8,2021-12-27T07:03:21.599999Z,55.931900,-153.468700,40.3,0
2.7,2021-12-27T03:37:52.320002Z,60.757900,-147.574800,8.9,0
2.7,2021-12-26T15:48:48.960003Z,61.342000,-150.726500,53.5,0
2.8,2021-12-26T10:45:33.120004Z,55.128900,-160.109000,18.9,0
3.2,2021-12-26T08:36:31.679998Z,61.369400,-150.015200,43.9,0
2.9,2021-12-26T07:04:13.440002Z,55.798400,-162.148700,12.6,0
2.7,2021-12-26T05:57:41.760004Z,51.334400,-175.852500,35.0,0
3.2,2021-12-26T04:25:58.079998Z,53.527300,-164.753600,35.0,0
2.7,2021-12-25T23:35:57.119997Z,55.456300,-156.968700,10.1,0
4.5,2021-12-25T23:10:10.559999Z,54.799100,-157.868600,9.8,0
2.7,2021-12-25T19:52:36.479999Z,54.170700,-162.170300,17.3,0
4.2,2021-12-25T10:15:53.280000Z,55.149000,-156.798300,2.6,0
3.3,2021-12-24T06:48:23.039997Z,52.357300,-170.084600,20.9,0
2.7,2021-12-24T03:12:23.039995Z,51.397200,-175.563700,35.0,0
2.7,2021-12-23T19:54:54.719995Z,54.573200,-163.311400,8.8,0
2.7,2021-12-23T11:39:15.840001Z,53.307800,-160.412100,30.8,0
3.3,2021-12-23T11:04:50.879999Z,55.232500,-159.242400,42.0,0
2.8,2021-12-23T09:49:49.440001Z,51.335700,-172.487600,31.1,0
3.5,2021-12-23T08:24:34.560000Z,54.823100,-158.772700,18.0,127
3.1,2021-12-23T07:40:47.999995Z,57.806100,-157.287500,1.1,0
3.2,2021-12-23T04:14:35.520002Z,61.450200,-146.644900,9.2,0
2.8,2021-12-22T18:48:14.400002Z,50.406400,-175.103800,10.0,0
