MAG,Time,Lat,Lon,Depth,clID
9.1,2011-03-11T05:46:19.199996Z,38.320000,142.370000,24.4,2434
9.0,2004-12-26T00:58:53.760002Z,3.300000,95.780000,10.0,2060
8.8,2010-02-27T06:34:16.319997Z,-35.850000,-72.710000,44.8,2419
8.6,2005-03-28T16:09:33.120002Z,2.090000,97.110000,30.0,2521
8.6,2012-04-11T08:38:32.640004Z,2.330000,93.060000,20.0,1224
8.5,2007-09-12T11:10:27.840000Z,-4.440000,101.370000,34.0,2644
8.4,2001-06-23T20:33:12.960004Z,-16.260000,-73.640000,33.0,2268
8.3,2003-09-25T19:50:09.599997Z,41.810000,143.910000,27.0,2008
8.3,2015-09-16T22:54:28.799999Z,-31.570000,-71.670000,22.4,1906
8.3,2006-11-15T11:14:21.119996Z,46.570000,153.290000,38.9,2605
8.3,1994-10-04T13:22:56.639995Z,43.710000,147.330000,33.0,2640
8.2,2012-04-11T10:43:14.879997Z,0.800000,92.460000,25.1,1220
8.2,2017-09-08T04:49:17.760005Z,15.020000,-93.900000,47.4,1793
8.2,1996-02-17T05:59:25.439998Z,-0.950000,137.030000,33.0,1129
8.1,2009-09-29T17:48:11.519997Z,-15.490000,-172.100000,18.0,2317
8.1,2014-04-01T23:46:45.120003Z,-19.610000,-70.770000,25.0,1893
8.1,2007-01-13T04:23:22.560001Z,46.240000,154.520000,10.0,2494
8.1,2007-04-01T20:39:59.039998Z,-8.460000,157.040000,10.0,2487
8.1,2004-12-23T14:59:08.159997Z,-49.310000,161.350000,10.0,1241
8.1,1998-03-25T03:12:23.039995Z,-62.880000,149.530000,10.0,0
8.0,2006-05-03T15:26:38.400001Z,-20.190000,-174.120000,55.0,2544
8.0,2007-08-15T23:40:59.519996Z,-13.390000,-76.600000,39.0,1318
8.0,1995-07-30T05:11:19.680002Z,-23.360000,-70.310000,47.0,1083
8.0,2000-11-16T04:54:54.719996Z,-3.980000,152.170000,33.0,35
8.0,1995-10-09T15:36:00.000002Z,19.150000,-104.220000,49.0,72
7.9,2002-11-03T22:12:43.200001Z,63.520000,-147.440000,4.9,2
7.9,2008-05-12T06:28:04.800005Z,31.000000,103.320000,19.0,1317
7.9,1996-06-10T04:03:38.880000Z,51.560000,-177.630000,33.0,2130
7.9,2011-03-11T06:15:41.759999Z,36.130000,140.230000,30.2,0
7.9,1995-12-03T18:01:09.120003Z,44.620000,149.320000,22.1,2081
7.9,2000-06-04T16:28:24.960001Z,-4.720000,102.090000,33.0,2258
7.9,2007-09-12T23:49:03.359999Z,-2.620000,100.840000,35.0,2641
7.9,2015-04-25T06:11:22.559997Z,28.150000,84.710000,15.0,1728
7.9,2013-02-06T01:12:25.920000Z,-10.800000,165.110000,24.0,1818
7.9,2000-06-18T14:44:09.600005Z,-13.800000,97.450000,10.0,201
7.9,2018-01-23T09:31:40.800000Z,56.000000,-149.170000,14.1,1776
7.9,1996-01-01T08:05:08.160000Z,0.720000,119.980000,33.0,1997
7.8,2009-10-07T22:18:54.720004Z,-12.520000,166.380000,35.0,2416
7.8,2012-10-28T03:04:10.559997Z,52.790000,-132.100000,14.0,1613
7.8,2001-11-14T09:26:12.480004Z,35.950000,90.540000,10.0,1456
