,MAG,Time,Lat,Lon,Depth,clID,eType
0,6.6,2016-10-30T06:40:17.320020Z,42.8303,13.1092,10.0,283,2.0
1,6.3,2009-04-06T01:32:40.399955Z,42.342,13.38,8.3,310,1.0
2,6.2,2016-08-24T01:36:31.999996Z,42.6983,13.2335,8.1,283,-1.0
3,6.1,2012-05-20T02:03:50.170008Z,44.8955,11.2635,9.5,318,1.0
4,6.1,2016-10-26T19:18:07.419978Z,42.9048,13.0902,9.6,283,-1.0
5,6.0,1997-09-26T09:40:26.599984Z,43.0147,12.8538,9.9,319,1.0
6,5.9,2012-05-29T07:00:02.879995Z,44.8417,11.0657,8.1,318,1.0
7,5.8,1990-05-05T07:21:29.609970Z,40.6495,15.8818,0.0,199,1.0
8,5.7,2002-11-01T15:09:01.919983Z,41.7415,14.8432,21.4,260,1.0
9,5.7,2002-10-31T10:32:58.999975Z,41.7167,14.8932,25.2,260,-1.0
10,5.7,2017-01-18T10:14:09.899983Z,42.531,13.2838,9.6,283,1.0
11,5.7,1997-09-26T00:33:12.880027Z,43.0228,12.891,3.5,319,-1.0
12,5.6,2017-01-18T10:25:23.730034Z,42.5033,13.277,9.4,283,1.0
13,5.6,1990-12-13T00:24:28.000024Z,37.3132,15.3125,13.6,217,1.0
14,5.6,1998-04-12T10:55:32.859982Z,46.2827,13.5707,14.6,236,1.0
15,5.6,1997-10-14T15:23:10.639973Z,42.8982,12.8987,7.3,319,1.0
16,5.5,1998-09-09T11:28:00.340004Z,40.06,15.949,29.2,259,1.0
17,5.5,2016-08-24T02:33:28.890002Z,42.7922,13.1507,8.0,283,-1.0
18,5.5,2012-05-29T10:55:56.549996Z,44.8652,10.9795,4.4,318,1.0
19,5.5,2016-10-26T17:10:36.979992Z,42.8747,13.1243,8.1,283,-1.0
20,5.5,2009-04-07T17:47:37.339987Z,42.303,13.486,17.1,310,1.0
21,5.5,1997-10-06T23:24:53.289962Z,43.0275,12.8467,3.9,319,1.0
22,5.4,1996-10-15T09:55:59.000016Z,44.7988,10.6787,1.3,290,1.0
23,5.4,2009-04-09T00:52:58.999956Z,42.489,13.351,11.0,310,1.0
24,5.4,2008-12-23T15:24:21.769973Z,44.544,10.345,22.9,234,1.0
25,5.3,2012-10-25T23:05:24.729966Z,39.8747,16.0158,9.7,293,1.0
26,5.3,2013-06-21T10:33:56.979996Z,44.1308,10.1357,7.0,279,1.0
27,5.3,2018-08-16T18:19:04.599987Z,41.8742,14.8648,19.6,202,1.0
28,5.3,2017-01-18T09:25:40.390005Z,42.545,13.2768,10.0,283,1.0
29,5.3,1998-03-26T16:26:17.030026Z,43.1458,12.809,44.8,319,1.0
30,5.2,1997-10-03T08:55:22.070035Z,43.0427,12.8245,12.1,319,1.0
31,5.2,2017-01-18T13:33:36.740013Z,42.4733,13.2747,9.5,283,1.0
32,5.2,2003-09-14T21:42:53.199964Z,44.255,11.38,8.3,248,1.0
33,5.2,2012-05-20T13:18:01.770019Z,44.8135,11.4407,3.4,318,1.0
34,5.2,1995-09-30T10:14:33.859992Z,41.7903,15.9712,27.6,6,1.0
35,5.2,2009-04-09T19:38:16.960008Z,42.504,13.35,9.3,310,1.0
36,5.2,2012-05-29T11:00:01.680018Z,44.8558,10.941,8.7,318,1.0
37,5.2,1997-10-12T11:08:36.570024Z,42.9062,12.9203,0.1,319,1.0
38,5.2,2012-05-20T02:07:28.950012Z,44.8737,11.2703,6.1,318,1.0
