,MAG,Time,Lat,Lon,Depth,clID,eType
0,7.5,1993-01-15T20:06:07.199973Z,42.92,144.353333,10.1,622,2.0
1,7.3,2000-10-06T13:30:17.940005Z,35.274167,133.349,9.0,623,1.0
2,7.3,1995-01-17T05:46:51.859978Z,34.598333,135.035,16.1,605,1.0
3,7.2,2008-06-14T08:43:45.359964Z,39.029833,140.880667,7.8,624,1.0
4,7.0,2005-03-20T10:53:40.320007Z,33.739167,130.176333,9.2,616,1.0
5,6.9,2007-03-25T09:41:57.910010Z,37.220667,136.686,10.7,595,1.0
6,6.8,2004-10-23T17:56:00.299962Z,37.2925,138.867167,13.1,493,1.0
7,6.8,2007-07-16T10:13:22.550019Z,37.556833,138.6095,16.8,625,1.0
8,6.7,2001-03-24T15:27:54.500000Z,34.132333,132.693667,46.5,623,1.0
9,6.6,1997-03-26T17:31:47.899975Z,31.972833,130.359,11.8,621,1.0
10,6.6,1997-06-25T18:50:12.780007Z,34.4415,131.666167,8.3,552,1.0
11,6.5,2009-08-11T05:07:05.740030Z,34.786167,138.499333,23.3,607,1.0
12,6.5,2004-10-23T18:34:05.690031Z,37.306333,138.93,14.2,493,1.0
13,6.4,1997-05-13T14:38:27.590001Z,31.948333,130.302667,9.2,621,1.0
14,6.4,2003-07-26T07:13:31.519976Z,38.405,141.171,11.9,422,1.0
15,6.3,2004-10-23T18:03:12.649971Z,37.354,138.983333,9.4,493,1.0
16,6.3,1994-08-31T18:07:28.999978Z,43.493333,146.063333,8.4,622,1.0
17,6.3,2002-11-03T12:37:43.620039Z,38.8965,142.138667,45.8,587,1.0
18,6.2,1998-09-03T16:58:17.209975Z,39.806,140.901167,7.9,549,1.0
19,6.1,2004-12-14T14:56:10.539999Z,44.076667,141.6995,8.6,478,1.0
20,6.1,1992-06-16T14:51:04.100030Z,45.455,142.411667,34.8,100,1.0
21,6.1,2004-10-27T10:40:50.240006Z,37.291833,139.033333,11.6,493,1.0
22,6.1,1990-04-12T05:51:13.700018Z,35.52,135.638333,36.8,149,1.0
23,6.1,1996-08-11T03:12:17.990002Z,38.908167,140.6335,8.6,429,1.0
24,6.1,2000-06-03T17:54:47.700024Z,35.689833,140.7465,48.1,618,1.0
25,6.1,2005-04-11T07:22:15.629978Z,35.726833,140.621167,51.5,465,1.0
26,6.1,1992-08-24T15:59:41.699995Z,41.94,140.786667,12.1,291,1.0
27,6.0,1997-05-24T02:50:38.420045Z,34.500833,137.499833,23.1,533,1.0
28,6.0,2004-10-23T18:11:56.769991Z,37.253,138.8295,11.5,493,1.0
29,6.0,1990-06-01T10:22:09.200009Z,35.645,140.726667,5.9,485,1.0
30,6.0,1991-10-28T10:09:12.800016Z,33.923333,131.165,1.9,83,1.0
31,5.9,1998-05-03T11:09:05.310031Z,34.960667,139.175833,4.7,534,1.0
32,5.9,2004-11-08T11:15:58.549994Z,37.396,139.032,0.0,493,1.0
33,5.9,1997-03-04T12:51:27.230026Z,34.955667,139.169667,2.6,619,1.0
34,5.9,1997-03-16T14:51:39.139973Z,34.928167,137.525167,39.1,555,1.0
35,5.9,1995-05-23T19:01:28.929991Z,43.642667,141.715333,15.7,622,1.0
36,5.9,1991-08-28T10:29:02.200042Z,35.323333,133.186667,1.3,314,1.0
37,5.8,2003-09-20T12:54:52.200027Z,35.218833,140.300333,70.0,432,1.0
38,5.8,2005-04-20T06:11:26.829970Z,33.678167,130.288167,13.5,616,1.0
39,5.8,2006-04-21T02:50:39.509980Z,34.9415,139.195833,7.1,462,1.0
40,5.8,2004-10-25T06:04:57.569981Z,37.33,138.946833,15.2,493,1.0
41,5.8,1996-08-11T08:10:46.600037Z,38.866167,140.672,9.8,429,1.0
42,5.8,2004-08-10T15:13:30.980031Z,39.674,142.132167,48.1,366,1.0
43,5.8,1993-11-27T15:11:23.800013Z,38.585,141.335,11.2,293,1.0
44,5.8,2007-07-16T15:37:40.410019Z,37.504,138.6445,22.5,625,1.0
45,5.8,2001-04-25T23:40:08.390038Z,32.798833,132.339,39.3,563,1.0
46,5.8,1992-08-07T20:11:42.699984Z,35.746667,135.323333,36.4,596,1.0
47,5.8,1991-06-13T05:11:36.299988Z,42.751667,143.415,11.9,194,1.0
48,5.7,2008-06-14T09:20:11.829979Z,38.886333,140.673,6.5,624,1.0
49,5.7,2010-09-29T16:59:55.980039Z,37.285,140.0255,7.6,479,1.0
50,5.7,1997-04-03T04:33:23.320020Z,31.970333,130.322,14.8,621,1.0
51,5.7,2004-10-06T23:40:40.160002Z,35.988833,140.089833,66.0,482,1.0
52,5.7,2004-10-23T19:45:57.190000Z,37.295667,138.876167,12.3,493,1.0
53,5.7,2004-10-23T18:07:30.950028Z,37.348167,138.865,14.9,493,1.0
54,5.7,1992-02-02T04:04:05.700032Z,35.23,139.788333,9.2,403,1.0
55,5.7,1998-06-14T22:17:06.190025Z,35.4645,140.749,46.4,329,1.0
56,5.7,2000-10-31T01:42:52.980016Z,34.298667,136.3215,38.7,254,1.0
57,5.7,1991-10-25T19:39:03.600029Z,43.206667,144.44,10.5,419,1.0
58,5.7,1994-02-13T02:06:56.299968Z,32.085,130.495,0.5,304,1.0
59,5.6,1992-09-23T22:38:37.499969Z,31.101667,130.353333,16.0,500,1.0
60,5.6,1998-08-16T03:31:07.830022Z,36.328167,137.625667,3.2,554,1.0
61,5.6,2005-06-20T01:15:14.199987Z,35.733833,140.694667,50.6,465,1.0
62,5.6,1996-08-11T03:54:12.240024Z,38.897667,140.651,8.9,429,1.0
63,5.6,1999-08-21T05:33:11.350025Z,34.030833,135.4705,65.8,508,1.0
64,5.6,1992-05-11T19:07:53.200045Z,36.533333,140.536667,5.6,608,1.0
65,5.6,1996-12-21T10:28:47.709988Z,36.096167,139.860833,53.1,560,1.0
66,5.6,2001-01-12T08:00:04.249990Z,35.466,134.49,10.6,623,1.0
