MAG,Time,Lat,Lon,Depth,clID
2.5,2011-01-01T06:44:31.869967Z,37.281667,140.017833,7.5,0
2.7,2011-01-01T06:44:40.119963Z,37.278000,140.016500,7.4,0
4.7,2011-01-01T08:01:02.170044Z,36.657500,140.973500,49.1,305
3.2,2011-01-01T09:14:49.559971Z,45.078167,142.265667,2.9,0
2.4,2011-01-01T17:16:09.510013Z,32.860000,130.632667,8.0,0
2.7,2011-01-01T23:20:53.080000Z,32.739833,130.527167,7.8,0
2.4,2011-01-01T23:24:39.350016Z,32.740667,130.527667,7.0,0
2.6,2011-01-02T02:30:38.760016Z,35.694167,140.090667,63.8,0
3.9,2011-01-02T09:42:37.349969Z,35.562167,138.784833,16.6,0
2.5,2011-01-02T15:48:01.009982Z,36.531667,140.378333,59.3,0
3.1,2011-01-02T18:21:52.799970Z,39.944500,141.902333,61.5,0
3.4,2011-01-02T19:38:50.069967Z,42.064667,142.463167,69.5,0
2.5,2011-01-03T02:47:47.740051Z,34.608667,137.059000,3.3,0
2.8,2011-01-03T02:59:08.919971Z,38.929000,140.609333,3.2,0
2.7,2011-01-03T07:04:07.809998Z,33.172000,132.233167,15.6,0
3.8,2011-01-03T08:22:30.050003Z,33.671667,130.417167,12.9,0
2.4,2011-01-03T10:02:56.220002Z,39.056500,140.838833,6.5,0
2.7,2011-01-03T10:52:13.679982Z,35.055500,135.553833,11.7,0
3.4,2011-01-03T13:19:32.589985Z,34.941167,135.676833,14.8,0
2.6,2011-01-03T16:58:56.220013Z,34.533000,137.766667,3.0,0
2.8,2011-01-04T03:51:35.210017Z,34.142833,135.136000,5.8,0
2.5,2011-01-04T08:03:07.759949Z,35.437833,137.389667,7.2,0
2.5,2011-01-04T18:00:30.729968Z,34.829000,132.937167,13.2,0
2.9,2011-01-05T03:45:28.759973Z,33.285500,135.870167,27.5,0
3.1,2011-01-06T08:23:51.720029Z,35.806000,139.873333,28.2,0
2.4,2011-01-06T11:19:21.290013Z,37.062167,140.945167,53.8,0
2.4,2011-01-06T16:18:15.479973Z,40.657833,140.102667,1.6,0
2.7,2011-01-06T22:18:19.649987Z,32.884667,132.285833,34.0,0
2.6,2011-01-07T06:23:36.369968Z,31.485667,131.548500,29.1,0
2.7,2011-01-07T08:40:23.160034Z,35.059333,140.233500,63.5,0
2.4,2011-01-07T11:53:44.449955Z,37.338500,136.687500,6.0,0
3.9,2011-01-07T18:05:37.799988Z,32.570000,130.605500,15.7,0
2.6,2011-01-07T23:25:21.510017Z,35.744333,135.244333,3.5,0
2.4,2011-01-08T10:25:21.340045Z,36.331833,137.276833,2.5,0
3.5,2011-01-09T11:21:41.110015Z,35.873167,140.249500,42.7,0
2.9,2011-01-09T11:58:34.840011Z,33.832500,134.960000,12.5,0
2.4,2011-01-09T15:53:52.100021Z,33.523167,135.855500,28.9,0
2.7,2011-01-09T17:26:03.120000Z,35.666333,136.317167,10.8,0
2.4,2011-01-09T22:59:42.029984Z,33.374500,130.867500,10.7,0
2.5,2011-01-10T10:00:18.740018Z,33.867167,135.867500,47.4,0
2.4,2011-01-10T10:44:46.629973Z,35.041500,135.570667,12.2,0
2.7,2011-01-10T11:26:10.310034Z,33.432333,132.256167,45.5,0
2.5,2011-01-10T18:15:38.929970Z,35.121667,138.025333,40.2,0
3.5,2011-01-11T03:12:57.939987Z,34.039667,135.269500,5.7,0
2.7,2011-01-11T20:51:03.990033Z,38.336333,141.630500,59.5,321
2.5,2011-01-12T18:07:51.040012Z,35.895500,137.776167,8.4,0
2.4,2011-01-13T01:49:15.880021Z,37.286667,140.002000,8.2,0
3.0,2011-01-13T07:59:11.439967Z,34.126833,136.050000,4.2,0
2.9,2011-01-13T18:51:11.230042Z,35.844333,135.904000,3.5,0
2.7,2011-01-13T20:22:06.030017Z,32.940333,132.059500,13.1,0
2.7,2011-01-14T05:31:13.809997Z,32.274000,129.721833,9.4,0
2.9,2011-01-14T11:21:01.080027Z,43.829333,143.315500,8.5,0
2.4,2011-01-14T18:54:41.790035Z,32.141333,130.357667,8.6,0
2.4,2011-01-14T22:33:33.399969Z,36.622500,139.492833,9.4,0
3.4,2011-01-15T03:58:33.090017Z,35.729167,140.191667,62.4,0
2.7,2011-01-15T12:25:37.599968Z,42.244000,142.788667,43.5,0
2.6,2011-01-15T22:23:03.569971Z,34.054000,132.734500,43.4,0
2.4,2011-01-15T22:27:05.580005Z,34.054000,132.734833,43.2,0
2.7,2011-01-16T00:53:52.830011Z,35.734000,140.191833,64.8,0
2.5,2011-01-16T10:10:14.630016Z,43.473333,142.955833,4.3,0
2.5,2011-01-16T10:16:40.120030Z,43.471500,142.956833,5.5,0
2.4,2011-01-16T15:07:00.130019Z,34.053333,132.734167,43.5,0
3.1,2011-01-16T19:43:46.779995Z,33.713833,135.151667,44.4,0
