,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
0,-999.000,-999.000,344,6.0,0.8,0.5,0.8,0.5,40.313,-124.542,4.4,7,5,7,5,2002-05-04T13:56:30.999997,-999.000,-999.000,1,1
1,-999.000,-999.000,345,7.0,-999.0,-999.0,0.7,-999.0,36.964,-121.594,3.9,0,0,1,0,1997-07-17T19:46:35.999999,-999.000,-999.000,0,0
2,-999.000,-999.000,346,0.0,0.3,-999.0,0.3,-999.0,38.811,-122.799,3.5,1,0,1,0,2002-05-14T21:32:04.000001,-999.000,-999.000,0,0
3,-999.000,-999.000,347,7.0,-999.0,-999.0,0.5,-999.0,37.541,-118.869,3.7,0,0,1,0,2002-03-10T19:59:03.999998,-999.000,-999.000,0,0
4,-999.000,-999.000,340,4.0,-999.0,-999.0,-999.0,-999.0,37.257,-121.644,3.2,0,0,1,0,1985-01-10T05:47:53.000001,-999.000,-999.000,0,0
5,-999.000,-999.000,341,0.0,0.4,-999.0,0.4,-999.0,38.831,-122.805,3.6,1,0,1,0,2001-12-10T12:46:00.000003,-999.000,-999.000,0,0
6,-999.000,-999.000,342,6.0,-999.0,0.1,0.5,0.1,39.047,-123.121,4.3,0,1,1,1,2001-12-14T09:41:04.000001,-999.000,-999.000,0,0
7,-999.000,-999.000,343,-1.0,0.3,0.5,0.3,0.5,35.682,-118.066,3.7,2,1,2,1,2002-05-02T06:00:12.999999,-999.000,-999.000,4,4
8,-999.000,-999.000,348,1.0,0.6,-999.0,0.6,-999.0,36.549,-121.130,3.8,1,0,1,0,2002-05-24T17:44:00.000001,-999.000,-999.000,0,0
9,-999.000,-999.000,349,5.0,0.1,-999.0,0.1,-999.0,37.464,-118.839,3.3,1,0,1,0,2002-06-02T21:37:30.000001,-999.000,-999.000,0,0
10,-999.000,-999.000,298,8.0,0.1,-999.0,0.1,-999.0,39.730,-120.564,3.6,1,0,1,0,1999-06-15T07:50:14.000000,-999.000,-999.000,0,0
11,-999.000,-999.000,299,7.0,0.7,-999.0,0.7,-999.0,35.736,-118.473,4.2,2,0,2,0,1999-07-11T18:20:45.000001,-999.000,-999.000,0,0
12,-999.000,-999.000,296,6.0,-999.0,0.5,-999.0,0.3,36.581,-121.176,3.7,0,1,0,2,1999-04-15T03:20:24.000003,-999.000,-999.000,0,0
13,-999.000,-999.000,297,4.0,-999.0,-999.0,-999.0,-999.0,38.822,-122.808,3.3,1,1,1,1,1999-05-11T21:00:59.999998,-999.000,-999.000,0,0
14,-999.000,-999.000,294,4.0,0.3,-999.0,0.3,-999.0,40.428,-125.496,3.5,1,0,1,0,1999-03-14T18:14:47.000000,-999.000,-999.000,0,0
15,-999.000,-999.000,295,6.0,0.6,-999.0,0.4,-999.0,36.675,-121.299,4.0,3,0,6,0,1999-03-23T18:36:38.999999,-999.000,-999.000,0,1
16,-999.000,-999.000,292,5.0,0.3,-999.0,0.3,-999.0,37.162,-121.552,3.9,1,0,1,0,1999-02-04T00:19:34.999997,-999.000,-999.000,0,0
