,Unnamed: 0,Unnamed: 0.1,MAG,Time,Lat,Lon,Depth,clID,eType
0,0,0,7.2,1992-04-25T18:06:05.179965Z,40.33533,-124.22867,9.9,596,2.0
1,1,1,7.0,1991-08-17T22:17:09.970019Z,41.679,-125.856,1.3,610,2.0
2,2,2,7.0,2005-06-15T02:50:51.330013Z,41.23267,-125.98633999999998,2.1,515,2.0
3,3,3,6.9,1989-10-18T00:04:15.189996Z,37.03617,-121.87983999999999,17.2,559,2.0
4,4,4,6.8,2014-03-10T05:18:13.429981Z,40.82867,-125.13383,16.4,503,2.0
5,5,5,6.6,1995-02-19T04:03:14.940028Z,40.59184000000001,-125.75667,4.6,446,2.0
6,6,6,6.6,1992-04-26T11:18:25.980013Z,40.38283,-124.555,21.7,596,1.0
7,7,7,6.5,2010-01-10T00:27:39.320028Z,40.652,-124.6925,28.7,422,2.0
8,8,8,6.5,2003-12-22T19:15:56.239982Z,35.7005,-121.1005,8.4,546,2.0
9,9,9,6.5,1992-04-26T07:41:40.089956Z,40.4325,-124.566,18.8,596,1.0
10,10,10,6.4,1986-07-21T14:42:26.000004Z,37.538,-118.44283,8.8,584,2.0
11,11,11,6.4,1993-05-17T23:20:48.890031Z,37.16583,-117.78033,-1.1,575,2.0
12,12,12,6.1,1991-08-16T22:26:14.250018Z,41.66117,-125.8455,2.5,610,1.0
13,13,13,6.0,2014-08-24T10:20:44.070004Z,38.21517,-122.31233,11.1,455,2.0
14,14,14,6.0,1991-08-17T19:29:39.999948Z,40.251670000000004,-124.28584,8.3,596,1.0
15,15,15,6.0,2004-09-28T17:15:24.249969Z,35.81816,-120.366,8.1,450,2.0
16,16,16,5.9,1994-09-12T12:23:43.030030Z,38.808170000000004,-119.6925,-1.3,574,2.0
17,17,17,5.9,1986-07-20T14:29:45.439987Z,37.56667,-118.43816000000001,5.0,584,1.0
18,18,18,5.9,2010-02-04T20:20:21.970030Z,40.41233,-124.96133,23.0,422,1.0
19,19,19,5.8,1990-10-24T06:15:19.949969Z,38.06183,-119.11916000000001,10.9,272,2.0
20,20,20,5.8,1986-07-31T07:22:39.769970Z,37.47317,-118.36867,5.8,584,1.0
21,21,21,5.8,2016-12-28T08:22:12.620003Z,38.37567,-118.90333999999999,7.0,569,2.0
22,22,22,5.7,2015-01-28T21:08:53.710000Z,40.31783,-124.60667,16.9,491,2.0
23,23,23,5.7,1986-03-31T11:55:39.810031Z,37.47917,-121.68666999999999,8.5,613,2.0
24,24,24,5.7,2000-03-16T15:19:56.380013Z,40.38867,-125.2385,4.8,538,2.0
25,25,25,5.7,1986-07-21T14:51:09.369997Z,37.49317,-118.45383000000001,8.5,584,1.0
26,26,26,5.7,2013-05-24T03:47:08.180013Z,40.191829999999996,-121.0595,8.0,475,2.0
27,27,27,5.6,2016-09-03T03:27:57.250015Z,40.320840000000004,-125.68767,28.6,0,0.0
28,28,28,5.6,2016-12-28T08:18:00.849965Z,38.372170000000004,-118.8985,10.0,569,1.0
29,29,29,5.6,1987-07-31T23:56:57.829996Z,40.41567,-124.38266999999999,16.9,603,2.0
30,30,30,5.6,1997-01-22T07:17:16.809963Z,40.27367,-124.37917,23.0,339,2.0
31,31,31,5.6,2012-02-13T21:07:02.769966Z,41.14317,-123.79033999999999,27.4,37,2.0
32,32,32,5.6,1986-07-21T22:07:15.639969Z,37.62133,-118.3425,-0.1,584,1.0
33,33,33,5.6,1985-08-04T12:01:55.870001Z,36.143,-120.15633000000001,15.9,563,2.0
34,34,34,5.6,2016-12-28T09:13:47.579981Z,38.3615,-118.89684,2.4,569,1.0
35,35,35,5.6,2019-06-23T03:53:02.890028Z,40.2735,-124.30033,9.4,390,2.0
36,36,36,5.5,1986-01-26T19:20:50.950031Z,36.80433,-121.285,8.2,588,2.0
37,37,37,5.5,1999-05-15T13:22:10.659999Z,37.52967,-118.81716999999999,2.9,541,2.0
38,38,38,5.5,1997-10-04T10:57:34.180014Z,41.05283,-125.34333000000001,6.8,565,2.0
39,39,39,5.5,2007-10-31T03:04:54.810018Z,37.4335,-121.77433,9.7,121,2.0
40,40,40,5.4,1990-01-16T20:08:20.459962Z,40.2425,-124.2975,3.8,596,1.0
41,41,41,5.4,1994-12-26T14:10:29.179984Z,40.73833,-124.30283,22.6,281,2.0
42,42,42,5.4,1998-11-27T00:43:49.059980Z,40.67367,-125.29217,4.5,10,2.0
43,43,43,5.4,2008-04-30T03:03:06.899972Z,40.83583,-123.49683,27.8,315,2.0
44,44,44,5.4,1988-06-10T23:06:42.510011Z,34.949,-118.74016999999999,9.0,107,2.0
45,45,45,5.4,2001-01-13T13:08:42.100021Z,40.75566,-125.2445,2.2,0,0.0
46,46,46,5.4,2004-09-18T23:02:17.750001Z,38.0095,-118.6785,3.4,590,2.0
47,47,47,5.4,2007-02-26T12:19:54.530033Z,40.64283,-124.86283,-0.5,5,2.0
48,48,48,5.4,1989-08-08T08:13:27.390001Z,37.14817,-121.92683000000001,13.4,559,1.0
49,49,49,5.4,1990-04-18T13:53:51.299981Z,36.93233,-121.65683,5.5,559,1.0
50,50,50,5.4,2015-01-01T12:16:14.569970Z,40.442,-125.77467,23.9,0,0.0
51,51,51,5.3,2004-09-18T23:43:41.490019Z,38.02333,-118.658,0.4,590,1.0
52,52,52,5.3,1992-03-08T03:43:04.049985Z,40.23267,-124.2625,9.5,596,1.0
53,53,53,5.3,2019-07-06T03:47:53.489986Z,35.90583,-117.78867,7.3,514,2.0
54,54,54,5.3,1987-02-14T07:26:50.289965Z,36.17233,-120.3405,15.3,508,2.0
55,55,55,5.3,1997-11-02T08:51:52.780032Z,37.87867,-118.166,7.2,516,2.0
56,56,56,5.3,1988-06-27T18:43:22.329981Z,37.12833,-121.895,12.6,559,1.0
57,57,57,5.3,1988-06-13T01:45:36.530034Z,37.39267,-121.7415,9.1,560,2.0
58,58,58,5.3,1988-09-19T02:56:31.249996Z,38.46083,-118.34133,7.4,0,0.0
59,59,59,5.3,2013-02-13T00:10:13.959957Z,38.052170000000004,-118.04616999999999,11.8,499,2.0
60,60,60,5.3,2012-10-21T06:55:09.510011Z,36.309670000000004,-120.856,8.6,82,2.0
61,61,61,5.2,2019-10-28T11:01:04.330051Z,41.89117,-125.83667,10.0,84,2.0
62,62,62,5.2,1997-10-26T10:44:06.410004Z,41.06633,-125.3235,4.6,565,1.0
63,63,63,5.2,1997-01-26T06:23:19.439985Z,40.28133,-124.3965,21.6,339,1.0
64,64,64,5.2,2007-05-09T07:50:03.830032Z,40.3745,-125.01616999999999,-0.4,2,2.0
65,65,65,5.2,1991-09-17T21:10:29.020004Z,35.81033,-121.33483000000001,9.2,345,2.0
66,66,66,5.2,2002-06-17T16:55:07.680004Z,40.80983,-124.552,17.2,52,2.0
67,67,67,5.2,2001-08-10T20:19:27.059988Z,39.81116,-120.61667,5.0,11,2.0
68,68,68,5.2,1985-01-24T11:27:20.989986Z,38.1565,-118.8155,10.1,0,0.0
69,69,69,5.2,2001-07-17T12:07:25.829970Z,36.01266,-117.86633,7.2,552,2.0
70,70,70,5.2,2012-07-21T06:04:21.250011Z,40.41167,-125.33083,5.9,134,2.0
71,71,71,5.2,1992-07-11T18:14:15.729969Z,35.209,-118.062,11.1,167,2.0
72,72,72,5.1,2008-04-26T06:40:10.950019Z,39.5235,-119.93183,1.1,519,2.0
73,73,73,5.1,2009-10-03T01:15:59.740044Z,36.39267,-117.85067,-1.2,356,2.0
74,74,74,5.1,1986-11-21T23:33:01.699997Z,40.3605,-124.40616999999999,15.3,603,1.0
75,75,75,5.1,1998-08-12T14:10:25.140004Z,36.7545,-121.4615,8.8,360,2.0
76,76,76,5.1,1989-10-18T00:41:23.770002Z,37.19017,-122.052,15.3,559,1.0
77,77,77,5.1,1986-11-21T23:34:18.970036Z,40.359,-124.39783,15.3,603,1.0
78,78,78,5.1,1986-08-01T14:28:18.149986Z,37.510329999999996,-118.399,8.0,584,1.0
79,79,79,5.1,1985-03-25T16:05:12.749970Z,37.4525,-118.61166000000001,5.8,584,1.0
80,80,80,5.1,1990-04-18T15:46:03.449998Z,36.95883,-121.6845,6.6,559,1.0
81,81,81,5.1,1988-02-20T08:39:57.259984Z,36.79583,-121.31116000000002,9.2,500,2.0
82,82,82,5.1,1994-09-12T23:57:09.750018Z,38.77633,-119.705,-0.9,574,1.0
83,83,83,5.1,1998-11-26T19:49:53.600013Z,40.62617,-122.414,24.6,597,2.0
84,84,84,5.1,2012-07-21T01:52:01.690004Z,40.385329999999996,-125.528,24.6,134,1.0
85,85,85,5.1,2016-08-10T02:57:17.510035Z,39.32933,-122.80183000000001,14.4,0,0.0
86,86,86,5.1,2017-07-29T00:02:40.909980Z,40.78217,-125.18066,26.5,0,0.0
87,87,87,5.0,2009-10-01T10:01:23.829968Z,36.38517,-117.8375,-1.4,356,1.0
88,88,88,5.0,2016-12-14T16:41:05.530045Z,38.82217,-122.84133,1.5,474,2.0
89,89,89,5.0,2004-09-29T22:54:53.929958Z,35.3865,-118.62867,8.3,0,0.0
90,90,90,5.0,2007-06-25T02:32:24.619983Z,41.1155,-124.8245,2.6,0,0.0
91,91,91,5.0,1986-07-22T13:48:59.149957Z,37.52583,-118.4715,10.7,584,1.0
92,92,92,5.0,2004-09-29T17:10:04.029970Z,35.95367,-120.50216999999999,10.8,450,1.0
93,93,93,5.0,1989-03-03T07:04:01.779967Z,35.77433,-124.29016999999999,4.8,0,0.0
94,94,94,5.0,2003-08-15T09:22:15.649997Z,40.97867,-125.35733,8.1,0,0.0
95,95,95,5.0,2006-07-19T11:41:43.460011Z,40.28067,-124.43316999999999,20.1,170,2.0
96,96,96,5.0,1985-02-08T06:58:16.409973Z,35.462,-118.90717,19.6,0,0.0
97,97,97,5.0,1985-07-26T23:49:08.430038Z,40.3285,-124.93283000000001,4.3,0,0.0
98,98,98,4.9,2013-10-11T23:05:37.330018Z,40.9835,-124.74983,8.6,0,0.0
99,99,99,4.9,2019-07-06T04:37:21.279964Z,35.3395,-119.826,7.9,0,0.0
100,100,100,4.9,2009-08-07T10:49:34.719971Z,40.30983,-124.637,16.3,159,2.0
101,101,101,4.9,1993-01-16T06:29:35.009986Z,37.01833,-121.46316999999999,7.2,0,0.0
102,102,102,4.9,1998-07-15T04:53:19.260012Z,37.56384,-118.806,3.7,592,2.0
103,103,103,4.9,2001-07-17T12:59:59.159969Z,36.01133,-117.8755,5.9,552,1.0
104,104,104,4.9,1997-11-15T06:00:19.509983Z,37.256,-117.8305,1.2,32,2.0
105,105,105,4.9,1990-01-18T11:45:25.729978Z,41.171170000000004,-123.76466,34.8,0,0.0
106,106,106,4.9,1986-02-11T01:15:52.970004Z,41.83383,-125.897,3.9,0,0.0
107,107,107,4.9,1994-06-19T10:39:32.880035Z,40.3555,-124.46283000000001,18.7,527,2.0
108,108,108,4.9,2008-10-26T09:27:22.340016Z,40.33683,-124.62883000000001,20.8,23,2.0
109,109,109,4.9,1990-04-18T13:41:38.639984Z,36.93083,-121.656,5.7,559,1.0
110,110,110,4.9,1996-04-19T00:52:41.440014Z,36.885329999999996,-121.61333,5.3,259,2.0
111,111,111,4.9,1994-12-20T10:27:47.179950Z,35.91767,-120.46467,8.3,214,2.0
112,112,112,4.9,1998-06-09T05:24:40.160019Z,37.5885,-118.79567,4.6,592,1.0
113,113,113,4.9,1989-09-21T17:41:18.430012Z,40.3185,-124.646,16.3,318,2.0
114,114,114,4.9,2000-09-03T08:36:30.110031Z,38.37883,-122.41333,9.4,0,0.0
115,115,115,4.9,2002-05-14T05:00:29.500044Z,36.96684000000001,-121.59834,6.8,521,2.0
116,116,116,4.9,1995-04-23T08:41:36.649970Z,36.602,-121.201,6.6,460,2.0
117,117,117,4.9,1993-05-28T04:47:40.089985Z,35.1595,-119.11617,21.6,0,0.0
118,118,118,4.9,1992-06-05T21:46:43.070020Z,40.31167,-124.4065,19.6,596,1.0
119,119,119,4.9,1997-11-30T21:17:05.440042Z,37.63583,-118.94483000000001,4.6,566,2.0
120,120,120,4.9,2004-09-30T18:54:28.839964Z,35.988,-120.53783,9.9,450,1.0
121,121,121,4.9,1986-08-01T05:30:01.519984Z,40.89367,-123.99566999999999,18.1,0,0.0
122,122,122,4.9,2015-12-29T03:35:28.390045Z,41.07033,-125.286,16.9,0,0.0
123,123,123,4.9,2013-05-24T08:02:19.509969Z,40.1795,-121.07816000000001,3.6,475,1.0
124,124,124,4.9,1995-12-22T09:00:34.560002Z,38.7215,-119.635,3.7,532,2.0
125,125,125,4.9,1997-11-22T17:20:35.160031Z,37.6365,-118.936,5.1,566,1.0
126,126,126,4.8,2005-03-18T07:23:58.489951Z,40.370670000000004,-124.972,17.1,0,0.0
127,127,127,4.8,2016-02-24T00:02:23.610014Z,35.547,-119.36783999999999,21.7,0,0.0
128,128,128,4.8,1993-05-17T23:25:33.780036Z,37.0775,-117.83867,-1.6,575,1.0
129,129,129,4.8,1993-11-14T12:25:34.890035Z,35.9525,-120.498,10.9,0,0.0
130,130,130,4.8,2016-07-21T23:09:05.780044Z,40.72433,-123.89183,26.2,0,0.0
131,131,131,4.8,1995-09-04T14:16:17.669967Z,38.683,-122.7435,6.6,352,2.0
132,132,132,4.8,1988-07-05T18:18:47.579963Z,36.41767,-118.006,-1.9,122,2.0
133,133,133,4.8,1986-07-21T14:57:48.499979Z,37.50367,-118.39183,2.5,584,1.0
134,134,134,4.8,1986-07-30T06:41:52.329956Z,37.58467,-118.4565,6.6,584,1.0
135,135,135,4.8,1997-12-31T20:36:47.340002Z,37.632,-118.86933,4.2,566,1.0
136,136,136,4.8,1990-03-24T08:16:39.969987Z,38.605,-118.14933,7.5,0,0.0
137,137,137,4.8,1988-11-10T05:08:02.839981Z,37.37467,-121.73016000000001,8.4,138,2.0
138,138,138,4.8,1986-08-01T14:27:15.889963Z,37.51417,-118.39283,4.3,584,1.0
139,139,139,4.8,1986-01-14T03:09:36.040036Z,36.58283,-121.17817,6.2,594,2.0
140,140,140,4.8,1989-10-18T00:25:04.579970Z,37.05233,-121.77983,5.5,559,1.0
141,141,141,4.8,1993-05-18T23:48:53.760011Z,37.065329999999996,-117.76966999999999,-0.3,575,1.0
142,142,142,4.8,1991-08-12T21:11:50.199970Z,38.220659999999995,-118.74717,9.6,61,2.0
143,143,143,4.8,1998-10-30T09:53:31.569997Z,39.28433,-120.04533,1.3,0,0.0
144,144,144,4.8,1995-12-28T18:28:01.230028Z,38.7145,-119.6545,-1.0,532,1.0
145,145,145,4.8,1991-01-02T23:16:37.199996Z,39.20317,-119.78983000000001,-0.9,217,2.0
146,146,146,4.8,1999-12-26T19:41:53.129968Z,40.2725,-124.39833,22.7,155,2.0
147,147,147,4.8,1990-01-15T05:29:01.129998Z,38.070840000000004,-118.1265,4.8,0,0.0
148,148,148,4.8,2007-04-18T08:42:22.329998Z,39.4645,-123.10733,4.7,123,2.0
149,149,149,4.8,1993-05-18T01:03:06.929972Z,37.16767,-117.78633,2.6,575,1.0
150,150,150,4.8,2016-02-16T23:04:26.909972Z,37.202329999999996,-118.4035,15.1,168,2.0
151,151,151,4.8,2005-06-26T18:45:57.790020Z,39.305,-120.09283,-2.3,0,0.0
152,152,152,4.8,2004-02-14T12:43:05.610035Z,35.09167,-119.10933999999999,23.6,0,0.0
153,153,153,4.8,2015-09-14T13:55:48.580033Z,41.89034,-119.63033,14.9,562,2.0
154,154,154,4.8,2011-04-17T00:45:37.209967Z,38.39417,-118.73267,6.3,420,2.0
155,155,155,4.7,1992-04-25T19:14:51.140003Z,40.3095,-124.573,-0.1,596,1.0
156,156,156,4.7,2003-12-22T19:26:07.230019Z,35.63183,-121.05516999999999,7.8,546,1.0
