,MAG,Time,Lat,Lon,Depth,clID,eType
0,6.5,2003-12-22T19:15:56.239982Z,35.7005,-121.1005,8.4,412,2.0
1,6.3,1995-08-06T18:38:35.739974Z,37.319,-118.8675,-0.2,309,1.0
2,6.0,2014-08-24T10:20:44.070004Z,38.21517,-122.31233,11.1,293,1.0
3,6.0,2004-09-28T17:15:24.249979Z,35.81816,-120.366,8.1,415,1.0
4,5.8,2016-12-28T08:22:12.620003Z,38.37567,-118.90334,7.0,310,1.0
5,5.6,2016-12-28T08:18:00.849975Z,38.37217,-118.8985,10.0,310,-1.0
6,5.6,2016-12-28T09:13:47.579981Z,38.3615,-118.89684,2.4,310,1.0
7,5.5,1999-05-15T13:22:10.659989Z,37.52967,-118.81717,2.9,416,1.0
8,5.4,2004-09-18T23:02:17.750001Z,38.0095,-118.6785,3.4,342,1.0
9,5.4,2004-09-18T23:43:41.490019Z,38.02333,-118.658,0.4,342,1.0
10,5.4,2007-10-31T03:04:54.810018Z,37.4335,-121.77433,9.7,400,1.0
11,5.3,1997-11-02T08:51:52.780032Z,37.87867,-118.166,7.2,237,1.0
12,5.3,2013-02-13T00:10:13.959957Z,38.05217,-118.04617,11.8,227,1.0
13,5.3,2019-07-06T03:47:53.489986Z,35.90583,-117.78867,7.3,268,1.0
14,5.3,2012-10-21T06:55:09.510011Z,36.30967,-120.856,8.6,181,1.0
15,5.2,2001-08-10T20:19:27.059978Z,39.81116,-120.61667,5.0,355,1.0
16,5.2,2001-07-17T12:07:25.829960Z,36.01266,-117.86633,7.2,352,1.0
17,5.1,2016-08-10T02:57:17.510024Z,39.32933,-122.80183,14.4,308,1.0
18,5.1,2009-10-03T01:15:59.740044Z,36.39267,-117.85067,-1.2,399,1.0
19,5.1,2008-04-26T06:40:10.950009Z,39.5235,-119.93183,1.1,387,1.0
20,5.1,1998-08-12T14:10:25.140004Z,36.7545,-121.4615,8.8,434,1.0
21,5.0,2004-09-29T17:10:04.029970Z,35.95367,-120.50217,10.8,415,1.0
22,5.0,2004-09-29T22:54:53.929958Z,35.3865,-118.62867,8.3,335,1.0
23,5.0,2016-12-14T16:41:05.530045Z,38.82217,-122.84133,1.5,313,1.0
24,5.0,2009-10-01T10:01:23.829978Z,36.38517,-117.8375,-1.4,399,-1.0
25,5.0,2005-09-22T20:24:48.309955Z,35.0265,-119.03017,10.1,414,1.0
