MAG,Time,Lat,Lon,Depth,clID
3.1,1995-01-01T14:03:33.060033Z,39.368830,-123.238670,7.1,0
2.6,1995-01-02T01:05:02.310004Z,38.765340,-119.682170,2.2,0
3.2,1995-01-03T03:27:57.149966Z,37.642670,-118.947330,4.0,0
3.3,1995-01-03T20:33:40.019966Z,38.782500,-122.772000,1.0,0
2.7,1995-01-04T02:30:10.380035Z,35.998000,-117.791500,2.2,0
2.4,1995-01-04T09:52:10.719983Z,39.432670,-123.286830,5.8,0
2.5,1995-01-04T10:55:22.589971Z,38.845830,-122.810330,1.4,0
2.5,1995-01-04T15:01:57.159956Z,36.704330,-121.336170,2.4,0
2.8,1995-01-04T19:36:58.350014Z,37.349330,-121.714000,7.4,0
2.6,1995-01-04T23:35:09.599997Z,36.655170,-121.281170,7.2,0
2.5,1995-01-05T07:41:20.739981Z,37.644500,-118.946000,4.3,0
2.5,1995-01-05T22:22:16.759996Z,38.764170,-119.678670,-0.6,0
4.4,1995-01-06T00:12:02.730037Z,38.757830,-119.736830,-0.9,0
2.5,1995-01-06T00:35:14.260017Z,38.765830,-119.730160,-0.9,0
2.8,1995-01-06T01:00:26.990003Z,38.775500,-119.713840,2.1,0
2.8,1995-01-06T01:41:27.590034Z,38.757170,-119.722500,-0.6,0
3.2,1995-01-06T03:57:20.960002Z,36.251500,-120.812840,6.3,0
2.5,1995-01-06T18:53:33.769995Z,38.697000,-119.780830,-0.6,0
2.5,1995-01-06T18:55:51.290030Z,38.725170,-119.741330,-0.7,0
2.8,1995-01-06T20:59:35.919966Z,39.869170,-122.514660,25.9,0
2.6,1995-01-07T02:07:34.660020Z,38.871330,-119.605830,-0.6,0
2.6,1995-01-07T02:54:11.379974Z,36.128000,-117.838840,5.6,0
2.6,1995-01-07T03:21:06.479964Z,37.539670,-118.844670,6.6,0
2.5,1995-01-07T05:05:50.229969Z,37.481330,-121.790500,7.3,0
2.9,1995-01-07T14:20:36.759982Z,36.813000,-121.533840,6.5,0
3.5,1995-01-07T14:53:40.109997Z,36.812830,-121.531500,6.2,0
2.9,1995-01-07T18:54:56.189987Z,36.814330,-121.533670,5.7,0
2.7,1995-01-07T23:43:28.129983Z,35.736330,-118.345500,11.3,0
2.5,1995-01-08T01:51:35.569990Z,38.751670,-119.726170,-0.4,0
2.6,1995-01-08T21:19:49.729988Z,38.760670,-119.726500,-0.8,0
2.6,1995-01-09T09:46:27.019997Z,36.587000,-121.037500,8.7,0
2.6,1995-01-10T01:42:44.680000Z,38.827500,-122.797160,0.4,0
2.9,1995-01-10T01:42:58.580036Z,38.818500,-122.807330,2.7,0
2.8,1995-01-10T11:14:03.289988Z,38.756670,-119.720660,0.8,0
2.7,1995-01-10T15:34:20.140002Z,38.809830,-122.789330,0.4,0
2.4,1995-01-11T03:17:00.580051Z,38.759000,-119.740840,-0.4,0
2.7,1995-01-11T12:08:43.139981Z,36.259830,-119.349500,32.3,0
2.7,1995-01-11T16:55:45.039970Z,38.717500,-119.724830,-0.8,0
2.7,1995-01-12T06:09:04.779996Z,38.791330,-119.713840,-0.8,0
2.5,1995-01-12T12:10:34.430013Z,38.795330,-122.744500,0.9,0
3.5,1995-01-12T23:42:39.240035Z,36.801830,-122.084170,10.6,0
2.5,1995-01-12T23:52:28.939984Z,36.804830,-122.083830,-0.1,0
2.5,1995-01-13T01:00:26.249985Z,38.669330,-119.817670,-0.8,0
2.7,1995-01-13T02:49:32.210003Z,38.791000,-122.772000,-0.2,0
3.5,1995-01-14T04:36:40.979982Z,38.219170,-118.830500,4.2,0
