,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,MAG,Time,Lat,Lon,Depth,clID,eType
0,0,0,0,0,9.1,2011-03-11T05:46:24.119965Z,38.297,142.373,29.0,1754,2.0
1,1,1,1,1,9.1,2004-12-26T00:58:53.449996Z,3.295,95.982,30.0,772,2.0
2,2,2,2,2,8.8,2010-02-27T06:34:11.529981Z,-36.122,-72.898,22.9,1723,2.0
3,3,3,3,3,8.6,2005-03-28T16:09:36.530032Z,2.085,97.108,30.0,1434,2.0
4,4,4,4,4,8.6,2012-04-11T08:38:36.719986Z,2.327,93.063,20.0,330,2.0
5,5,5,5,5,8.4,2007-09-12T11:10:26.829987Z,-4.438,101.367,34.0,1465,2.0
6,6,6,6,6,8.4,2001-06-23T20:33:14.130034Z,-16.265,-73.641,33.0,590,2.0
7,7,7,7,7,8.3,1994-10-04T13:22:55.840019Z,43.773,147.321,14.0,1786,2.0
8,8,8,8,8,8.3,2015-09-16T22:54:32.860016Z,-31.5729,-71.6744,22.4,1673,2.0
9,9,9,9,9,8.3,2006-11-15T11:14:13.570017Z,46.592,153.266,10.0,1506,2.0
10,10,10,10,10,8.2,2012-04-11T10:43:10.849955Z,0.802,92.463,25.1,0,0.0
11,11,11,11,11,8.2,2017-09-08T04:49:19.179983Z,15.0222,-93.8993,47.4,1213,2.0
12,12,12,12,12,8.2,2014-04-01T23:46:47.260043Z,-19.6097,-70.7691,25.0,1544,2.0
13,13,13,13,13,8.2,2003-09-25T19:50:06.360003Z,41.815,143.91,27.0,1505,2.0
14,14,14,14,14,8.1,2009-09-29T17:48:10.990015Z,-15.489,-172.095,18.0,904,2.0
15,15,15,15,15,8.1,2007-01-13T04:23:21.159969Z,46.243,154.524,10.0,747,2.0
16,16,16,16,16,8.1,2007-04-01T20:39:58.710036Z,-8.466000000000001,157.043,24.0,1529,2.0
17,17,17,17,17,8.1,1998-03-25T03:12:25.069968Z,-62.877,149.52700000000004,10.0,0,0.0
18,18,18,18,18,8.1,2004-12-23T14:59:04.409988Z,-49.312,161.345,10.0,679,2.0
19,19,19,19,19,8.1,1996-02-17T05:59:30.550049Z,-0.8909999999999999,136.952,33.0,1807,2.0
20,20,20,20,20,8.0,1989-05-23T10:54:46.320021Z,-52.341,160.56799999999996,10.0,1106,2.0
21,21,21,21,21,8.0,1985-03-03T22:47:07.280014Z,-33.135,-71.87100000000002,33.0,1151,2.0
22,22,22,22,22,8.0,1985-09-19T13:17:47.350031Z,18.19,-102.533,27.9,572,2.0
23,23,23,23,23,8.0,2006-05-03T15:26:40.290002Z,-20.187,-174.123,55.0,1443,2.0
24,24,24,24,24,8.0,2007-08-15T23:40:57.889981Z,-13.386,-76.60300000000002,39.0,994,2.0
25,25,25,25,25,8.0,1986-05-07T22:47:10.870017Z,51.52,-174.77599999999995,33.0,1154,2.0
26,26,26,26,26,8.0,1995-10-09T15:35:53.910013Z,19.055,-104.205,33.0,111,2.0
