,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr
0,-999.000,-999.000,198,4.0,-999.0,-999.0,-999.0,-999.0, 9.525,-83.647,2.9,3,0,3,0,2015-07-07T12:38:00.999998,-999.000,-999.000,4,4, 0, 3,0,3
1,-999.000,-999.000,344,32.0,1.8,-999.0,1.8,-999.0, 8.257,-82.757,4.5,4,0,4,0,2017-03-18T05:00:09.000003,-999.000,-999.000,1,1, 0, 2,0,2
2,-999.000,-999.000,819,16.0,0.8,-999.0,0.8,-999.0, 9.631,-84.540,3.2,1,0,1,0,2020-05-30T18:22:29.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
3,-999.000,-999.000,346,23.0,-999.0,1.0,-999.0,1.0, 8.691,-83.287,3.5,0,1,0,1,2017-03-26T20:06:28.999998,-999.000,-999.000,-1,-1, 1, 0,1,0
4,-999.000,-999.000,347,17.0,-999.0,0.2,-999.0,0.2, 9.864,-85.212,3.2,0,1,0,1,2017-03-26T21:46:41.999999,-999.000,-999.000,-1,-1, 1, 0,1,0
5,-999.000,-999.000,340,17.0,-999.0,0.3,-999.0,0.3, 8.392,-82.894,2.8,0,1,0,1,2017-03-13T21:29:04.000002,-999.000,-999.000,-1,-1, 1, 0,1,0
6,-999.000,-999.000,341,26.0,0.2,-999.0,0.2,-999.0, 8.300,-82.757,3.3,1,0,1,0,2017-03-10T19:52:38.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
7,-999.000,-999.000,342,9.0,-999.0,0.1,-999.0,0.1, 9.503,-83.018,3.2,0,1,0,1,2017-03-15T12:22:37.000001,-999.000,-999.000,-1,-1, 1, 0,1,0
8,-999.000,-999.000,343,22.0,0.4,-999.0,0.4,-999.0, 9.668,-84.873,3.5,2,0,2,0,2017-03-16T13:57:03.999997,-999.000,-999.000,-1,-1, 0, 2,0,2
9,-999.000,-999.000,810,52.0,1.5,-999.0,1.5,-999.0, 9.439,-84.074,4.3,1,0,1,0,2020-04-17T09:34:32.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
10,-999.000,-999.000,811,9.0,0.3,-999.0,0.3,-999.0, 8.988,-84.204,3.1,3,0,3,0,2020-04-18T08:45:03.000002,-999.000,-999.000,5,5, 0, 3,0,3
11,-999.000,-999.000,812,18.0,1.7,-999.0,1.7,-999.0, 9.869,-85.507,4.4,5,0,5,0,2020-04-26T06:14:12.000000,-999.000,-999.000,1,1, 0, 3,0,3
12,-999.000,-999.000,813,5.0,-999.0,0.1,-999.0,0.1, 9.892,-83.926,3.0,0,1,0,1,2020-04-28T07:06:22.999999,-999.000,-999.000,-1,-1, 1, 0,1,0
13,-999.000,-999.000,348,9.0,0.8,-999.0,0.8,-999.0, 9.508,-83.559,3.3,1,0,2,0,2017-04-06T00:13:51.999999,-999.000,-999.000,-1,-1, 0, 2,0,1
14,-999.000,-999.000,349,8.0,0.9,1.8,0.9,1.8, 9.001,-84.096,4.5,8,1,10,1,2017-04-08T18:16:33.999998,-999.000,-999.000,1,1, 1, 10,1,8
15,-999.000,-999.000,816,22.0,-999.0,-999.0,-999.0,-999.0, 9.366,-84.615,2.9,1,0,1,0,2020-05-09T16:53:24.000002,-999.000,-999.000,-1,-1, 0, 1,0,1
16,-999.000,-999.000,817,4.0,-999.0,-999.0,-999.0,-999.0, 9.716,-83.947,2.4,0,0,0,0,2020-05-14T03:03:08.000001,-999.000,-999.000,-1,-1, 0, 0,0,0
17,-999.000,-999.000,737,22.0,0.3,-999.0,0.3,-999.0, 8.845,-83.154,3.2,1,0,1,0,2019-12-18T21:13:06.000002,-999.000,-999.000,-1,-1, 0, 1,0,1
18,-999.000,-999.000,739,19.0,0.8,-999.0,0.8,-999.0, 9.516,-84.835,3.2,1,0,1,0,2019-12-20T02:24:41.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
19,-999.000,-999.000,719,40.0,-999.0,-999.0,0.3,-999.0, 8.501,-83.046,2.8,0,0,1,0,2014-02-28T05:10:05.000001,-999.000,-999.000,-1,-1, 0, 1,0,0
20,-999.000,-999.000,718,6.0,0.2,-999.0,0.2,-999.0, 9.739,-83.962,2.7,1,0,1,0,2019-11-20T00:38:42.000002,-999.000,-999.000,-1,-1, 0, 1,0,1
21,-999.000,-999.000,717,10.0,0.6,-999.0,0.6,-999.0, 8.920,-84.071,3.0,2,0,2,0,2019-11-21T04:07:03.999999,-999.000,-999.000,-1,-1, 0, 2,0,2
22,-999.000,-999.000,716,14.0,0.8,0.6,0.8,0.6, 8.479,-83.118,3.5,2,1,2,1,2019-11-17T00:47:21.000001,-999.000,-999.000,1,1, 1, 2,1,2
23,-999.000,-999.000,715,19.0,-999.0,-999.0,-999.0,-999.0, 9.508,-84.862,3.2,1,0,1,0,2019-11-16T16:06:04.000000,-999.000,-999.000,-1,-1, 0, 1,0,1
24,-999.000,-999.000,714,30.0,-999.0,-999.0,-999.0,-999.0, 9.426,-84.201,3.6,2,0,2,0,2019-11-15T02:55:56.000003,-999.000,-999.000,-1,-1, 0, 2,0,2
25,-999.000,-999.000,713,14.0,0.1,-999.0,0.1,-999.0, 9.400,-84.622,2.5,1,0,1,0,2019-11-13T23:39:40.000002,-999.000,-999.000,-1,-1, 0, 1,0,1
26,-999.000,-999.000,712,29.0,1.5,-999.0,1.2,-999.0, 8.858,-84.144,4.0,2,0,5,0,2019-11-10T22:03:48.999999,-999.000,-999.000,1,-1, 0, 5,0,2
27,-999.000,-999.000,711,14.0,0.6,-999.0,0.6,-999.0, 8.995,-83.973,3.4,4,0,4,0,2019-11-09T06:28:59.999997,-999.000,-999.000,1,1, 0, 4,0,4
28,-999.000,-999.000,710,36.0,0.8,-999.0,0.8,-999.0, 9.180,-84.063,3.2,1,0,1,0,2019-11-05T03:20:38.999996,-999.000,-999.000,-1,-1, 0, 1,0,1
29,-999.000,-999.000,421,14.0,-999.0,0.2,-999.0,0.2, 9.256,-84.472,2.8,0,1,0,1,2017-12-01T17:21:32.000003,-999.000,-999.000,-1,-1, 1, 0,1,0
30,-999.000,-999.000,129,60.0,1.5,-999.0,1.5,-999.0, 9.412,-83.966,4.2,1,0,1,0,2014-11-21T04:56:27.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
31,-999.000,-999.000,420,10.0,0.2,0.1,0.2,0.1, 9.377,-84.480,2.8,1,2,1,2,2017-11-30T12:57:57.999997,-999.000,-999.000,4,4, 2, 1,2,1
32,-999.000,-999.000,423,8.0,-999.0,-999.0,-999.0,-999.0, 9.277,-84.777,3.8,8,0,8,0,2017-12-03T02:01:30.000003,-999.000,-999.000,2,2, 0, 8,0,8
33,-999.000,-999.000,1069,15.0,-999.0,0.2,-999.0,0.2, 9.467,-84.810,2.8,0,1,0,1,2021-07-28T19:47:32.000001,-999.000,-999.000,-1,-1, 1, 0,1,0
34,-999.000,-999.000,1068,22.0,0.4,-999.0,0.4,-999.0, 9.551,-84.677,2.8,1,0,1,0,2021-07-27T23:49:01.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
35,-999.000,-999.000,422,15.0,1.4,-999.0,1.4,-999.0, 9.327,-84.453,3.9,2,0,2,0,2017-12-02T01:54:18.000001,-999.000,-999.000,-1,-1, 0, 2,0,2
36,-999.000,-999.000,1061,28.0,0.3,-999.0,0.3,-999.0, 9.707,-82.819,2.8,1,0,1,0,2021-07-19T10:23:18.000002,-999.000,-999.000,-1,-1, 0, 1,0,1
37,-999.000,-999.000,1060,4.0,0.2,-999.0,0.2,-999.0, 9.534,-83.576,2.6,1,0,1,0,2021-07-18T17:16:29.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
38,-999.000,-999.000,1063,8.0,1.8,-999.0,1.8,-999.0, 9.854,-84.053,4.5,2,0,2,0,2021-07-20T23:57:13.000001,-999.000,-999.000,-1,-1, 0, 2,0,2
39,-999.000,-999.000,1062,43.0,0.3,-999.0,0.3,-999.0, 9.460,-84.114,3.3,2,0,2,0,2021-07-19T17:24:28.000003,-999.000,-999.000,-1,-1, 0, 2,0,2
40,-999.000,-999.000,1065,28.0,0.7,-999.0,0.7,-999.0, 8.283,-82.832,3.7,1,0,1,0,2021-06-27T21:41:10.000000,-999.000,-999.000,-1,-1, 0, 1,0,1
41,-999.000,-999.000,1064,32.0,-999.0,0.1,-999.0,0.1, 9.537,-84.128,3.5,0,1,0,1,2021-07-21T10:56:08.000001,-999.000,-999.000,-1,-1, 1, 0,1,0
42,-999.000,-999.000,1067,17.0,1.0,-999.0,1.0,-999.0, 9.564,-84.819,4.2,3,0,3,0,2021-07-27T06:37:20.999999,-999.000,-999.000,1,1, 0, 3,0,3
43,-999.000,-999.000,1066,39.0,1.0,-999.0,1.0,-999.0, 8.378,-82.810,4.8,12,0,12,0,2021-07-23T20:03:09.999998,-999.000,-999.000,1,1, 0, 11,0,11
44,-999.000,-999.000,427,17.0,0.1,-999.0,0.1,-999.0, 9.423,-84.601,3.4,1,0,1,0,2017-12-16T10:18:47.000000,-999.000,-999.000,-1,-1, 0, 1,0,1
45,-999.000,-999.000,298,40.0,0.7,-999.0,0.7,-999.0, 8.609,-83.210,3.4,1,0,1,0,2016-08-20T02:11:50.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
46,-999.000,-999.000,299,43.0,2.3,-999.0,2.3,-999.0, 9.022,-83.667,4.9,1,0,1,0,2016-08-25T13:34:00.999999,-999.000,-999.000,-1,-1, 0, 0,0,0
47,-999.000,-999.000,296,26.0,0.7,-999.0,0.7,-999.0, 9.552,-84.808,3.3,2,0,2,0,2016-08-16T11:26:17.000001,-999.000,-999.000,-1,-1, 0, 2,0,2
