Lon,Lat
NaN,NaN
180,65.05
179.58,64.92
178.67,64.67
177.5,64.75
177.5,64.33
178.33,64.33
178.58,64
178.83,63.5
179.25,63
179.67,62.67
179,62.25
178.17,62.5
177,62.5
176.25,62.25
175.33,62.08
174.58,61.75
173.83,61.67
173.08,61.33
172.33,61
171.5,60.67
170.67,60.42
170.33,59.92
169.83,60.25
169.17,60.5
168.25,60.58
167.5,60.42
166.83,60.17
166.17,59.75
166.17,60.33
165.33,60.17
164.75,59.83
164.17,60
163.33,59.83
163.17,59.42
162.92,59
162.33,58.58
161.92,58.17
162.08,57.75
162.58,57.92
163.17,57.67
162.67,57.25
162.67,56.83
163.08,56.67
163.25,56.17
162.83,56
162.42,56.25
161.92,56.08
161.58,55.67
161.67,55.17
162.08,54.75
162.08,54.75
161.67,54.5
161.17,54.58
160.42,54.42
159.92,54.08
159.83,53.58
159.92,53.17
159.17,53.17
158.58,52.83
158.42,52.25
157.92,51.67
157.33,51.25
156.67,50.92
156.5,51.25
156.5,51.67
156.42,52.17
156.08,52.75
156,53.33
155.83,53.92
155.67,54.33
155.5,54.83
155.42,55.25
155.5,55.83
155.75,56.33
156,56.83
156.67,57
157,57.42
156.83,57.75
157.5,57.75
158.25,58
159,58.42
159.67,58.83
160.08,59.25
160.92,59.67
161.58,60.08
161.92,60.42
162.67,60.67
163.5,60.83
163.75,61.17
163.92,61.75
164.08,62.25
164.75,62.5
164.42,62.67
163.25,62.5
162.92,62.08
162.92,61.67
162.25,61.58
161.67,61.25
161,60.92
160.17,60.58
159.92,60.92
159.83,61.25
160.33,61.83
159.5,61.67
158.83,61.83
157.92,61.75
156.92,61.58
156.33,61.17
155.75,60.75
155,60.42
154.5,60
154.17,59.5
154.83,59.42
155.17,59.17
154,59.08
153.33,59.17
152.92,59
152,58.83
151.33,58.83
151.08,59.08
151.67,59.33
151.33,59.58
150.83,59.5
150.17,59.58
149.5,59.75
149,59.67
148.92,59.42
148.83,59.25
148.17,59.33
147.42,59.25
146.5,59.42
145.92,59.17
145.58,59.33
144.67,59.33
143.67,59.33
142.67,59.25
142,59
141.67,58.67
141,58.42
140.58,58.08
140.25,57.75
139.67,57.5
139,57.17
138.5,56.83
137.92,56.33
137.25,55.92
136.58,55.58
135.92,55.17
135.17,54.92
135.25,54.67
135.25,54.67
135.92,54.5
136.67,54.58
136.67,54.17
136.67,53.75
137.08,54.17
137.67,54.25
137.67,53.83
137.33,53.5
138.25,53.67
138.83,54.17
139.5,54.17
140.17,54
140.25,53.75
140.75,53.5
141.33,53.25
141.08,52.83
141.08,52.42
141.33,52.17
141.08,51.83
140.75,51.42
140.5,51
140.42,50.5
140.5,50
140.5,49.42
140.33,49
140.17,48.5
139.5,48
139,47.5
138.5,47.08
138.25,46.5
137.92,46.08
137.5,45.67
136.92,45.25
136.33,44.75
135.67,44.33
135.5,43.92
135,43.42
134.33,43.17
133.75,42.83
133.08,42.67
132.33,42.92
132.33,43.25
131.75,43.25
131.5,43
131.17,42.58
130.83,42.58
130.67,42.25
130.08,42.08
129.58,41.58
129.67,41.33
129.67,40.83
129.25,40.67
128.75,40.33
128.25,40.08
127.83,39.92
127.33,39.83
127.5,39.58
127.33,39.25
127.83,39
128.25,38.67
128.5,38.25
128.83,37.92
129.17,37.5
129.33,37
129.42,36.5
129.42,36
129.33,35.58
129.08,35.17
128.5,34.92
127.75,34.83
127.17,34.67
126.58,34.33
126.33,34.83
126.33,35.33
126.75,35.75
126.5,36.33
126.17,36.92
126.75,37
126.58,37.42
126.08,37.75
125.33,37.67
124.75,38.08
125,38.5
125.17,38.92
125.42,39.42
125.08,39.58
124.67,39.67
124.08,39.83
123.5,39.75
123,39.58
122.42,39.42
122.08,39.08
121.58,38.83
121.17,38.75
121.67,39.17
121.33,39.5
121.5,39.75
121.92,40
122.25,40.42
122.25,40.42
121.92,40.83
121.25,40.92
120.83,40.58
120.42,40.17
119.92,40
119.42,39.75
119.25,39.42
119,39.17
118.42,39.08
118,39.25
117.67,38.92
117.58,38.58
117.92,38.25
118.33,38
118.83,37.75
118.92,37.33
119.33,37.08
119.75,37.08
120,37.33
120.33,37.58
120.83,37.75
121.17,37.5
121.58,37.42
122.08,37.42
122.58,37.33
122.33,36.83
122,37
121.5,36.75
120.83,36.58
120.67,36.17
120.17,35.92
119.67,35.58
119.42,35.25
119.17,34.83
119.75,34.58
120.33,34.33
120.5,33.83
120.67,33.42
120.83,33
120.92,32.58
121.25,32.42
121.67,32.08
121.83,31.67
121.25,31.67
121.83,31.25
121.92,30.92
121.5,30.83
121.17,30.67
120.92,30.42
120.42,30.33
120.75,30.17
121.33,30.25
121.67,30.08
122.08,30
122,29.75
121.92,29.17
121.67,29.17
121.5,28.67
121.58,28.42
121.42,28.17
121.08,28.17
